motion_name,SG ASL Dallas 2025-12-26
pose_name,SG ASL Dallas 2025-12-26 P3
export_date,2025-12-26
current_frame,62
frame_budget,8

bone_name,w,x,y,z
bicepfk_L,0.7245,0.5775,0.345,0.15
forearmfk_L,0.8623,-0.0311,-0.0548,0.5024
handfk_L,0.9053,0.2593,0.3249,-0.0878
bicepfk_R,0.8115,0.1076,0.3023,-0.4884
forearmfk_R,0.4815,-0.0541,0.0249,-0.8744
handfk_R,0.8899,-0.3826,0.0772,0.236
thighfk_L,0.9996,-0.0115,-0.0257,0.0001
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.0289,-0.0264,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0112,0.0228,-0.0003
shinfk_R,0.9996,0.0271,-0.009,-0.0041
footfk_R,0.029,-0.026,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0001,0.0002,-0.0003
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0001,-0.0,-0.0005
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0002,-0.0,0.0007
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,-0.0,-0.0,0.0005
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6706,0.3495,-0.5216,-0.3951
thumbfk_02_R,0.9873,0.1531,-0.034,-0.0271
thumbfk_03_R,0.97,0.2272,0.0603,0.062
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0255
pinkyfk_01_R,0.7407,0.6653,0.0289,-0.0884
pinkyfk_02_R,0.731,0.682,0.0,0.0218
pinkyfk_03_R,0.7077,0.7027,0.0092,-0.0735
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9993,-0.028,0.0006,-0.0237
indexfk_02_R,0.9999,0.0019,-0.0123,0.0024
indexfk_03_R,0.9999,-0.0115,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0059,0.0059
middlefk_01_R,0.8261,0.5576,0.0233,-0.0784
middlefk_02_R,0.8992,0.4375,0.0001,0.0002
middlefk_03_R,0.9259,0.3777,-0.0006,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0201,-0.0134
ringfk_01_R,0.7829,0.6187,0.0531,-0.0382
ringfk_02_R,0.708,0.7061,0.0,0.0155
ringfk_03_R,0.7836,0.6181,0.0,-0.0626
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9925,0.0021,0.1219,0.0012
collar_L,0.9983,0.056,-0.0115,0.0066
neckfk,1.0,0.0,0.0,0.0
headfk,1.0,-0.0007,0.0003,-0.0007
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0192,-0.003,-0.0071
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0003,0.0007,0.0007
hip,1.0,0.0,-0.0014,0.0002
