motion_name,SG ASL Dam 2025-12-27
pose_name,SG ASL Dam 2025-12-27 P2
export_date,2025-12-27
current_frame,35
frame_budget,8

bone_name,w,x,y,z
bicepfk_L,0.7587,0.5226,0.3493,0.1709
forearmfk_L,0.8417,-0.032,-0.0498,0.5366
handfk_L,0.919,0.2376,0.2964,-0.1054
bicepfk_R,0.7591,0.5676,-0.0636,-0.3122
forearmfk_R,0.3374,-0.0473,0.0292,-0.9397
handfk_R,0.9831,-0.0221,-0.1799,0.0266
thighfk_L,0.9997,-0.0135,-0.0217,-0.0004
shinfk_L,0.9996,0.0267,0.0095,0.0042
footfk_L,0.0294,-0.0259,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.014,0.0268,-0.0007
shinfk_R,0.9996,0.0269,-0.0079,-0.0045
footfk_R,0.029,-0.027,-0.999,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0037,-0.0017,0.0029
thumbfk_02_L,1.0,-0.0003,0.0004,0.0001
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0001
pinkyfk_01_L,1.0,-0.0039,0.0,-0.001
pinkyfk_02_L,1.0,0.002,-0.0,-0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0004,0.0002,0.0002
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.003,-0.0004,0.0002
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,-0.0003,-0.0002,0.0001
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,-0.0025,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6977,0.5316,-0.4444,-0.182
thumbfk_02_R,0.9831,0.1828,-0.0006,0.001
thumbfk_03_R,0.9875,0.1564,-0.0129,0.013
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0205
pinkyfk_01_R,0.7457,0.5265,0.3024,0.2744
pinkyfk_02_R,0.9503,0.3088,0.0237,0.033
pinkyfk_03_R,0.9662,0.2547,0.0339,-0.0233
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9904,-0.0465,-0.0071,-0.13
indexfk_02_R,0.9996,0.0239,-0.0123,0.0021
indexfk_03_R,1.0,0.0016,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0001,0.0
middlefk_01_R,0.9866,0.0159,0.1567,0.0431
middlefk_02_R,0.9994,0.0271,0.0195,-0.0058
middlefk_03_R,1.0,0.0025,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0034,-0.0022
ringfk_01_R,0.9916,0.1107,-0.0185,0.0636
ringfk_02_R,1.0,0.0064,0.0,-0.0
ringfk_03_R,0.9995,0.0311,-0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9987,0.0494,-0.0116,0.0039
collar_L,0.9949,0.0983,0.0189,-0.0103
neckfk,1.0,-0.006,-0.0029,-0.0033
headfk,0.9999,-0.0112,-0.0065,-0.0049
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0011,0.0013,0.0008
chest_3,0.9998,-0.0178,-0.0015,-0.0062
chest_2,1.0,0.0014,0.0018,0.001
chest_1,1.0,0.0033,0.0042,0.0022
hip,1.0,-0.0027,0.0025,0.0004
