motion_name,SG ASL Damage 2025-12-26
pose_name,SG ASL Damage 2025-12-26 P3
export_date,2025-12-26
current_frame,76
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.7883,0.5888,0.1397,0.1111
forearmfk_L,0.5347,-0.0466,-0.0312,0.8432
handfk_L,0.741,-0.2541,-0.6212,-0.0226
bicepfk_R,0.7817,0.5972,-0.1797,-0.0045
forearmfk_R,0.5954,-0.0436,0.0385,-0.8013
handfk_R,0.7915,-0.0069,-0.6098,0.0395
thighfk_L,0.9997,-0.0117,-0.0208,-0.0006
shinfk_L,0.9996,0.0271,0.0089,0.0042
footfk_L,0.0288,-0.0264,0.9991,0.0176
toefk_L,1.0,0.0023,0.0004,0.0
thighfk_R,0.9995,-0.0125,0.0277,-0.0009
shinfk_R,0.9996,0.027,-0.0088,-0.0043
footfk_R,0.0293,-0.0261,-0.9991,-0.0165
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8922,0.2934,0.3271,0.1042
thumbfk_02_L,0.9699,0.2095,-0.1143,-0.0493
thumbfk_03_L,0.9526,0.2833,0.0117,0.1102
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.0288
pinkyfk_01_L,0.6769,0.7238,-0.119,0.0623
pinkyfk_02_L,0.6784,0.7347,0.0016,-0.003
pinkyfk_03_L,0.8142,0.5779,0.0445,0.0328
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9955,-0.0,0.0669,-0.0669
indexfk_01_L,0.7839,0.6202,-0.0205,-0.0186
indexfk_02_L,0.6839,0.7295,0.0,-0.0096
indexfk_03_L,0.8027,0.5953,0.0193,0.0288
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0067,-0.0067
middlefk_01_L,0.7814,0.6232,-0.0211,0.024
middlefk_02_L,0.6777,0.7353,-0.0062,0.0038
middlefk_03_L,0.7753,0.6314,-0.0166,-0.0054
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0229,0.0153
ringfk_01_L,0.7217,0.6914,-0.0141,0.0295
ringfk_02_L,0.6964,0.7176,0.0027,-0.0064
ringfk_03_L,0.7811,0.6207,-0.0254,0.0637
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7827,0.3227,-0.4838,-0.2219
thumbfk_02_R,0.9709,0.2247,0.0662,0.0491
thumbfk_03_R,0.9442,0.3081,-0.0671,-0.0951
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.029
pinkyfk_01_R,0.6762,0.7345,0.0571,-0.0083
pinkyfk_02_R,0.6769,0.736,-0.0002,0.0003
pinkyfk_03_R,0.7875,0.6123,-0.0552,-0.045
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9945,-0.0,-0.0742,0.0742
indexfk_01_R,0.7369,0.6761,-0.0005,0.0008
indexfk_02_R,0.7071,0.707,-0.0,0.0123
indexfk_03_R,0.8049,0.5918,-0.0251,-0.037
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0073,0.0073
middlefk_01_R,0.7451,0.6669,-0.0033,0.0052
middlefk_02_R,0.6702,0.7419,0.0174,-0.01
middlefk_03_R,0.7703,0.6372,0.0213,0.0071
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0242,-0.0161
ringfk_01_R,0.6925,0.7213,0.0106,-0.0089
ringfk_02_R,0.7075,0.7066,0.0,0.0135
ringfk_03_R,0.7841,0.6143,0.0328,-0.082
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9958,-0.0299,0.0866,0.0023
collar_L,0.9997,-0.0157,-0.0019,0.0167
neckfk,1.0,0.0013,0.0062,0.0001
headfk,0.9999,0.0023,0.0114,-0.002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0014,-0.0001,-0.0028
chest_3,0.9998,-0.0173,-0.0032,-0.0111
chest_2,1.0,0.0021,-0.0005,-0.0036
chest_1,1.0,0.0045,-0.0011,-0.0084
hip,1.0,0.0008,0.0033,0.0006
