motion_name,SG ASL Damp 2025-12-26
pose_name,SG ASL Damp 2025-12-26 P3
export_date,2025-12-26
current_frame,63
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.8183,0.521,0.165,0.1781
forearmfk_L,0.5872,-0.0501,-0.0383,0.807
handfk_L,0.7607,-0.1806,-0.5984,0.1753
bicepfk_R,0.7869,0.5651,-0.1994,-0.1471
forearmfk_R,0.5631,-0.0523,0.0376,-0.8239
handfk_R,0.7867,-0.1642,0.5914,-0.0665
thighfk_L,0.9997,-0.0101,-0.0211,-0.0001
shinfk_L,0.9996,0.027,0.0088,0.0042
footfk_L,0.0289,-0.0262,0.9991,0.0182
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0107,0.0275,-0.0005
shinfk_R,0.9996,0.027,-0.0093,-0.0042
footfk_R,0.0291,-0.0266,-0.9991,-0.0176
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6312,0.2822,0.6603,0.2932
thumbfk_02_L,0.9992,-0.0204,0.0356,0.0028
thumbfk_03_L,0.9986,-0.0355,0.0322,-0.0219
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0135
pinkyfk_01_L,0.9239,0.3711,-0.0752,0.0546
pinkyfk_02_L,0.9957,0.0923,-0.0118,-0.0023
pinkyfk_03_L,0.9998,0.0211,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9981,-0.0,0.0441,-0.0441
indexfk_01_L,0.9042,0.427,-0.0121,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0037,-0.0037
middlefk_01_L,0.9331,0.3587,-0.0138,-0.0216
middlefk_02_L,0.9974,0.0718,-0.0114,0.0003
middlefk_03_L,1.0,0.0045,-0.0015,-0.0036
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0114,0.0076
ringfk_01_L,0.9277,0.3712,-0.0213,0.0327
ringfk_02_L,0.9955,0.0946,-0.0092,0.0001
ringfk_03_L,0.999,-0.0455,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6312,0.2822,-0.6603,-0.2932
thumbfk_02_R,0.9992,-0.0204,-0.0356,-0.0028
thumbfk_03_R,0.9986,-0.0355,-0.0322,0.0219
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0135
pinkyfk_01_R,0.9239,0.3711,0.0752,-0.0546
pinkyfk_02_R,0.9957,0.0923,0.0118,0.0023
pinkyfk_03_R,0.9998,0.0211,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9981,0.0,-0.0441,0.0441
indexfk_01_R,0.9042,0.427,0.0121,-0.0
indexfk_02_R,1.0,0.0,0.0,0.0
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0037,0.0037
middlefk_01_R,0.9331,0.3587,0.0138,0.0216
middlefk_02_R,0.9974,0.0718,0.0114,-0.0003
middlefk_03_R,1.0,0.0045,0.0015,0.0036
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,-0.0,0.0114,-0.0076
ringfk_01_R,0.9277,0.3712,0.0213,-0.0327
ringfk_02_R,0.9955,0.0946,0.0092,-0.0001
ringfk_03_R,0.999,-0.0455,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.999,0.0393,0.0156,0.014
collar_L,0.9961,0.0851,0.0224,0.0077
neckfk,1.0,-0.003,0.0,-0.0005
headfk,1.0,-0.0066,-0.0003,-0.0011
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0192,-0.0029,-0.0074
chest_2,1.0,0.0001,0.0003,-0.0001
chest_1,1.0,0.0002,0.0005,-0.0001
hip,1.0,0.0016,0.0031,0.0001
