motion_name,SG ASL Dance Ext 2025-12-27
pose_name,SG ASL Dance Ext 2025-12-27 P5
export_date,2025-12-27
current_frame,63
frame_budget,7

bone_name,w,x,y,z
bicepfk_L,0.7667,0.5918,0.1423,0.2044
forearmfk_L,0.8173,-0.035,-0.0526,0.5727
handfk_L,0.6406,0.28,-0.71,-0.085
bicepfk_R,0.7669,0.605,-0.2053,-0.0618
forearmfk_R,0.519,-0.0526,0.0393,-0.8522
handfk_R,0.7552,0.5473,-0.3252,0.1561
thighfk_L,0.9995,-0.0085,-0.0291,0.0006
shinfk_L,0.9996,0.027,0.0076,0.0042
footfk_L,0.0289,-0.0275,0.999,0.02
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0076,0.0194,0.0
shinfk_R,0.9996,0.0271,-0.0097,-0.0039
footfk_R,0.0286,-0.0252,-0.9991,-0.0207
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9119,0.2077,0.268,0.2313
thumbfk_02_L,1.0,0.0005,-0.0005,-0.0001
thumbfk_03_L,1.0,0.0013,-0.0012,0.0008
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0018
pinkyfk_01_L,0.9904,-0.0416,-0.0949,-0.0912
pinkyfk_02_L,0.9993,0.038,0.0,-0.0004
pinkyfk_03_L,1.0,0.0003,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,-0.0,0.0055,-0.0055
indexfk_01_L,0.9969,0.0549,0.0016,-0.057
indexfk_02_L,0.991,0.1336,-0.0,0.0
indexfk_03_L,0.999,0.0453,-0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0001
middlefk_01_L,0.9947,0.0112,-0.0241,-0.0991
middlefk_02_L,0.9938,0.1108,0.0,0.0
middlefk_03_L,0.9998,0.0178,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,0.9888,0.0116,-0.0953,-0.1141
ringfk_02_L,0.9987,0.0506,0.0,0.0
ringfk_03_L,0.9999,-0.0105,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7656,0.4429,-0.4211,-0.201
thumbfk_02_R,0.9808,0.1773,0.0567,0.0578
thumbfk_03_R,0.9795,0.1905,0.0592,0.0278
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.021
pinkyfk_01_R,0.8231,0.5543,0.1148,-0.0461
pinkyfk_02_R,0.7256,0.6876,-0.0008,0.0259
pinkyfk_03_R,0.6841,0.7226,0.0623,-0.0773
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,-0.0,-0.0136,0.0136
indexfk_01_R,0.9874,0.1378,-0.0277,-0.0731
indexfk_02_R,0.9989,0.047,-0.0,0.0
indexfk_03_R,0.9999,0.0133,0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.001,0.001
middlefk_01_R,0.9851,0.1064,0.0637,0.1189
middlefk_02_R,0.9998,0.0174,-0.0,0.0
middlefk_03_R,0.9994,-0.0349,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0191,-0.0128
ringfk_01_R,0.8025,0.5908,0.0826,0.0126
ringfk_02_R,0.7049,0.7092,-0.0002,0.0111
ringfk_03_R,0.7953,0.6025,0.0325,-0.0588
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9862,0.0021,0.1645,-0.0176
collar_L,0.9967,0.0607,-0.0266,0.046
neckfk,1.0,-0.0037,0.0045,0.0013
headfk,0.9999,-0.0062,0.0102,0.0007
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0011,-0.0012,-0.001
chest_3,0.9997,-0.0206,-0.0045,-0.0089
chest_2,1.0,-0.0012,-0.0019,-0.0012
chest_1,1.0,-0.003,-0.0045,-0.0026
hip,1.0,0.0023,-0.0046,0.0002
