motion_name,SG ASL Dancer 2025-12-27
pose_name,SG ASL Dancer 2025-12-27 P3
export_date,2025-12-27
current_frame,38
frame_budget,8

bone_name,w,x,y,z
bicepfk_L,0.7927,0.5477,0.2087,0.1673
forearmfk_L,0.704,-0.0411,-0.0456,0.7075
handfk_L,0.8511,0.0174,-0.4966,-0.1697
bicepfk_R,0.7703,0.5911,-0.1972,-0.1354
forearmfk_R,0.4354,-0.0459,0.0296,-0.8986
handfk_R,0.7952,0.5361,-0.0479,0.2792
thighfk_L,0.9996,-0.0114,-0.0262,-0.0015
shinfk_L,0.9996,0.027,0.0069,0.0042
footfk_L,0.0287,-0.0282,0.999,0.0192
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0111,0.0223,-0.0019
shinfk_R,0.9996,0.0271,-0.01,-0.004
footfk_R,0.0291,-0.0246,-0.9991,-0.0174
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.935,0.2239,0.2627,0.082
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.001,-0.0011,0.0026
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0017
pinkyfk_01_L,0.9934,-0.0441,-0.0909,-0.0534
pinkyfk_02_L,0.9987,0.0516,-0.0,-0.0004
pinkyfk_03_L,1.0,0.0086,0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0002,-0.0002
indexfk_01_L,0.999,0.0012,0.0423,-0.0139
indexfk_02_L,0.9901,0.1403,-0.0,-0.0
indexfk_03_L,0.9985,0.0549,-0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0002,-0.0002
middlefk_01_L,0.9998,0.0214,-0.0023,-0.0033
middlefk_02_L,0.9915,0.1297,-0.0,0.0
middlefk_03_L,0.9994,0.0342,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0001,0.0
ringfk_01_L,0.9898,0.0137,-0.0895,-0.11
ringfk_02_L,0.998,0.0629,0.0,0.0
ringfk_03_L,1.0,0.001,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7695,0.4335,-0.4262,-0.1956
thumbfk_02_R,0.9809,0.1772,0.0557,0.0575
thumbfk_03_R,0.9817,0.1806,0.0462,0.0383
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.024
pinkyfk_01_R,0.7729,0.6226,0.1137,-0.0458
pinkyfk_02_R,0.6951,0.7185,-0.0012,0.0268
pinkyfk_03_R,0.6838,0.7228,0.0629,-0.0773
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9989,-0.0,-0.0327,0.0327
indexfk_01_R,0.9408,0.3242,-0.0443,-0.0883
indexfk_02_R,0.9992,0.0403,0.0,0.0
indexfk_03_R,0.9998,0.0195,0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0004,0.0004
middlefk_01_R,0.9899,0.0464,0.0642,0.1174
middlefk_02_R,1.0,0.0054,0.0,-0.0
middlefk_03_R,0.9994,-0.0347,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0219,-0.0146
ringfk_01_R,0.7438,0.6598,0.1046,0.0189
ringfk_02_R,0.6771,0.7358,-0.0005,0.011
ringfk_03_R,0.7944,0.6036,0.0335,-0.0588
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9973,0.0154,0.0712,0.012
collar_L,0.9941,0.1024,-0.0182,0.032
neckfk,1.0,0.003,0.0039,-0.0043
headfk,0.9999,0.0056,0.0056,-0.0093
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0003,-0.0008,-0.0012
chest_3,0.9998,-0.0197,-0.0042,-0.0091
chest_2,1.0,-0.0003,-0.0012,-0.0015
chest_1,1.0,-0.0009,-0.0026,-0.0035
hip,1.0,0.0005,-0.0016,0.0023
