motion_name,SG ASL Dandelion 2025-12-28
pose_name,SG ASL Dandelion 2025-12-28 P2
export_date,2025-12-28
current_frame,52
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.8578,0.4892,0.1475,0.0549
forearmfk_L,0.4886,-0.0553,-0.0316,0.8702
handfk_L,0.6131,-0.2941,0.622,0.3883
bicepfk_R,0.7193,0.498,0.0431,-0.4824
forearmfk_R,0.4494,-0.0401,0.032,-0.8919
handfk_R,0.8003,-0.1873,0.5691,0.0238
thighfk_L,0.9997,-0.0104,-0.0207,0.0001
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.0287,-0.0262,0.9991,0.0197
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0111,0.0278,-0.0003
shinfk_R,0.9996,0.027,-0.0089,-0.0043
footfk_R,0.0288,-0.0269,-0.999,-0.0192
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7984,0.4195,0.4109,0.1337
thumbfk_02_L,0.9891,0.1162,-0.0466,-0.0772
thumbfk_03_L,0.9878,0.132,-0.0494,-0.0655
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.0201
pinkyfk_01_L,0.8372,0.5308,-0.1248,0.043
pinkyfk_02_L,0.6918,0.7215,0.0004,-0.0287
pinkyfk_03_L,0.6322,0.7659,-0.0751,0.0899
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9999,-0.0057,0.0056,0.0092
indexfk_02_L,1.0,-0.0085,0.0002,-0.0
indexfk_03_L,1.0,-0.005,0.0002,0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0067,-0.0067
middlefk_01_L,0.7832,0.6188,-0.0561,-0.0254
middlefk_02_L,0.7132,0.7007,-0.0186,0.0083
middlefk_03_L,0.7276,0.6844,-0.0293,-0.0374
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0179,0.0119
ringfk_01_L,0.8274,0.5581,-0.0621,-0.0047
ringfk_02_L,0.6804,0.7327,0.0003,-0.0127
ringfk_03_L,0.7572,0.6485,-0.0375,0.0677
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.2574,0.3416,-0.8171,-0.3864
thumbfk_02_R,0.9999,0.0126,-0.0008,-0.004
thumbfk_03_R,0.9999,0.01,0.0091,-0.0062
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0145
pinkyfk_01_R,0.9135,0.4023,0.0003,-0.0604
pinkyfk_02_R,0.9807,0.1946,0.0176,0.007
pinkyfk_03_R,0.9986,0.0524,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9972,0.0,-0.0525,0.0525
indexfk_01_R,0.8653,0.501,0.0052,0.0118
indexfk_02_R,0.9773,0.212,-0.0009,-0.004
indexfk_03_R,0.9984,0.0566,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0052,0.0052
middlefk_01_R,0.8665,0.4992,0.0034,0.0001
middlefk_02_R,0.9823,0.1866,0.0173,-0.0001
middlefk_03_R,0.9994,0.0335,0.0019,0.0058
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,-0.0,0.0136,-0.0091
ringfk_01_R,0.8986,0.4384,-0.0099,0.0164
ringfk_02_R,0.9843,0.1757,0.0144,0.0014
ringfk_03_R,0.999,0.0441,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9939,0.0386,0.1033,-0.0103
collar_L,0.9963,0.0825,0.0078,0.0205
neckfk,0.9999,-0.0059,0.0137,-0.0056
headfk,0.9996,-0.011,0.0229,-0.0149
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0005,0.0005,0.0002
chest_3,0.9998,-0.0185,-0.0024,-0.0071
chest_2,1.0,0.0007,0.0008,0.0003
chest_1,1.0,0.0017,0.0019,0.0005
hip,1.0,-0.0,0.0034,-0.0001
