motion_name,SG ASL Danger 2025-12-30
pose_name,SG ASL Danger 2025-12-30 P3
export_date,2025-12-30
current_frame,63
frame_budget,18

bone_name,w,x,y,z
bicepfk_L,0.8266,0.4382,0.3006,0.1855
forearmfk_L,0.4834,-0.0545,-0.0327,0.8731
handfk_L,0.8733,0.2432,0.3657,0.2108
bicepfk_R,0.8102,0.5254,0.0279,-0.2583
forearmfk_R,0.4872,-0.0529,0.031,-0.8711
handfk_R,0.9588,0.2677,-0.0906,0.0285
thighfk_L,0.9996,-0.0112,-0.0268,-0.0005
shinfk_L,0.9996,0.0271,0.0082,0.0041
footfk_L,0.029,-0.027,0.999,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0107,0.0217,-0.0009
shinfk_R,0.9996,0.027,-0.0093,-0.0042
footfk_R,0.0288,-0.0257,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.958,0.2128,0.1712,-0.0879
thumbfk_02_L,0.9999,0.003,-0.0075,0.0113
thumbfk_03_L,0.9929,0.1166,-0.0123,0.0195
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.0217
pinkyfk_01_L,0.8081,0.5732,-0.0924,0.0992
pinkyfk_02_L,0.708,0.7062,-0.0013,-0.0037
pinkyfk_03_L,0.8198,0.5722,0.0165,0.0149
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9957,-0.0,0.0657,-0.0657
indexfk_01_L,0.7914,0.6099,-0.0395,-0.0122
indexfk_02_L,0.7508,0.6606,0.0002,-0.0038
indexfk_03_L,0.8644,0.5025,0.0049,0.0163
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0072,-0.0072
middlefk_01_L,0.7476,0.6556,-0.036,0.0998
middlefk_02_L,0.7922,0.6102,-0.0056,0.0028
middlefk_03_L,0.7682,0.6402,-0.0066,-0.0022
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0188,0.0125
ringfk_01_L,0.8093,0.5843,-0.0563,0.0209
ringfk_02_L,0.6894,0.7244,0.0003,-0.0042
ringfk_03_L,0.9005,0.434,-0.005,0.0273
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9496,0.2322,-0.1933,0.084
thumbfk_02_R,0.9996,0.0164,0.0218,-0.0021
thumbfk_03_R,0.9714,0.2041,0.0887,-0.0829
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,-0.0,-0.0,-0.0221
pinkyfk_01_R,0.8014,0.5819,0.1028,-0.0931
pinkyfk_02_R,0.7373,0.6756,0.0011,0.0034
pinkyfk_03_R,0.8554,0.5175,-0.0175,-0.0138
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9958,-0.0,-0.0647,0.0647
indexfk_01_R,0.7976,0.6016,0.0397,0.0152
indexfk_02_R,0.8149,0.5796,0.0001,0.0039
indexfk_03_R,0.8853,0.4648,-0.0055,-0.0162
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0073,0.0073
middlefk_01_R,0.7421,0.6623,0.0421,-0.0937
middlefk_02_R,0.7841,0.6206,0.0056,-0.0028
middlefk_03_R,0.767,0.6416,0.0066,0.0022
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0196,-0.013
ringfk_01_R,0.7941,0.604,0.0611,-0.029
ringfk_02_R,0.7064,0.7078,-0.0002,0.0042
ringfk_03_R,0.9141,0.4046,0.0041,-0.0275
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9935,0.0166,0.1017,-0.0486
collar_L,0.9929,0.1063,-0.0365,0.0401
neckfk,1.0,0.005,0.0032,0.0017
headfk,0.9999,0.009,0.0063,0.0019
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0006,-0.0007,-0.001
chest_3,0.9998,-0.0199,-0.0041,-0.0088
chest_2,1.0,-0.0006,-0.0011,-0.0012
chest_1,1.0,-0.0014,-0.0019,-0.0026
hip,1.0,0.0002,-0.0024,0.0011
