motion_name,SG ASL Daredevil 2026-1-1
pose_name,SG ASL Daredevil 2026-1-1 P4
export_date,2026-1-1
current_frame,73
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.8921,0.2287,-0.3034,0.2443
forearmfk_L,0.5074,-0.0544,-0.033,0.8594
handfk_L,0.848,-0.1534,0.4871,-0.1419
bicepfk_R,0.9368,0.1663,0.2731,-0.1418
forearmfk_R,0.5014,-0.0541,0.0321,-0.8629
handfk_R,0.9478,-0.1305,-0.2511,0.147
thighfk_L,0.9996,-0.0117,-0.0245,-0.0001
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.0288,-0.0261,0.9991,0.0181
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0117,0.024,-0.0004
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.0291,-0.0265,-0.9991,-0.0182
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9887,0.141,-0.0148,0.0497
thumbfk_02_L,0.999,-0.0293,0.0296,0.0174
thumbfk_03_L,0.9995,-0.0207,0.0188,-0.0128
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.0268
pinkyfk_01_L,0.7123,0.6663,-0.1929,-0.1074
pinkyfk_02_L,0.6209,0.7838,-0.0,-0.008
pinkyfk_03_L,0.7976,0.6032,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9979,-0.0,0.0459,-0.0459
indexfk_01_L,0.8912,0.4445,-0.0479,-0.0767
indexfk_02_L,0.6923,0.7216,0.0049,-0.0036
indexfk_03_L,0.7703,0.6377,-0.0005,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0066,-0.0066
middlefk_01_L,0.7843,0.6008,-0.1419,-0.061
middlefk_02_L,0.6408,0.7677,-0.0,-0.0
middlefk_03_L,0.7488,0.6628,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0229,0.0153
ringfk_01_L,0.7214,0.6804,-0.1233,-0.0366
ringfk_02_L,0.7167,0.6974,-0.0,0.0001
ringfk_03_L,0.762,0.6476,-0.0,-0.0001
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9915,0.1259,0.022,-0.0256
thumbfk_02_R,0.9988,-0.0323,-0.0326,-0.0178
thumbfk_03_R,0.9999,-0.0101,-0.0091,0.0062
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0268
pinkyfk_01_R,0.7126,0.6687,0.1854,0.1029
pinkyfk_02_R,0.6237,0.7817,0.0,0.008
pinkyfk_03_R,0.801,0.5986,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.997,0.0,-0.0551,0.0551
indexfk_01_R,0.8438,0.5231,0.0774,0.0917
indexfk_02_R,0.6933,0.7206,-0.0048,0.0033
indexfk_03_R,0.772,0.6356,0.0005,0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0065,0.0065
middlefk_01_R,0.7873,0.5969,0.1424,0.0592
middlefk_02_R,0.6448,0.7644,0.0,0.0
middlefk_03_R,0.7498,0.6616,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0233,-0.0156
ringfk_01_R,0.7112,0.6905,0.1269,0.0363
ringfk_02_R,0.7182,0.6959,-0.0,-0.0001
ringfk_03_R,0.7687,0.6396,-0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9912,0.0419,0.1252,0.0046
collar_L,0.996,-0.0309,-0.0816,0.0169
neckfk,1.0,0.0006,-0.0019,0.003
headfk,1.0,0.0002,-0.0022,0.0058
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,-0.0005,-0.0016
chest_3,0.9998,-0.019,-0.004,-0.0095
chest_2,1.0,0.0003,-0.0009,-0.0022
chest_1,1.0,0.0007,-0.0024,-0.0044
hip,1.0,-0.0001,-0.0003,0.0001
