motion_name,SG ASL Darling 2026-1-4
pose_name,SG ASL Darling 2026-1-4 P1
export_date,2026-1-4
current_frame,42
frame_budget,42

bone_name,w,x,y,z
bicepfk_L,0.6788,0.6255,0.3094,0.2285
forearmfk_L,0.9063,-0.0254,-0.0564,0.418
handfk_L,0.9079,0.2405,0.3401,-0.0483
bicepfk_R,0.7401,0.5597,-0.351,-0.1257
forearmfk_R,0.4131,-0.0535,0.0227,-0.9088
handfk_R,0.8982,0.3763,0.2148,0.074
thighfk_L,0.9994,-0.0148,-0.0327,0.0007
shinfk_L,0.9996,0.0271,0.0089,0.004
footfk_L,0.0301,-0.0277,0.9989,0.0213
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0132,0.0157,0.0004
shinfk_R,0.9996,0.0273,-0.0084,-0.0044
footfk_R,0.0276,-0.0252,-0.9991,-0.0214
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0005,-0.0017,0.0
thumbfk_02_L,1.0,-0.0023,0.0027,0.0
thumbfk_03_L,1.0,-0.0028,0.0025,-0.0017
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,-0.0011,0.0,0.0
pinkyfk_03_L,1.0,-0.0003,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,-0.0007,0.0,-0.0
indexfk_03_L,1.0,-0.0003,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0003,0.0,0.0002
middlefk_02_L,1.0,-0.0007,0.0,-0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0001,-0.0,0.0003
ringfk_02_L,1.0,-0.0012,0.0,-0.0
ringfk_03_L,1.0,0.0003,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9424,0.0499,-0.2846,-0.1683
thumbfk_02_R,0.9999,0.0126,0.0048,-0.0033
thumbfk_03_R,0.9978,-0.0442,-0.0401,0.0272
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0086
pinkyfk_01_R,0.9585,0.2356,0.1606,0.0034
pinkyfk_02_R,0.9999,0.0167,-0.0,0.0002
pinkyfk_03_R,0.9996,-0.0287,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,-0.0,-0.0154,0.0154
indexfk_01_R,0.9875,0.1523,0.0272,-0.0308
indexfk_02_R,0.9887,0.1501,-0.0,-0.0
indexfk_03_R,0.9976,0.0692,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0019,0.0019
middlefk_01_R,0.9789,0.1893,0.0266,-0.0723
middlefk_02_R,0.9995,0.0313,-0.0,-0.0
middlefk_03_R,0.9997,-0.0253,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0076,-0.0051
ringfk_01_R,0.9608,0.2523,0.1005,0.0558
ringfk_02_R,0.9925,0.1221,-0.0,-0.0
ringfk_03_R,0.9999,-0.0151,0.0079,-0.0006
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9942,0.0096,0.1069,0.0048
collar_L,0.9999,-0.0123,-0.0045,-0.007
neckfk,0.9999,-0.0114,-0.0073,0.007
headfk,0.9997,-0.0121,-0.0102,0.0159
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0023,-0.0017
chest_3,0.9999,-0.0107,0.0019,-0.0071
chest_2,1.0,0.0022,0.0027,-0.0024
chest_1,1.0,-0.0,0.0055,-0.0055
hip,1.0,-0.0051,-0.0076,0.0011
