motion_name,SG ASL Dash Run 2026-1-6
pose_name,SG ASL Dash Run 2026-1-6 P2
export_date,2026-1-6
current_frame,54
frame_budget,29

bone_name,w,x,y,z
bicepfk_L,0.6737,0.645,0.2948,0.2078
forearmfk_L,0.915,-0.0228,-0.0572,0.3986
handfk_L,0.9155,0.2233,0.3338,-0.0257
bicepfk_R,0.6351,0.7114,-0.2028,-0.2222
forearmfk_R,0.7867,-0.0374,0.0503,-0.6141
handfk_R,0.8395,-0.0901,-0.5357,-0.0042
thighfk_L,0.9998,-0.0124,-0.0162,0.0009
shinfk_L,0.9996,0.0271,0.0104,0.0041
footfk_L,0.031,-0.0257,0.9989,0.022
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0143,0.0323,0.0007
shinfk_R,0.9996,0.027,-0.0073,-0.0043
footfk_R,0.0265,-0.0266,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,-0.0002,0.0,0.0012
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0003,0.0,0.0
ringfk_03_L,1.0,0.0005,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6949,0.3868,-0.5723,-0.1998
thumbfk_02_R,1.0,0.0,0.0,0.0
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0199
pinkyfk_01_R,0.8398,0.5274,0.1198,-0.0463
pinkyfk_02_R,0.6923,0.721,-0.0003,0.0288
pinkyfk_03_R,0.6415,0.7586,0.071,-0.089
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9977,0.0,-0.0478,0.0478
indexfk_01_R,0.8835,0.4533,0.1155,0.023
indexfk_02_R,0.9912,0.1258,-0.0358,-0.0197
indexfk_03_R,1.0,-0.0031,0.0,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0069,0.0069
middlefk_01_R,0.7718,0.6325,0.0591,0.0269
middlefk_02_R,0.7327,0.6803,0.0177,-0.0076
middlefk_03_R,0.7309,0.681,0.0267,0.0359
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0178,-0.0119
ringfk_01_R,0.8285,0.5563,0.0639,0.0088
ringfk_02_R,0.7062,0.7079,0.0,0.0129
ringfk_03_R,0.7834,0.6167,0.0332,-0.0697
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9939,0.0266,0.0891,-0.059
collar_L,0.9991,-0.0214,-0.0087,0.0343
neckfk,1.0,0.0006,-0.0026,0.0038
headfk,1.0,-0.001,-0.0032,0.008
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,0.0023,-0.0005
chest_3,0.9998,-0.0192,-0.0001,-0.008
chest_2,1.0,0.0001,0.003,-0.001
chest_1,1.0,0.0003,0.0068,-0.0023
hip,1.0,-0.003,0.0092,0.0016
