motion_name,SG ASL Dash Run Var 2026-1-6
pose_name,SG ASL Dash Run Var 2026-1-6 P1
export_date,2026-1-6
current_frame,33
frame_budget,33

bone_name,w,x,y,z
bicepfk_L,0.6852,0.6153,0.3384,0.1931
forearmfk_L,0.8923,-0.0272,-0.0564,0.4471
handfk_L,0.9115,0.2408,0.3273,-0.0642
bicepfk_R,0.8821,0.47,-0.0035,-0.0312
forearmfk_R,0.4705,-0.0544,0.0388,-0.8799
handfk_R,0.9477,-0.2648,-0.1748,-0.035
thighfk_L,0.9997,-0.0114,-0.0217,0.0004
shinfk_L,0.9996,0.027,0.009,0.0042
footfk_L,0.0293,-0.0261,0.999,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.012,0.0268,0.0001
shinfk_R,0.9996,0.027,-0.0084,-0.0042
footfk_R,0.0287,-0.0265,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.001,0.0048,0.0058
thumbfk_02_L,1.0,0.0024,-0.0025,-0.0002
thumbfk_03_L,1.0,0.0012,-0.0011,0.0007
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,-0.0007,-0.0015,-0.0012
pinkyfk_02_L,1.0,0.0009,-0.0,-0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0007,0.0001,-0.0005
indexfk_02_L,1.0,0.0014,-0.0,-0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0007,-0.001,-0.0023
middlefk_02_L,1.0,0.0009,0.0,-0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,-0.0,-0.0016,-0.0012
ringfk_02_L,1.0,0.0008,-0.0,0.0
ringfk_03_L,1.0,-0.0008,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7643,0.4329,-0.4101,-0.2455
thumbfk_02_R,0.9866,0.1272,0.0704,0.0746
thumbfk_03_R,0.9897,0.1254,0.0591,0.0341
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0177
pinkyfk_01_R,0.8718,0.4738,0.1192,-0.0368
pinkyfk_02_R,0.7503,0.6607,0.0002,0.0247
pinkyfk_03_R,0.7172,0.6901,0.0579,-0.0783
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9996,0.0,-0.019,0.019
indexfk_01_R,0.982,0.1887,-0.0054,-0.0106
indexfk_02_R,1.0,-0.0096,-0.0002,0.0
indexfk_03_R,1.0,-0.0039,-0.0002,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0062,0.0062
middlefk_01_R,0.8142,0.5772,0.058,0.024
middlefk_02_R,0.7322,0.6809,0.0146,-0.007
middlefk_03_R,0.7782,0.6269,0.0238,0.0293
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0163,-0.0109
ringfk_01_R,0.8552,0.514,0.0665,0.0098
ringfk_02_R,0.7312,0.682,0.0001,0.0109
ringfk_03_R,0.8273,0.5578,0.0278,-0.0598
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9963,0.0751,0.0407,0.013
collar_L,0.9997,0.013,-0.0196,0.0035
neckfk,1.0,-0.0012,-0.0017,0.0007
headfk,1.0,-0.0024,-0.0027,0.0021
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,0.0011,-0.0006
chest_3,0.9998,-0.0191,-0.0016,-0.0082
chest_2,1.0,0.0003,0.0014,-0.001
chest_1,1.0,0.0006,0.0033,-0.0023
hip,1.0,-0.0006,0.0027,0.0
