motion_name,SG ASL Daybreak 2026-1-12
pose_name,SG ASL Daybreak 2026-1-12 P1
export_date,2026-1-12
current_frame,38
frame_budget,38

bone_name,w,x,y,z
bicepfk_L,0.6801,0.3842,0.4197,0.4623
forearmfk_L,0.6138,-0.0455,-0.0373,0.7872
handfk_L,0.5687,-0.1305,-0.8115,-0.0323
bicepfk_R,0.7555,0.4681,-0.3668,-0.2749
forearmfk_R,0.9443,-0.0125,0.0631,-0.3226
handfk_R,0.4242,-0.1415,0.8944,0.0019
thighfk_L,0.9996,-0.0116,-0.0249,0.0002
shinfk_L,0.9996,0.0271,0.0073,0.0041
footfk_L,0.0286,-0.0267,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0115,0.0236,-0.0002
shinfk_R,0.9996,0.0271,-0.0094,-0.0041
footfk_R,0.029,-0.0261,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7523,0.0251,0.6563,0.0512
thumbfk_02_L,0.9522,0.2742,-0.1152,-0.0704
thumbfk_03_L,0.9999,0.0073,-0.0067,0.0045
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,-0.0016,0.0002,-0.0003
pinkyfk_02_L,1.0,0.0005,0.0,-0.0
pinkyfk_03_L,1.0,0.001,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0009,0.0,0.0007
indexfk_02_L,1.0,-0.0005,0.0,-0.0
indexfk_03_L,1.0,0.0006,-0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0037,-0.0003,0.0017
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0001,0.0
ringfk_01_L,1.0,0.0049,-0.0004,0.0032
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,-0.0059,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.68,0.2371,-0.5272,-0.451
thumbfk_02_R,0.9749,0.1568,0.1578,0.0059
thumbfk_03_R,0.9867,0.1151,0.0971,-0.061
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0008
pinkyfk_01_R,0.9795,-0.0055,0.0889,0.1808
pinkyfk_02_R,0.9996,0.0269,-0.0,0.0003
pinkyfk_03_R,0.9996,-0.0284,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9996,-0.0,-0.0195,0.0195
indexfk_01_R,0.9809,0.1929,-0.0182,0.0174
indexfk_02_R,0.961,0.2766,-0.0,0.0
indexfk_03_R,0.9893,0.1461,0.0001,0.0004
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0014,0.0014
middlefk_01_R,0.9735,0.1495,0.076,0.1557
middlefk_02_R,0.9849,0.1732,-0.0,-0.0
middlefk_03_R,0.9983,0.0577,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0022,-0.0014
ringfk_01_R,0.9781,0.0878,0.0946,0.1631
ringfk_02_R,0.9972,0.0742,-0.0,-0.0
ringfk_03_R,0.9976,0.0698,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9919,0.0465,0.1159,-0.0243
collar_L,0.9895,0.0867,-0.0414,0.1078
neckfk,0.9998,-0.0117,0.014,0.0002
headfk,0.9994,-0.0217,0.0256,-0.0051
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0032,-0.0059,-0.0031
chest_3,0.9998,-0.015,-0.0109,-0.0118
chest_2,1.0,0.0044,-0.0083,-0.0033
chest_1,0.9997,0.01,-0.0185,-0.0078
hip,1.0,-0.0002,-0.0006,0.0
