motion_name,SG ASL Daycare Alt 2026-1-12
pose_name,SG ASL Daycare Alt 2026-1-12 P1
export_date,2026-1-12
current_frame,26
frame_budget,26

bone_name,w,x,y,z
bicepfk_L,0.7891,0.5463,0.2754,0.0552
forearmfk_L,0.5761,-0.0498,-0.04,0.8149
handfk_L,0.5244,0.3307,-0.6153,-0.4868
bicepfk_R,0.7352,0.5423,-0.4065,0.0097
forearmfk_R,0.5173,-0.0507,0.0453,-0.8531
handfk_R,0.6776,0.2087,0.6823,0.1779
thighfk_L,0.9988,-0.0166,-0.0457,0.0002
shinfk_L,0.9996,0.0269,0.0083,0.0041
footfk_L,0.0283,-0.0276,0.9991,0.018
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9999,-0.0122,0.0028,-0.0
shinfk_R,0.9996,0.0268,-0.0108,-0.0043
footfk_R,0.0296,-0.0244,-0.999,-0.0217
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9975,0.0005,0.0478,-0.0519
thumbfk_02_L,0.9653,0.1539,-0.0209,-0.21
thumbfk_03_L,0.9986,0.0148,-0.0386,-0.033
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0069
pinkyfk_01_L,0.9804,0.197,0.002,0.0052
pinkyfk_02_L,0.9999,0.0115,-0.0,-0.0001
pinkyfk_03_L,0.9877,0.1562,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,0.0,0.0082,-0.0082
indexfk_01_L,0.9861,0.0784,-0.1463,0.0077
indexfk_02_L,0.9947,0.1024,0.0,0.0
indexfk_03_L,0.9999,0.017,0.0,-0.001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.001,-0.001
middlefk_01_L,0.9829,0.091,-0.152,0.0499
middlefk_02_L,0.989,0.1477,-0.0,-0.0
middlefk_03_L,0.9996,0.0282,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0054,0.0036
ringfk_01_L,0.9661,0.1666,-0.1972,0.0088
ringfk_02_L,0.9938,0.1108,-0.0,-0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.997,0.0013,-0.052,0.0569
thumbfk_02_R,0.9641,0.1601,0.0258,0.2105
thumbfk_03_R,0.9986,0.0148,0.0384,0.0329
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0066
pinkyfk_01_R,0.9825,0.1865,-0.0013,-0.0042
pinkyfk_02_R,1.0,0.0068,0.0,0.0001
pinkyfk_03_R,0.9879,0.1553,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0066,0.0066
indexfk_01_R,0.9872,0.0629,0.1462,-0.0075
indexfk_02_R,0.9951,0.0985,-0.0,-0.0
indexfk_03_R,0.9999,0.0148,-0.0,0.001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0008,0.0008
middlefk_01_R,0.9847,0.067,0.1532,-0.0491
middlefk_02_R,0.9878,0.1555,0.0,0.0
middlefk_03_R,0.9995,0.033,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0047,-0.0031
ringfk_01_R,0.9698,0.145,0.1954,-0.0144
ringfk_02_R,0.9941,0.1086,0.0,0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.993,0.0728,0.0914,-0.0139
collar_L,0.9935,0.0893,-0.0381,0.0594
neckfk,0.9999,0.0022,-0.0051,0.0102
headfk,0.9998,0.0047,-0.005,0.0207
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0015,0.0034,-0.0027
chest_3,0.9998,-0.0174,0.0014,-0.0109
chest_2,1.0,0.0021,0.0041,-0.004
chest_1,0.9999,0.0046,0.0094,-0.009
hip,0.9998,-0.0034,-0.0214,-0.0003
