motion_name,SG ASL Daycare Other 2026-1-13
pose_name,SG ASL Daycare Other 2026-1-13 P1
export_date,2026-1-13
current_frame,40
frame_budget,40

bone_name,w,x,y,z
bicepfk_L,0.6918,0.3436,0.3951,0.4972
forearmfk_L,0.6653,-0.04,-0.0387,0.7445
handfk_L,0.9041,0.1584,0.3939,-0.0483
bicepfk_R,0.7542,0.5281,0.1371,-0.3653
forearmfk_R,0.4107,-0.0569,0.0261,-0.9096
handfk_R,0.838,-0.0797,0.5398,-0.0083
thighfk_L,0.9997,-0.0113,-0.0234,0.0002
shinfk_L,0.9996,0.0271,0.0086,0.0042
footfk_L,0.0282,-0.0278,0.999,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0114,0.0251,-0.0001
shinfk_R,0.9996,0.0269,-0.0089,-0.0042
footfk_R,0.0295,-0.025,-0.9991,-0.019
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9787,0.1125,0.1664,-0.043
thumbfk_02_L,0.9938,0.0646,-0.0101,-0.0899
thumbfk_03_L,0.9998,-0.0018,-0.0085,-0.0165
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0033
pinkyfk_01_L,0.9946,0.0951,0.0151,0.0393
pinkyfk_02_L,1.0,-0.007,-0.0005,-0.0004
pinkyfk_03_L,0.9996,0.0285,-0.0002,0.0039
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,-0.0,0.0105,-0.0105
indexfk_01_L,0.9914,0.1049,-0.0773,-0.0081
indexfk_02_L,0.9986,0.053,0.0,-0.0
indexfk_03_L,0.9999,0.0102,0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0015,-0.0015
middlefk_01_L,0.9839,0.1476,-0.0796,0.0611
middlefk_02_L,0.9903,0.1388,0.0,-0.0
middlefk_03_L,0.9976,0.069,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0015,0.001
ringfk_01_L,0.9957,0.0492,-0.0779,0.007
ringfk_02_L,0.9988,0.0496,-0.0003,-0.0005
ringfk_03_L,0.9998,0.0172,0.0006,0.0026
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7881,0.4159,-0.4101,-0.1942
thumbfk_02_R,0.9884,0.1159,0.0509,0.0839
thumbfk_03_R,0.9902,0.121,0.0497,0.0494
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0193
pinkyfk_01_R,0.8486,0.5136,0.1171,-0.0478
pinkyfk_02_R,0.7053,0.7083,-0.0,0.0274
pinkyfk_03_R,0.6628,0.7411,0.0653,-0.0847
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0001,0.0
indexfk_01_R,1.0,0.0006,-0.0049,-0.0008
indexfk_02_R,1.0,0.0005,-0.0002,0.0
indexfk_03_R,1.0,-0.0019,-0.0002,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0067,0.0067
middlefk_01_R,0.7834,0.6185,0.0564,0.0231
middlefk_02_R,0.7357,0.6771,0.0165,-0.0074
middlefk_03_R,0.743,0.668,0.0256,0.0332
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0178,-0.0118
ringfk_01_R,0.8291,0.5552,0.0649,0.0107
ringfk_02_R,0.6993,0.7147,0.0,0.0121
ringfk_03_R,0.783,0.6178,0.0316,-0.0653
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9918,0.0728,0.1052,-0.0008
collar_L,0.9953,0.0616,-0.0467,0.059
neckfk,0.9999,-0.0035,0.0096,0.0043
headfk,0.9998,-0.0057,0.0188,0.0056
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0024,-0.0005,-0.0044
chest_3,0.9998,-0.016,-0.0033,-0.0135
chest_2,1.0,0.0036,-0.0009,-0.0059
chest_1,0.9999,0.0076,-0.0021,-0.0134
hip,1.0,-0.0,0.0007,-0.0
