motion_name,SG ASL Daydream Alt 2026-1-13
pose_name,SG ASL Daydream Alt 2026-1-13 P4
export_date,2026-1-13
current_frame,114
frame_budget,20

bone_name,w,x,y,z
bicepfk_L,0.8912,0.1793,-0.3293,0.2554
forearmfk_L,0.6808,-0.0458,-0.0437,0.7297
handfk_L,0.9447,-0.0646,-0.3167,0.0553
bicepfk_R,0.9498,0.093,0.2934,-0.0559
forearmfk_R,0.7357,-0.0426,0.0471,-0.6743
handfk_R,0.9528,-0.0456,0.2533,-0.161
thighfk_L,0.9996,-0.0112,-0.0256,0.0004
shinfk_L,0.9996,0.027,0.0085,0.0043
footfk_L,0.0288,-0.0267,0.9991,0.0182
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0109,0.023,0.0001
shinfk_R,0.9996,0.027,-0.0089,-0.0042
footfk_R,0.029,-0.0264,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8289,0.119,0.5449,0.0431
thumbfk_02_L,0.9919,0.0942,0.0011,0.0848
thumbfk_03_L,0.995,0.0738,0.0336,0.0581
thumbfk_04_L,0.998,0.0218,0.0246,0.0539
pinkyinte_metacarpal_L,1.0,-0.0,0.0,-0.0053
pinkyfk_01_L,0.9859,0.1485,0.0664,-0.038
pinkyfk_02_L,0.9966,0.0818,-0.0008,-0.0131
pinkyfk_03_L,0.9977,0.0616,0.0095,0.0252
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9996,-0.0,0.0205,-0.0205
indexfk_01_L,0.9446,0.1645,0.2779,-0.0586
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0022,-0.0022
middlefk_01_L,0.9725,0.2094,0.0984,-0.0271
middlefk_02_L,0.9948,0.0984,-0.0252,0.0039
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0073,0.0049
ringfk_01_L,0.963,0.2338,0.1334,-0.0127
ringfk_02_L,0.9964,0.0835,-0.0057,-0.0149
ringfk_03_L,0.9985,-0.046,0.0022,0.0301
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8464,0.0976,-0.5233,-0.0127
thumbfk_02_R,0.9935,0.0738,-0.037,-0.0787
thumbfk_03_R,0.9959,0.0224,-0.0865,-0.0155
thumbfk_04_R,0.998,0.0218,-0.0246,-0.0539
pinkyinte_metacarpal_R,1.0,-0.0,-0.0,-0.0041
pinkyfk_01_R,0.9885,0.1121,-0.0671,0.0767
pinkyfk_02_R,0.9999,0.0115,0.0016,0.0123
pinkyfk_03_R,0.9996,0.0081,-0.0113,-0.023
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9996,-0.0,-0.0208,0.0208
indexfk_01_R,0.9439,0.1672,-0.2783,0.0602
indexfk_02_R,1.0,0.0062,0.0,-0.0
indexfk_03_R,1.0,0.0039,-0.0001,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0015,0.0015
middlefk_01_R,0.9852,0.1393,-0.0905,0.0426
middlefk_02_R,0.9995,0.0204,0.0249,-0.0056
middlefk_03_R,0.9991,-0.0417,0.0001,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0041,-0.0028
ringfk_01_R,0.9812,0.1305,-0.1405,0.0225
ringfk_02_R,0.9999,0.0048,0.0066,0.0144
ringfk_03_R,0.9986,-0.0429,-0.0021,-0.0293
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9782,0.0033,0.2071,0.0152
collar_L,0.9921,-0.0593,-0.1017,-0.0436
neckfk,0.9998,-0.0077,-0.0087,0.013
headfk,0.9995,-0.0137,-0.0111,0.0273
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,-0.0011,-0.0059
chest_3,0.9997,-0.0187,-0.0043,-0.0152
chest_2,1.0,0.0007,-0.0022,-0.0075
chest_1,0.9998,0.0014,-0.0049,-0.0173
hip,1.0,0.0003,-0.0013,-0.0003
