motion_name,SG ASL Daylight Alt 2026-1-16
pose_name,SG ASL Daylight Alt 2026-1-16 P2
export_date,2026-1-16
current_frame,45
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.6809,0.361,0.3709,0.5182
forearmfk_L,0.72,-0.0416,-0.0483,0.691
handfk_L,0.9141,0.113,0.384,0.0644
bicepfk_R,0.7567,0.4817,-0.1325,-0.4216
forearmfk_R,0.6086,-0.0428,0.0507,-0.7907
handfk_R,0.9594,0.1981,0.1396,0.1443
thighfk_L,0.9996,-0.0107,-0.0243,0.0003
shinfk_L,0.9996,0.0269,0.0082,0.0043
footfk_L,0.0289,-0.0264,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0107,0.0242,-0.0001
shinfk_R,0.9996,0.0267,-0.0095,-0.0041
footfk_R,0.0293,-0.0257,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9853,0.1128,0.1276,0.0164
thumbfk_02_L,0.9808,0.1098,-0.0106,-0.1611
thumbfk_03_L,0.9932,-0.0731,0.0464,-0.0783
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0043
pinkyfk_01_L,0.9921,0.1237,0.0146,0.0177
pinkyfk_02_L,0.9972,0.0754,0.0,0.0
pinkyfk_03_L,0.9982,0.0602,0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9998,0.0,0.0132,-0.0132
indexfk_01_L,0.9884,0.1304,-0.0773,0.0056
indexfk_02_L,0.9987,0.0511,0.0,-0.0
indexfk_03_L,1.0,-0.004,0.0,-0.0009
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0012,-0.0012
middlefk_01_L,0.9863,0.1155,-0.1148,0.0248
middlefk_02_L,0.9988,0.0494,0.0,-0.0
middlefk_03_L,0.9975,0.0705,0.0,0.0
middlefk_04_L,0.9969,0.0785,-0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0033,0.0022
ringfk_01_L,0.982,0.1012,-0.1575,0.0248
ringfk_02_L,0.9687,0.2482,0.0,0.0
ringfk_03_L,1.0,0.0044,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.771,0.4329,-0.4167,-0.2109
thumbfk_02_R,0.9876,0.1219,0.0567,0.0809
thumbfk_03_R,0.9893,0.1274,0.0518,0.0498
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0191
pinkyfk_01_R,0.8525,0.5068,0.1215,-0.0394
pinkyfk_02_R,0.7106,0.7031,0.0002,0.0275
pinkyfk_03_R,0.6481,0.7541,0.0665,-0.0832
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0009,0.0009
indexfk_01_R,0.9999,0.0087,-0.0062,0.0068
indexfk_02_R,0.9994,0.0337,-0.0001,0.0
indexfk_03_R,0.9999,0.0111,-0.0002,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0069,0.0069
middlefk_01_R,0.7721,0.6314,0.066,0.029
middlefk_02_R,0.745,0.6668,0.0165,-0.0077
middlefk_03_R,0.7358,0.6758,0.0255,0.0337
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0181,-0.0121
ringfk_01_R,0.8223,0.5647,0.0689,0.0141
ringfk_02_R,0.6794,0.7337,-0.0001,0.0123
ringfk_03_R,0.7879,0.6115,0.0311,-0.0657
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9894,0.0555,0.132,0.0249
collar_L,0.9947,0.0646,-0.0354,0.0718
neckfk,1.0,0.0025,0.0027,0.0051
headfk,0.9999,0.0046,0.007,0.0081
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.002,0.0005,-0.0047
chest_3,0.9998,-0.0168,-0.0021,-0.0137
chest_2,1.0,0.0027,0.0004,-0.0062
chest_1,0.9999,0.0055,0.0014,-0.014
hip,1.0,0.0007,-0.0001,-0.0001
