motion_name,SG ASL Daylight Other 2 2026-1-16
pose_name,SG ASL Daylight Other 2 2026-1-16 P2
export_date,2026-1-16
current_frame,36
frame_budget,7

bone_name,w,x,y,z
bicepfk_L,0.7641,0.5855,0.0622,0.2636
forearmfk_L,0.7944,-0.0376,-0.05,0.6042
handfk_L,0.8071,0.3017,0.4922,0.1237
bicepfk_R,0.7473,0.6158,-0.1189,-0.2194
forearmfk_R,0.6587,-0.045,0.05,-0.7494
handfk_R,0.7859,0.5816,-0.0162,0.2096
thighfk_L,0.9998,-0.0101,-0.0197,-0.0005
shinfk_L,0.9996,0.0271,0.0095,0.0042
footfk_L,0.0292,-0.0259,0.999,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0111,0.0288,-0.0009
shinfk_R,0.9996,0.0271,-0.0083,-0.0042
footfk_R,0.0287,-0.0267,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9913,0.0917,0.094,0.0047
thumbfk_02_L,0.9906,0.0793,-0.0062,-0.1112
thumbfk_03_L,0.9942,-0.0668,0.0417,-0.0733
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0036
pinkyfk_01_L,0.994,0.1024,0.0058,0.0382
pinkyfk_02_L,0.9982,0.0601,-0.0,0.0
pinkyfk_03_L,0.9986,0.0536,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,0.0,0.0071,-0.0071
indexfk_01_L,0.9953,0.0706,-0.0669,0.003
indexfk_02_L,0.9953,0.0968,0.0,-0.0
indexfk_03_L,0.9997,0.026,0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0007,-0.0007
middlefk_01_L,0.9941,0.0703,-0.083,0.0011
middlefk_02_L,0.9968,0.0798,-0.0,-0.0
middlefk_03_L,0.9977,0.0673,0.0,-0.0
middlefk_04_L,0.9983,0.0575,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0021,0.0014
ringfk_01_L,0.9895,0.074,-0.1115,-0.0553
ringfk_02_L,0.99,0.1413,-0.0,-0.0
ringfk_03_L,0.9999,0.0159,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,-0.0001,-0.0022,0.0035
thumbfk_02_R,0.9913,0.1143,0.0591,0.0274
thumbfk_03_R,0.9995,-0.0062,-0.0149,0.027
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0217
pinkyfk_01_R,0.8114,0.5701,0.116,-0.0572
pinkyfk_02_R,0.7144,0.6991,0.0003,0.0297
pinkyfk_03_R,0.6464,0.7536,0.0744,-0.0937
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9997,-0.0179,0.0027,0.016
indexfk_02_R,0.9994,0.0311,-0.0123,0.002
indexfk_03_R,1.0,0.0083,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9982,-0.0211,0.0478,0.0301
middlefk_02_R,0.9995,0.0244,0.0192,-0.006
middlefk_03_R,0.9999,-0.0155,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0202,-0.0135
ringfk_01_R,0.7808,0.6228,0.0503,-0.003
ringfk_02_R,0.6975,0.7164,-0.0001,0.0135
ringfk_03_R,0.7833,0.6164,0.0338,-0.0734
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9872,0.0526,0.1483,-0.0243
collar_L,0.9958,0.0475,-0.0524,0.0584
neckfk,1.0,-0.0069,0.0007,0.0033
headfk,0.9999,-0.0129,0.0027,0.006
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0014,0.0009,-0.0016
chest_3,0.9998,-0.0174,-0.0019,-0.0095
chest_2,1.0,0.002,0.0011,-0.0022
chest_1,1.0,0.0042,0.0026,-0.0047
hip,1.0,0.0007,0.0046,0.0008
