motion_name,SG ASL Deaf School 2026-1-21
pose_name,SG ASL Deaf School 2026-1-21 P4
export_date,2026-1-21
current_frame,53
frame_budget,5

bone_name,w,x,y,z
bicepfk_L,0.7984,0.5494,0.0874,0.2303
forearmfk_L,0.6688,-0.0465,-0.0433,0.7407
handfk_L,0.9798,0.1494,0.108,0.0774
bicepfk_R,0.7218,0.6224,-0.164,-0.2543
forearmfk_R,0.5832,-0.0518,0.0416,-0.8096
handfk_R,0.9855,0.1172,-0.1226,-0.001
thighfk_L,0.9996,-0.0119,-0.0237,0.0003
shinfk_L,0.9996,0.0271,0.0087,0.0042
footfk_L,0.0287,-0.0265,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.012,0.0248,-0.0
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0292,-0.0258,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7786,0.3273,0.4888,0.2186
thumbfk_02_L,0.9708,0.2252,-0.0654,-0.0503
thumbfk_03_L,0.9438,0.3088,0.0788,0.0872
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0014
pinkyfk_01_L,0.9991,0.0407,-0.0101,0.0117
pinkyfk_02_L,0.9998,0.0217,0.0,-0.0002
pinkyfk_03_L,0.9998,0.018,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9948,-0.0,0.0721,-0.0721
indexfk_01_L,0.7508,0.6604,-0.007,-0.0084
indexfk_02_L,0.7144,0.6997,-0.0001,-0.0124
indexfk_03_L,0.7932,0.6073,0.0241,0.038
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0073,-0.0073
middlefk_01_L,0.7429,0.6694,0.0055,-0.0035
middlefk_02_L,0.6848,0.7285,-0.0174,0.0102
middlefk_03_L,0.7709,0.6366,-0.0213,-0.0072
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0244,0.0163
ringfk_01_L,0.6867,0.7268,-0.0107,0.0106
ringfk_02_L,0.7119,0.7021,-0.0,-0.0135
ringfk_03_L,0.7858,0.6122,-0.0324,0.0823
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7455,0.3556,-0.5084,-0.2437
thumbfk_02_R,0.9692,0.2298,0.0693,0.0554
thumbfk_03_R,0.9375,0.3256,-0.064,-0.1044
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0006
pinkyfk_01_R,0.9995,0.0164,-0.0059,-0.0262
pinkyfk_02_R,1.0,-0.0021,0.0,-0.0
pinkyfk_03_R,1.0,0.0011,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9945,0.0,-0.0743,0.0743
indexfk_01_R,0.7366,0.6764,-0.0006,-0.0008
indexfk_02_R,0.7209,0.6929,0.0001,0.0126
indexfk_03_R,0.8067,0.5892,-0.0251,-0.0371
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0074,0.0074
middlefk_01_R,0.7401,0.6724,-0.0046,0.0041
middlefk_02_R,0.6681,0.7438,0.0175,-0.0099
middlefk_03_R,0.7704,0.6372,0.0213,0.0072
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9995,-0.0,0.0253,-0.0169
ringfk_01_R,0.6642,0.7473,0.0141,-0.0124
ringfk_02_R,0.705,0.7091,0.0,0.0136
ringfk_03_R,0.7694,0.6326,0.0333,-0.0819
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9951,0.0517,0.084,-0.0102
collar_L,0.9966,0.0712,-0.015,0.0392
neckfk,1.0,0.0012,0.0022,-0.0007
headfk,1.0,0.0023,0.0039,-0.0021
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0032,-0.0077
chest_2,1.0,0.0002,0.0001,-0.0002
chest_1,1.0,0.0001,-0.0,-0.0007
hip,1.0,-0.0005,0.0004,-0.0001
