motion_name,SG ASL Deaf School Alt 2026-1-20
pose_name,SG ASL Deaf School Alt 2026-1-20 P2
export_date,2026-1-20
current_frame,62
frame_budget,30

bone_name,w,x,y,z
bicepfk_L,0.7277,0.5996,0.2986,0.1473
forearmfk_L,0.8759,-0.0292,-0.056,0.4783
handfk_L,0.926,0.2103,0.3047,-0.0741
bicepfk_R,0.8704,0.3413,0.21,-0.286
forearmfk_R,0.2288,-0.0612,0.0132,-0.9715
handfk_R,0.8656,-0.1102,-0.4065,0.2707
thighfk_L,0.9994,-0.0127,-0.0315,0.0002
shinfk_L,0.9996,0.0271,0.0086,0.0042
footfk_L,0.0288,-0.0267,0.9991,0.0182
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0112,0.017,-0.0002
shinfk_R,0.9996,0.0271,-0.009,-0.0042
footfk_R,0.0291,-0.0259,-0.9991,-0.0191
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9999,0.0029,0.0149,0.0033
thumbfk_02_L,1.0,0.0007,-0.0006,0.0008
thumbfk_03_L,1.0,-0.0004,0.0003,-0.0002
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,-0.0011,-0.0016,0.0042
pinkyfk_02_L,1.0,0.0001,0.0005,-0.0005
pinkyfk_03_L,1.0,0.0007,0.0001,0.0015
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
indexfk_01_L,0.9999,0.0029,0.0157,-0.0024
indexfk_02_L,1.0,-0.0025,0.0005,-0.0001
indexfk_03_L,1.0,-0.0046,0.0003,0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0016,0.0054,-0.0043
middlefk_02_L,1.0,-0.0002,-0.0008,0.0003
middlefk_03_L,1.0,-0.0032,-0.0,-0.0009
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0001,0.0
ringfk_01_L,1.0,0.0022,0.0023,0.0032
ringfk_02_L,1.0,0.0019,0.0002,-0.0006
ringfk_03_L,1.0,-0.003,0.0,0.0006
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7573,0.4338,-0.4252,-0.24
thumbfk_02_R,0.9853,0.1332,0.0825,0.0685
thumbfk_03_R,0.9843,0.1526,0.0876,0.0101
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.018
pinkyfk_01_R,0.8683,0.4805,0.1178,-0.0365
pinkyfk_02_R,0.7266,0.6867,-0.0005,0.0242
pinkyfk_03_R,0.6992,0.7091,0.0581,-0.0707
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0018,0.0018
indexfk_01_R,0.9997,0.018,-0.0059,-0.0129
indexfk_02_R,1.0,0.0057,-0.0002,0.0
indexfk_03_R,1.0,-0.0011,-0.0001,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0067,0.0067
middlefk_01_R,0.7826,0.6198,0.0549,0.0196
middlefk_02_R,0.7106,0.7034,0.0141,-0.006
middlefk_03_R,0.7405,0.6711,0.0208,0.0288
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.017,-0.0114
ringfk_01_R,0.8419,0.535,0.0683,0.0173
ringfk_02_R,0.6702,0.7421,-0.0004,0.0102
ringfk_03_R,0.7985,0.5988,0.0284,-0.0545
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9956,0.0246,0.0891,0.0169
collar_L,0.999,0.0364,0.0107,0.0244
neckfk,0.9996,0.0048,0.0284,-0.0033
headfk,0.9986,0.0098,0.05,-0.0168
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,-0.002,-0.0019
chest_3,0.9998,-0.0191,-0.0058,-0.0101
chest_2,1.0,0.0002,-0.0026,-0.0022
chest_1,1.0,0.0006,-0.006,-0.0051
hip,1.0,-0.0007,-0.0072,-0.0001
