motion_name,SG ASL Deaf School Var 2026-1-21
pose_name,SG ASL Deaf School Var 2026-1-21 P2
export_date,2026-1-21
current_frame,65
frame_budget,17

bone_name,w,x,y,z
bicepfk_L,0.745,0.6178,0.0826,0.2378
forearmfk_L,0.6435,-0.0501,-0.0457,0.7625
handfk_L,0.9938,-0.0962,0.0519,-0.0203
bicepfk_R,0.6909,0.6756,-0.1666,-0.196
forearmfk_R,0.5081,-0.0528,0.0341,-0.859
handfk_R,0.973,-0.0913,-0.1296,0.1679
thighfk_L,0.9996,-0.0135,-0.0267,-0.0001
shinfk_L,0.9996,0.0268,0.0085,0.0043
footfk_L,0.0289,-0.0264,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.013,0.0218,-0.0003
shinfk_R,0.9996,0.0268,-0.0092,-0.0042
footfk_R,0.0291,-0.0261,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7994,0.2982,0.4741,0.2175
thumbfk_02_L,0.9706,0.2269,-0.0645,-0.0481
thumbfk_03_L,0.9448,0.3058,0.0789,0.0867
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0026
pinkyfk_01_L,0.9971,0.0726,-0.0228,0.0094
pinkyfk_02_L,0.9987,0.0519,-0.0,-0.0005
pinkyfk_03_L,0.9993,0.0363,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9946,-0.0,0.073,-0.073
indexfk_01_L,0.7449,0.6671,-0.0088,-0.0117
indexfk_02_L,0.7094,0.7047,0.0001,-0.0125
indexfk_03_L,0.8029,0.5945,0.0249,0.0373
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0073,-0.0073
middlefk_01_L,0.7444,0.6678,0.0049,-0.0038
middlefk_02_L,0.6745,0.738,-0.0175,0.01
middlefk_03_L,0.7706,0.637,-0.0213,-0.0072
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0245,0.0164
ringfk_01_L,0.6839,0.7294,-0.0093,0.0121
ringfk_02_L,0.7256,0.688,-0.0002,-0.0136
ringfk_03_L,0.7928,0.603,-0.0319,0.0827
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7609,0.3401,-0.4965,-0.2425
thumbfk_02_R,0.9685,0.2326,0.0695,0.0562
thumbfk_03_R,0.9401,0.3184,-0.0556,-0.1084
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0004
pinkyfk_01_R,0.9998,0.0113,-0.0064,-0.013
pinkyfk_02_R,1.0,0.0042,0.0,0.0
pinkyfk_03_R,1.0,0.0076,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9945,0.0,-0.0743,0.0743
indexfk_01_R,0.7365,0.6763,-0.0065,-0.0053
indexfk_02_R,0.7071,0.707,-0.0,0.0123
indexfk_03_R,0.8049,0.5918,-0.0251,-0.037
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0074,0.0074
middlefk_01_R,0.7397,0.6729,-0.0041,0.006
middlefk_02_R,0.6821,0.731,0.0173,-0.0103
middlefk_03_R,0.7679,0.6402,0.0213,0.0073
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0248,-0.0165
ringfk_01_R,0.6781,0.7348,0.0133,-0.0095
ringfk_02_R,0.708,0.7061,-0.0,0.0138
ringfk_03_R,0.7736,0.6274,0.0339,-0.0815
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9904,0.0085,0.1307,-0.0444
collar_L,0.9971,0.0259,-0.0203,0.069
neckfk,1.0,0.0004,0.0025,-0.0007
headfk,1.0,0.0007,0.0043,-0.0022
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0025,-0.0004,-0.0021
chest_3,0.9998,-0.0159,-0.0036,-0.0102
chest_2,1.0,0.0035,-0.0009,-0.0029
chest_1,0.9999,0.0077,-0.0022,-0.0068
hip,1.0,-0.0021,-0.0025,0.0002
