motion_name,SG ASL Deal 2026-1-25
pose_name,SG ASL Deal 2026-1-25 P1
export_date,2026-1-25
current_frame,23
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.7324,0.5844,0.3203,0.1398
forearmfk_L,0.6927,-0.0402,-0.0492,0.7184
handfk_L,0.9654,0.0937,-0.1456,-0.1952
bicepfk_R,0.7991,0.5522,-0.2093,-0.1126
forearmfk_R,0.7024,-0.0371,0.0526,-0.7089
handfk_R,0.9699,0.1253,0.1157,0.1735
thighfk_L,0.9995,-0.0113,-0.0281,-0.0002
shinfk_L,0.9996,0.0271,0.0082,0.0041
footfk_L,0.0288,-0.0268,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0106,0.0204,-0.0006
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8226,0.271,0.4977,0.046
thumbfk_02_L,0.9792,0.1825,-0.0339,-0.0815
thumbfk_03_L,0.98,0.1871,-0.0326,-0.0598
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.0219
pinkyfk_01_L,0.8069,0.5759,-0.117,0.0599
pinkyfk_02_L,0.7068,0.7068,0.0,-0.0297
pinkyfk_03_L,0.6456,0.7544,-0.0725,0.0943
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9994,-0.0,0.0238,-0.0238
indexfk_01_L,0.9703,0.2368,-0.0265,-0.0408
indexfk_02_L,0.8273,0.5616,0.0085,-0.0083
indexfk_03_L,0.8788,0.477,0.0134,0.0011
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0052,-0.0052
middlefk_01_L,0.8672,0.4978,0.0051,0.0039
middlefk_02_L,0.7384,0.6744,-0.0001,0.0
middlefk_03_L,0.737,0.6759,-0.0001,-0.0001
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0177,0.0118
ringfk_01_L,0.8313,0.5528,-0.0575,0.0043
ringfk_02_L,0.7062,0.7078,0.0,-0.0135
ringfk_03_L,0.7767,0.6247,-0.0351,0.0727
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8073,0.2837,-0.514,-0.0598
thumbfk_02_R,0.9818,0.1726,0.0255,0.075
thumbfk_03_R,0.9809,0.1819,0.0296,0.0627
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0205
pinkyfk_01_R,0.8299,0.5414,0.1174,-0.0662
pinkyfk_02_R,0.6994,0.7141,0.0004,0.0295
pinkyfk_03_R,0.6942,0.7151,0.0412,-0.0702
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9997,0.0,-0.0172,0.0172
indexfk_01_R,0.9851,0.1716,-0.0032,-0.0105
indexfk_02_R,0.8001,0.5984,0.0407,-0.013
indexfk_03_R,0.8978,0.4405,0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0053,0.0053
middlefk_01_R,0.8642,0.5031,-0.0038,-0.0034
middlefk_02_R,0.7428,0.6696,0.0001,-0.0
middlefk_03_R,0.7367,0.6762,0.0001,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0177,-0.0118
ringfk_01_R,0.8298,0.555,0.0584,-0.0042
ringfk_02_R,0.7049,0.7092,-0.0,0.0134
ringfk_03_R,0.7773,0.624,0.0349,-0.0724
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9967,0.0637,0.0486,-0.0112
collar_L,0.9966,0.0744,-0.0169,0.0315
neckfk,1.0,0.0014,-0.0028,0.0006
headfk,1.0,0.0026,-0.0047,0.0023
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0013,0.0,-0.0007
chest_3,0.9998,-0.0175,-0.0033,-0.0084
chest_2,1.0,0.002,0.0,-0.0007
chest_1,1.0,0.0041,-0.0005,-0.0022
hip,1.0,0.0004,-0.0038,0.0004
