motion_name,SG ASL Dealer Cards 2026-1-25
pose_name,SG ASL Dealer Cards 2026-1-25 P1
export_date,2026-1-25
current_frame,27
frame_budget,27

bone_name,w,x,y,z
bicepfk_L,0.7686,0.5652,0.2824,0.1
forearmfk_L,0.5992,-0.0498,-0.0394,0.7981
handfk_L,0.9831,0.0754,-0.1551,-0.061
bicepfk_R,0.8102,0.55,-0.1931,-0.0618
forearmfk_R,0.6397,-0.0475,0.0469,-0.7657
handfk_R,0.9436,0.3086,0.052,0.1081
thighfk_L,0.9996,-0.0116,-0.0245,0.0003
shinfk_L,0.9996,0.027,0.0089,0.0042
footfk_L,0.0289,-0.0263,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0115,0.024,-0.0001
shinfk_R,0.9996,0.0271,-0.009,-0.0041
footfk_R,0.0292,-0.0259,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8248,0.2686,0.4956,0.0443
thumbfk_02_L,0.9792,0.1824,-0.0345,-0.0818
thumbfk_03_L,0.9801,0.1863,-0.032,-0.0604
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,-0.0,0.0,-0.0219
pinkyfk_01_L,0.8072,0.5755,-0.117,0.0598
pinkyfk_02_L,0.7071,0.7065,0.0,-0.0297
pinkyfk_03_L,0.6458,0.7542,-0.0724,0.0943
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9994,-0.0,0.0237,-0.0237
indexfk_01_L,0.9706,0.2356,-0.0267,-0.041
indexfk_02_L,0.8278,0.5609,0.0085,-0.0083
indexfk_03_L,0.8791,0.4764,0.0134,0.0011
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0052,-0.0052
middlefk_01_L,0.8678,0.497,0.005,0.0037
middlefk_02_L,0.7381,0.6747,-0.0001,0.0
middlefk_03_L,0.7374,0.6755,-0.0001,-0.0001
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0176,0.0118
ringfk_01_L,0.8318,0.5521,-0.0574,0.0042
ringfk_02_L,0.7071,0.707,0.0,-0.0135
ringfk_03_L,0.7773,0.624,-0.035,0.0727
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.83,0.2649,-0.4886,-0.0471
thumbfk_02_R,0.9794,0.1813,0.0336,0.082
thumbfk_03_R,0.9805,0.1844,0.0313,0.061
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0215
pinkyfk_01_R,0.8138,0.5665,0.1162,-0.0583
pinkyfk_02_R,0.7082,0.7054,0.0,0.0295
pinkyfk_03_R,0.6445,0.7554,0.0724,-0.0936
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,0.0,-0.0106,0.0106
indexfk_01_R,0.9944,0.1056,-0.0006,-0.0003
indexfk_02_R,0.8021,0.5957,0.04,-0.0132
indexfk_03_R,0.9031,0.4294,0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0052,0.0052
middlefk_01_R,0.8686,0.4955,-0.0018,-0.0009
middlefk_02_R,0.7386,0.6742,0.0001,-0.0
middlefk_03_R,0.7373,0.6755,0.0001,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0175,-0.0117
ringfk_01_R,0.8341,0.5486,0.0569,-0.004
ringfk_02_R,0.7056,0.7085,-0.0,0.0134
ringfk_03_R,0.7786,0.6223,0.0348,-0.0725
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.996,0.0461,0.0744,-0.0152
collar_L,0.9973,0.0665,-0.0104,0.0297
neckfk,1.0,0.0012,0.0017,-0.0006
headfk,1.0,0.0026,0.0028,-0.0017
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0004,-0.0001,0.0002
chest_3,0.9998,-0.0197,-0.0035,-0.0071
chest_2,1.0,-0.0004,-0.0002,0.0002
chest_1,1.0,-0.0012,-0.0005,0.0007
hip,1.0,-0.0002,-0.0002,-0.0001
