motion_name,SG ASL Dear Alt 2026-2-2 metarig T
pose_name,SG ASL Dear Alt 2026-2-2 metarig T P1
export_date,2026-2-2
current_frame,58
frame_budget,58

bone_name,w,x,y,z
spine,0.992,-0.1261,0.0033,0.001
spine.001,0.997,0.0698,-0.034,0.0041
spine.002,0.9968,0.0793,0.0023,0.0033
spine.003,0.9992,0.0064,-0.0378,-0.008
spine.004,0.9853,-0.1701,-0.0132,0.0011
spine.005,0.9975,0.0672,0.0236,-0.004
spine.006,0.9922,0.1169,0.0375,-0.022
face,1.0,-0.0,-0.0,-0.0
nose,1.0,-0.0,0.0,0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,-0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,-0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,-0.0,-0.0,0.0
lip.B.L.001,1.0,-0.0,0.0,-0.0
jaw,1.0,0.0,-0.0,0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,-0.0,0.0,-0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,-0.0,-0.0,0.0
ear.R.001,1.0,0.0,0.0,-0.0
ear.R.002,1.0,0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,0.0,-0.0
brow.B.L,1.0,-0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,-0.0,0.0
lid.B.L,1.0,-0.0,-0.0,0.0
lid.B.L.001,1.0,0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,-0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,-0.0
brow.B.R,1.0,0.0,-0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,0.0
lid.T.R,1.0,0.0,0.0,-0.0
lid.T.R.001,1.0,-0.0,-0.0,-0.0
lid.T.R.002,1.0,0.0,-0.0,-0.0
lid.T.R.003,1.0,0.0,0.0,0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,0.0,-0.0,0.0
lid.B.R.002,1.0,0.0,-0.0,-0.0
lid.B.R.003,1.0,-0.0,-0.0,0.0
forehead.L,1.0,0.0,0.0,0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,0.0,-0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,0.0,0.0,0.0
jaw.L.001,1.0,-0.0,0.0,-0.0
chin.L,1.0,0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,0.0,-0.0
brow.T.L.001,1.0,0.0,0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,-0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,-0.0,-0.0
forehead.R.002,1.0,0.0,0.0,-0.0
temple.R,1.0,-0.0,-0.0,-0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,-0.0,-0.0,-0.0
chin.R,1.0,0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,0.0,0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,0.0,0.0,0.0
brow.T.R.001,1.0,0.0,0.0,0.0
brow.T.R.002,1.0,0.0,-0.0,0.0
brow.T.R.003,1.0,-0.0,-0.0,0.0
eye.L,1.0,-0.0,0.0,-0.0
eye.R,1.0,-0.0,0.0,-0.0
cheek.T.L,1.0,0.0,-0.0,0.0
cheek.T.L.001,1.0,-0.0,-0.0,0.0
nose.L,1.0,0.0,-0.0,-0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,-0.0,-0.0,-0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,-0.0,0.0,-0.0
teeth.B,1.0,-0.0,0.0,-0.0
tongue,1.0,0.0,-0.0,0.0
tongue.001,1.0,0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,0.0
shoulder.L,1.0,-0.0,0.0,-0.0
upper_arm.L,0.2944,0.513,0.6958,0.4074
forearm.L,0.4275,-0.1295,0.1276,0.8855
hand.L,0.502,0.0151,-0.8349,0.2253
palm.01.L,0.9849,0.0198,0.0322,-0.1691
f_index.01.L,0.816,0.5699,-0.0265,0.0931
f_index.02.L,0.732,0.6809,0.0109,-0.0186
f_index.03.L,0.8612,0.5037,0.0481,0.0476
thumb.01.L,0.9932,-0.109,-0.0398,0.0101
thumb.02.L,0.9901,0.1001,-0.0979,0.0105
thumb.03.L,0.9826,0.154,-0.0646,0.0806
palm.02.L,0.9897,0.0535,-0.0022,-0.1328
f_middle.01.L,0.8499,0.5258,-0.0141,0.0317
f_middle.02.L,0.7853,0.6186,0.0226,-0.0108
f_middle.03.L,0.8019,0.5973,0.0118,-0.002
palm.03.L,0.9902,0.0553,-0.0028,-0.1282
f_ring.01.L,0.8933,0.4457,0.0549,0.0193
f_ring.02.L,0.7296,0.6831,0.0286,-0.0116
f_ring.03.L,0.8674,0.4913,0.0401,0.0688
palm.04.L,0.9795,0.0424,0.0249,-0.1956
f_pinky.01.L,0.8907,0.4135,0.1561,0.1066
f_pinky.02.L,0.6911,0.7226,0.0122,0.0093
f_pinky.03.L,0.8302,0.5524,0.0699,0.0293
shoulder.R,1.0,-0.0,-0.0,0.0
upper_arm.R,0.1214,0.5167,-0.7058,-0.4692
forearm.R,0.3233,-0.1092,-0.1409,-0.9293
hand.R,0.6262,0.05,0.7297,-0.27
palm.01.R,0.9769,0.0397,0.0478,0.2047
f_index.01.R,0.816,0.57,0.0271,-0.0922
f_index.02.R,0.7324,0.6806,-0.0129,0.0166
f_index.03.R,0.8612,0.5039,-0.0469,-0.0464
thumb.01.R,0.9932,-0.109,0.0398,-0.0101
thumb.02.R,0.9901,0.1001,0.0979,-0.0105
thumb.03.R,0.9826,0.154,0.0646,-0.0806
palm.02.R,0.9796,0.0752,0.0818,0.1676
f_middle.01.R,0.8499,0.5259,0.0146,-0.0308
f_middle.02.R,0.7854,0.6185,-0.0243,0.0089
f_middle.03.R,0.8019,0.5973,-0.0107,0.0031
palm.03.R,0.9795,0.0851,0.0784,0.1648
f_ring.01.R,0.8934,0.4457,-0.0543,-0.0189
f_ring.02.R,0.7296,0.6831,-0.0286,0.0116
f_ring.03.R,0.8674,0.4913,-0.0401,-0.0688
palm.04.R,0.9791,0.0859,0.0488,0.1778
f_pinky.01.R,0.9016,0.4096,-0.1098,-0.0848
f_pinky.02.R,0.6911,0.7226,-0.0122,-0.0093
f_pinky.03.R,0.8302,0.5524,-0.0699,-0.0293
breast.L,1.0,0.0,0.0,-0.0
breast.R,1.0,0.0,0.0,-0.0
pelvis.L,1.0,-0.0,0.0,-0.0
pelvis.R,1.0,-0.0,-0.0,-0.0
thigh.L,0.0047,-0.0009,-0.9843,-0.1763
shin.L,0.9952,-0.0898,-0.0379,0.0034
foot.L,0.4578,0.8882,0.0382,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,0.0,0.0
thigh.R,-0.0011,-0.0044,0.9842,0.177
shin.R,0.9953,-0.0899,0.0364,-0.0032
foot.R,0.4564,0.889,-0.0363,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,-0.0
