motion_name,SG ASL Deathbed 2026-2-3
pose_name,SG ASL Deathbed 2026-2-3 P1
export_date,2026-2-3
current_frame,35
frame_budget,35

bone_name,w,x,y,z
bicepfk_L,0.8148,0.5488,0.0655,0.1753
forearmfk_L,0.6338,-0.0472,-0.0433,0.7709
handfk_L,0.8389,0.1396,0.5152,-0.1067
bicepfk_R,0.6451,0.6343,-0.006,-0.426
forearmfk_R,0.2831,-0.056,0.0417,-0.9565
handfk_R,0.9981,-0.0151,0.0227,0.0561
thighfk_L,0.9997,-0.0106,-0.0239,0.0001
shinfk_L,0.9996,0.0271,0.0095,0.0042
footfk_L,0.0291,-0.0258,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0107,0.0246,-0.0003
shinfk_R,0.9996,0.027,-0.0081,-0.0041
footfk_R,0.0289,-0.0264,-0.9991,-0.0178
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9484,0.0522,0.252,0.1853
thumbfk_02_L,0.9915,0.0942,-0.0901,-0.0008
thumbfk_03_L,1.0,0.0054,-0.0049,0.0033
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0007
pinkyfk_01_L,0.9783,-0.0033,-0.0865,-0.1881
pinkyfk_02_L,0.9995,0.0304,-0.0,-0.0003
pinkyfk_03_L,0.9999,0.0151,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9988,-0.0458,0.0075,0.0171
indexfk_02_L,0.9982,0.0595,-0.0,0.0
indexfk_03_L,0.9997,0.0238,-0.0,-0.0008
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0002,-0.0002
middlefk_01_L,0.9962,0.0191,-0.0544,0.0652
middlefk_02_L,0.9961,0.0879,0.0,0.0
middlefk_03_L,0.9999,0.0135,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9944,-0.0106,-0.0928,0.0498
ringfk_02_L,0.9983,0.058,-0.0,0.0
ringfk_03_L,0.9987,-0.0518,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,0.0,0.0,0.0
thumbfk_02_R,0.9704,0.1704,0.1694,0.0256
thumbfk_03_R,0.9956,-0.0634,-0.0576,0.0391
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0016
pinkyfk_01_R,0.9941,-0.0414,0.096,0.0305
pinkyfk_02_R,0.999,0.0436,-0.0,0.0004
pinkyfk_03_R,0.9998,0.0208,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.999,-0.026,-0.0012,-0.0358
indexfk_02_R,0.9982,0.0601,0.0,0.0
indexfk_03_R,0.9994,0.0357,0.0,0.0007
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9968,-0.0179,0.0755,-0.0202
middlefk_02_R,0.999,0.0453,-0.0,-0.0
middlefk_03_R,0.9997,-0.0263,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0011,-0.0008
ringfk_01_R,0.993,0.0364,0.1122,-0.0094
ringfk_02_R,0.9997,0.0244,-0.0,-0.0
ringfk_03_R,1.0,0.0053,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9955,0.0167,0.0927,0.0138
collar_L,0.9998,0.018,0.0062,-0.0101
neckfk,1.0,0.0011,0.0024,0.0005
headfk,1.0,0.0021,0.0045,-0.0
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,-0.0011,-0.0001
chest_3,0.9998,-0.0191,-0.0047,-0.0076
chest_2,1.0,0.0002,-0.0015,0.0
chest_1,1.0,0.0005,-0.0036,0.0001
hip,1.0,0.0006,0.0003,0.0001
