motion_name,SG ASL Debateable 2026-2-3
pose_name,SG ASL Debateable 2026-2-3 P2
export_date,2026-2-3
current_frame,31
frame_budget,8

bone_name,w,x,y,z
bicepfk_L,0.8137,0.5266,0.0824,0.2318
forearmfk_L,0.5497,-0.0509,-0.0355,0.8331
handfk_L,0.6582,-0.0052,-0.7502,0.0628
bicepfk_R,0.6948,0.6255,-0.1475,-0.3229
forearmfk_R,0.3866,-0.0618,0.0325,-0.9196
handfk_R,0.7118,0.3407,-0.5189,0.3287
thighfk_L,0.9998,-0.0086,-0.0153,0.0001
shinfk_L,0.9996,0.0271,0.0096,0.0044
footfk_L,0.0283,-0.0266,0.9991,0.019
toefk_L,0.9997,-0.0026,0.0244,0.0006
thighfk_R,0.9994,-0.0105,0.0333,-0.0004
shinfk_R,0.9996,0.027,-0.0081,-0.004
footfk_R,0.0294,-0.0264,-0.9991,-0.0174
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.98,0.097,0.1727,-0.0167
thumbfk_02_L,0.9978,0.0463,-0.0468,-0.0126
thumbfk_03_L,0.9995,0.0214,-0.0194,0.0132
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0003
pinkyfk_01_L,0.9973,0.0108,-0.0617,-0.0386
pinkyfk_02_L,0.9995,0.031,-0.0,-0.0003
pinkyfk_03_L,1.0,0.0081,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9998,-0.0115,0.0132,-0.0122
indexfk_02_L,0.997,0.0779,-0.0,0.0
indexfk_03_L,1.0,0.0088,-0.0,-0.0008
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0031,0.0029,0.0087
middlefk_02_L,0.9962,0.0875,0.0,0.0
middlefk_03_L,0.9999,0.0116,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0004,0.0003
ringfk_01_L,0.999,0.0132,-0.0433,-0.0012
ringfk_02_L,0.9971,0.0759,-0.0,0.0
ringfk_03_L,1.0,-0.0092,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7119,0.4952,-0.4362,-0.2402
thumbfk_02_R,0.9951,0.0746,0.0077,0.0643
thumbfk_03_R,0.9914,0.1063,0.03,0.0707
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0185
pinkyfk_01_R,0.8571,0.4884,0.1628,0.0173
pinkyfk_02_R,0.9124,0.4092,0.0001,0.0013
pinkyfk_03_R,0.95,0.3114,-0.0207,-0.0101
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,0.0,-0.0147,0.0147
indexfk_01_R,0.9826,0.1457,-0.0133,0.1142
indexfk_02_R,0.9964,0.0844,-0.0002,0.0
indexfk_03_R,0.9997,0.0232,-0.0002,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0075,0.0075
middlefk_01_R,0.7323,0.6757,0.0762,0.0367
middlefk_02_R,0.8145,0.5799,0.0174,-0.0103
middlefk_03_R,0.7225,0.6898,0.0274,0.0378
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.018,-0.012
ringfk_01_R,0.8247,0.5609,0.0711,0.0139
ringfk_02_R,0.7514,0.6597,0.0009,0.0135
ringfk_03_R,0.7731,0.6291,0.0349,-0.0725
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9973,0.0595,0.0428,0.0019
collar_L,0.9986,0.0504,0.0113,-0.0116
neckfk,1.0,-0.0035,-0.0035,0.0017
headfk,1.0,-0.0066,-0.0058,0.0044
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,0.0,-0.0006
chest_3,0.9998,-0.0191,-0.0031,-0.0081
chest_2,1.0,0.0003,-0.0,-0.0007
chest_1,1.0,0.0005,-0.0001,-0.0016
hip,1.0,0.0019,0.009,0.0003
