motion_name,SG ASL Debit 2026-2-23
pose_name,SG ASL Debit 2026-2-23 P2
export_date,2026-2-23
current_frame,55
frame_budget,22

bone_name,w,x,y,z
bicepfk_L,0.7392,0.5601,0.3299,0.1763
forearmfk_L,0.8601,-0.0302,-0.052,0.5066
handfk_L,0.9019,0.2645,0.3257,-0.1023
bicepfk_R,0.7023,0.6207,-0.2772,-0.2114
forearmfk_R,0.6942,-0.0437,0.0387,-0.7174
handfk_R,0.8201,-0.0959,-0.5246,0.2073
thighfk_L,0.9997,-0.01,-0.0211,0.0002
shinfk_L,0.9996,0.0271,0.009,0.0044
footfk_L,0.0291,-0.0262,0.9991,0.019
toefk_L,1.0,-0.0002,-0.0003,-0.0
thighfk_R,0.9996,-0.0106,0.0274,-0.0002
shinfk_R,0.9996,0.027,-0.0094,-0.004
footfk_R,0.0292,-0.0257,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0003,-0.0002,-0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.2672,0.4368,-0.7856,-0.3473
thumbfk_02_R,0.9999,0.0142,-0.0033,-0.0012
thumbfk_03_R,1.0,0.0008,0.0007,-0.0005
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0143
pinkyfk_01_R,0.9154,0.3981,-0.001,-0.0595
pinkyfk_02_R,0.9855,0.1684,0.0176,0.0062
pinkyfk_03_R,0.9992,0.0394,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9979,0.0,-0.0458,0.0458
indexfk_01_R,0.897,0.4418,0.0085,0.0105
indexfk_02_R,0.9824,0.1868,-0.0011,-0.0039
indexfk_03_R,0.9989,0.0473,-0.0,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0048,0.0048
middlefk_01_R,0.8883,0.4592,0.0065,0.0022
middlefk_02_R,0.984,0.1771,0.0172,-0.0004
middlefk_03_R,0.9994,0.0331,0.0019,0.0057
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,-0.0,0.0129,-0.0086
ringfk_01_R,0.9093,0.4161,0.0105,0.0
ringfk_02_R,0.9863,0.1644,0.0143,0.001
ringfk_03_R,0.9995,0.0329,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9991,0.0416,0.0108,0.0007
collar_L,0.9977,0.0633,0.0193,0.0127
neckfk,0.9999,-0.0063,-0.0084,0.0012
headfk,0.9998,-0.0119,-0.0148,0.005
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0003,0.0019,-0.0012
chest_3,0.9998,-0.0197,-0.0006,-0.009
chest_2,1.0,-0.0003,0.0023,-0.0018
chest_1,1.0,-0.0008,0.0053,-0.0045
hip,1.0,0.0011,0.0032,0.0
