motion_name,SG ASL Debit 2026-2-23 metarig A
pose_name,SG ASL Debit 2026-2-23 metarig A P4
export_date,2026-2-23
current_frame,140
frame_budget,23

bone_name,w,x,y,z
spine,0.9921,-0.1255,0.0023,0.0
spine.001,0.9979,0.0649,0.0018,0.0003
spine.002,0.9968,0.0776,0.0183,0.0016
spine.003,0.9995,-0.0236,-0.0199,-0.0074
spine.004,0.98,-0.199,0.0006,0.0001
spine.005,0.995,0.0997,-0.0002,0.002
spine.006,0.995,0.0999,0.0008,0.0037
face,1.0,0.0,0.0,0.0
nose,1.0,-0.0,-0.0,-0.0
nose.001,1.0,0.0,0.0,0.0
nose.002,1.0,0.0,-0.0,0.0
nose.003,1.0,-0.0,-0.0,-0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,-0.0,-0.0
chin,1.0,-0.0,0.0,-0.0
chin.001,1.0,0.0,0.0,0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,0.0,-0.0,-0.0
ear.L.002,1.0,-0.0,0.0,0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,0.0,0.0,-0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,-0.0,0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,-0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,0.0,-0.0
brow.B.L,1.0,0.0,0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,0.0,0.0,0.0
lid.T.L.001,1.0,0.0,0.0,-0.0
lid.T.L.002,1.0,0.0,-0.0,-0.0
lid.T.L.003,1.0,0.0,0.0,-0.0
