motion_name,SG ASL Debris 2026-2-23
pose_name,SG ASL Debris 2026-2-23 P3
export_date,2026-2-23
current_frame,65
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.6696,0.6177,0.3257,0.253
forearmfk_L,0.9113,-0.0241,-0.0575,0.407
handfk_L,0.9076,0.2469,0.337,-0.041
bicepfk_R,0.7372,0.511,-0.0566,-0.4384
forearmfk_R,0.3348,-0.0588,0.0231,-0.9402
handfk_R,0.9492,-0.1431,-0.2772,0.0405
thighfk_L,0.9996,-0.0099,-0.026,0.0003
shinfk_L,0.9996,0.0271,0.0086,0.0041
footfk_L,0.0285,-0.0267,0.9991,0.0182
toefk_L,1.0,0.0002,0.0003,0.0
thighfk_R,0.9997,-0.0095,0.0225,-0.0002
shinfk_R,0.9996,0.0271,-0.0087,-0.0041
footfk_R,0.0288,-0.0265,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7886,0.3396,-0.496,-0.1296
thumbfk_02_R,0.9786,0.1865,0.0394,0.0771
thumbfk_03_R,0.9753,0.2111,0.0489,0.0428
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0226
pinkyfk_01_R,0.793,0.5919,0.1066,-0.0971
pinkyfk_02_R,0.663,0.748,-0.0014,0.0304
pinkyfk_03_R,0.5901,0.7986,0.0779,-0.0898
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0047,0.0047
indexfk_01_R,0.9933,0.046,-0.0079,0.1058
indexfk_02_R,0.8152,0.5791,-0.0088,0.0081
indexfk_03_R,0.8719,0.4895,-0.0133,-0.0011
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0042,0.0042
middlefk_01_R,0.9137,0.404,-0.0436,0.0002
middlefk_02_R,0.7152,0.6989,0.0001,-0.0
middlefk_03_R,0.7369,0.676,0.0,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0181,-0.0121
ringfk_01_R,0.8229,0.5655,0.0527,-0.0171
ringfk_02_R,0.6668,0.7452,-0.0011,0.0139
ringfk_03_R,0.7447,0.6624,0.037,-0.072
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9937,0.0248,0.105,0.0301
collar_L,0.9993,-0.0075,-0.0066,-0.037
neckfk,1.0,-0.0029,-0.0017,-0.0021
headfk,0.9999,-0.0103,-0.0041,-0.003
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.002,0.0001
chest_3,0.9998,-0.0195,-0.0004,-0.0071
chest_2,1.0,-0.0001,0.0028,0.0
chest_1,1.0,-0.0003,0.0063,-0.0001
hip,1.0,0.0017,-0.0017,-0.0001
