motion_name,SG ASL Debris Alt 2026-2-23
pose_name,SG ASL Debris Alt 2026-2-23 P4
export_date,2026-2-23
current_frame,77
frame_budget,27

bone_name,w,x,y,z
bicepfk_L,0.759,0.6005,0.0699,0.2419
forearmfk_L,0.5686,-0.0383,-0.0407,0.8207
handfk_L,0.9798,-0.1259,-0.1037,-0.1161
bicepfk_R,0.8037,0.5791,-0.1279,-0.0485
forearmfk_R,0.5192,-0.0488,0.0323,-0.8527
handfk_R,0.9704,-0.1668,0.0666,0.1613
thighfk_L,0.9999,-0.0067,-0.0127,-0.0005
shinfk_L,0.9996,0.0268,0.0093,0.0043
footfk_L,0.029,-0.0263,0.999,0.0194
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9993,-0.0092,0.0359,-0.0011
shinfk_R,0.9996,0.0268,-0.0087,-0.0042
footfk_R,0.0291,-0.0262,-0.9991,-0.0166
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9724,0.1595,0.1493,0.0814
thumbfk_02_L,0.9953,0.0689,0.0568,-0.0376
thumbfk_03_L,0.9978,0.0577,0.0266,-0.0166
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0064
pinkyfk_01_L,0.9466,0.2063,-0.1264,-0.2133
pinkyfk_02_L,0.9754,0.2206,0.0033,0.0018
pinkyfk_03_L,0.9774,0.2061,0.0471,-0.0048
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9994,0.0,0.0246,-0.0246
indexfk_01_L,0.9562,0.2456,0.1425,0.0707
indexfk_02_L,0.9953,0.0966,-0.0045,-0.006
indexfk_03_L,0.9883,0.1498,0.0228,0.0149
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0029,-0.0029
middlefk_01_L,0.9527,0.2916,-0.0228,-0.0832
middlefk_02_L,0.9965,0.0823,-0.0052,0.012
middlefk_03_L,0.9957,0.0917,-0.0144,0.0022
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0107,0.0071
ringfk_01_L,0.9336,0.3496,-0.0206,-0.0763
ringfk_02_L,0.9998,0.0167,-0.0057,-0.0063
ringfk_03_L,0.9885,0.1396,0.0013,0.0586
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9724,0.1595,-0.1493,-0.0814
thumbfk_02_R,0.9953,0.0689,-0.0568,0.0376
thumbfk_03_R,0.9978,0.0577,-0.0266,0.0166
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0064
pinkyfk_01_R,0.9466,0.2063,0.1264,0.2133
pinkyfk_02_R,0.9754,0.2206,-0.0033,-0.0018
pinkyfk_03_R,0.9774,0.2061,-0.0471,0.0048
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9994,0.0,-0.0246,0.0246
indexfk_01_R,0.9562,0.2456,-0.1425,-0.0707
indexfk_02_R,0.9953,0.0966,0.0045,0.006
indexfk_03_R,0.9883,0.1498,-0.0228,-0.0149
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0029,0.0029
middlefk_01_R,0.9527,0.2916,0.0228,0.0832
middlefk_02_R,0.9965,0.0823,0.0052,-0.012
middlefk_03_R,0.9957,0.0917,0.0144,-0.0022
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,0.0,0.0107,-0.0071
ringfk_01_R,0.9336,0.3496,0.0206,0.0763
ringfk_02_R,0.9998,0.0167,0.0057,0.0063
ringfk_03_R,0.9885,0.1396,-0.0013,-0.0586
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9976,-0.0208,0.0596,0.0295
collar_L,0.9989,-0.0372,0.0257,-0.0096
neckfk,0.9999,-0.0095,-0.0097,-0.0002
headfk,0.9997,-0.0168,-0.0176,0.0031
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0011,0.0024,-0.0001
chest_3,0.9998,-0.0177,0.0001,-0.0075
chest_2,1.0,0.0016,0.0032,-0.0004
chest_1,1.0,0.0036,0.0073,-0.0009
hip,0.9999,0.0036,0.0116,0.001
