motion_name,SG ASL Debt 2026-2-24
pose_name,SG ASL Debt 2026-2-24 P4
export_date,2026-2-24
current_frame,89
frame_budget,22

bone_name,w,x,y,z
bicepfk_L,0.6949,0.65,0.0858,0.2953
forearmfk_L,0.72,-0.0413,-0.0456,0.6913
handfk_L,0.7352,-0.1214,-0.6625,0.0764
bicepfk_R,0.807,0.5852,-0.0558,-0.0566
forearmfk_R,0.4896,-0.0493,0.031,-0.87
handfk_R,0.8275,0.404,-0.3592,0.152
thighfk_L,0.9998,-0.015,-0.0157,-0.0019
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0265,0.999,0.0208
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9993,-0.0169,0.0328,-0.002
shinfk_R,0.9996,0.0271,-0.009,-0.0042
footfk_R,0.029,-0.0261,-0.9991,-0.0173
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8647,0.1649,0.4743,-0.0142
thumbfk_02_L,0.9998,0.0154,-0.0128,-0.0035
thumbfk_03_L,1.0,-0.0011,0.001,-0.0007
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0001
pinkyfk_01_L,0.9999,0.0034,-0.0114,-0.0028
pinkyfk_02_L,0.9997,0.023,0.0,-0.0002
pinkyfk_03_L,0.9997,0.0232,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9999,-0.0053,0.0002,0.0129
indexfk_02_L,1.0,0.008,-0.0,0.0
indexfk_03_L,1.0,0.0033,0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9993,-0.0372,-0.007,0.0078
middlefk_02_L,0.9998,0.0173,0.0,-0.0
middlefk_03_L,1.0,0.0087,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9998,-0.006,-0.0211,-0.0043
ringfk_02_L,0.9994,-0.0335,0.0,-0.0
ringfk_03_L,0.999,0.045,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.739,0.454,-0.4547,-0.2026
thumbfk_02_R,0.9866,0.1252,0.0397,0.0972
thumbfk_03_R,0.9851,0.1547,0.0636,0.04
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0255
pinkyfk_01_R,0.7442,0.6494,0.1447,-0.0589
pinkyfk_02_R,0.5413,0.8403,-0.0038,0.0308
pinkyfk_03_R,0.5486,0.8275,0.0837,-0.0851
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9988,0.0,-0.0347,0.0347
indexfk_01_R,0.9403,0.3399,-0.0108,-0.0118
indexfk_02_R,1.0,-0.0093,0.0,0.0
indexfk_03_R,0.9992,-0.0399,-0.0001,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0088,0.0088
middlefk_01_R,0.6355,0.7691,0.0535,-0.0422
middlefk_02_R,0.6785,0.7343,0.0189,-0.0067
middlefk_03_R,0.6365,0.7699,0.0235,0.0409
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0241,-0.0161
ringfk_01_R,0.6946,0.7142,0.0859,-0.0012
ringfk_02_R,0.6466,0.7627,-0.0009,0.0134
ringfk_03_R,0.6626,0.7447,0.046,-0.065
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9917,-0.0064,0.1119,-0.0626
collar_L,0.9972,0.0048,-0.012,0.0732
neckfk,1.0,0.0061,0.001,0.0044
headfk,0.9999,0.0113,0.0035,0.0077
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0006,0.0016,-0.0022
chest_3,0.9997,-0.0201,-0.001,-0.0103
chest_2,1.0,-0.0006,0.0018,-0.0032
chest_1,1.0,-0.0017,0.0041,-0.0073
hip,0.9999,-0.0051,0.0086,0.0022
