motion_name,SG ASL Debut Alt 2026-2-24 metarig A
pose_name,SG ASL Debut Alt 2026-2-24 metarig A P1
export_date,2026-2-24
current_frame,26
frame_budget,26

bone_name,w,x,y,z
spine,0.9919,-0.1266,-0.0006,-0.0007
spine.001,0.9978,0.0663,0.0007,-0.0013
spine.002,0.9968,0.0781,0.018,0.0009
spine.003,0.9995,-0.0231,-0.0202,-0.0082
spine.004,0.98,-0.1988,0.0002,-0.0002
spine.005,0.9956,0.0941,-0.0003,0.0009
spine.006,0.996,0.0893,0.0004,0.0018
face,1.0,0.0,0.0,0.0
nose,1.0,-0.0,-0.0,-0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,-0.0,0.0,0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,-0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,-0.0,0.0,0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,0.0,0.0,0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,0.0,-0.0
ear.L.002,1.0,-0.0,-0.0,0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,-0.0,0.0,-0.0
ear.R.001,1.0,-0.0,0.0,0.0
ear.R.002,1.0,-0.0,-0.0,-0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,0.0,0.0,0.0
lid.T.L.001,1.0,0.0,0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,-0.0
lid.B.L.002,1.0,-0.0,-0.0,0.0
lid.B.L.003,1.0,0.0,-0.0,0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,-0.0,-0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,-0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,-0.0
lid.T.R.003,1.0,-0.0,-0.0,-0.0
lid.B.R,1.0,-0.0,0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,-0.0,0.0,-0.0
lid.B.R.003,1.0,0.0,-0.0,-0.0
forehead.L,1.0,0.0,0.0,0.0
forehead.L.001,1.0,-0.0,-0.0,-0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,0.0
chin.L,1.0,-0.0,0.0,-0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,0.0,0.0
brow.T.L.002,1.0,-0.0,-0.0,0.0
brow.T.L.003,1.0,0.0,-0.0,0.0
forehead.R,1.0,0.0,-0.0,-0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,0.0,-0.0,-0.0
temple.R,1.0,0.0,-0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,0.0,0.0,0.0
cheek.B.R,1.0,-0.0,0.0,0.0
cheek.B.R.001,1.0,-0.0,0.0,0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,-0.0,0.0
eye.L,1.0,-0.0,0.0,0.0
eye.R,1.0,-0.0,0.0,0.0
cheek.T.L,1.0,0.0,0.0,0.0
cheek.T.L.001,1.0,-0.0,-0.0,-0.0
nose.L,1.0,-0.0,-0.0,0.0
nose.L.001,1.0,-0.0,0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,0.0,-0.0,-0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,0.0,0.0,0.0
teeth.B,1.0,0.0,0.0,0.0
tongue,1.0,0.0,0.0,0.0
tongue.001,1.0,0.0,-0.0,0.0
tongue.002,1.0,-0.0,-0.0,-0.0
shoulder.L,1.0,0.0,-0.0,0.0
upper_arm.L,0.4563,0.4742,0.751,-0.0541
forearm.L,0.6329,-0.1558,0.0894,0.7531
hand.L,0.5891,0.0471,-0.8067,0.0061
palm.01.L,0.9847,-0.1419,-0.0619,-0.0798
f_index.01.L,0.9994,-0.0083,-0.0185,-0.0266
f_index.02.L,0.9993,0.0353,0.0148,0.0007
f_index.03.L,0.9972,-0.0676,0.0092,0.032
thumb.01.L,0.9738,-0.1198,-0.12,0.1512
thumb.02.L,0.9948,-0.0616,-0.0668,0.0466
thumb.03.L,0.9982,-0.0562,0.0224,-0.0017
palm.02.L,0.989,-0.0968,-0.057,-0.0964
f_middle.01.L,0.9879,-0.1153,-0.0858,-0.0577
f_middle.02.L,0.9985,-0.0373,-0.0374,0.0126
f_middle.03.L,0.9996,0.0077,0.0213,0.0188
palm.03.L,0.9893,-0.0826,-0.0507,-0.1093
f_ring.01.L,0.9739,-0.2023,-0.1006,0.0192
f_ring.02.L,0.9895,0.051,0.1351,0.008
f_ring.03.L,0.9872,-0.1497,0.0415,0.0364
palm.04.L,0.9842,-0.0861,-0.0656,-0.1403
f_pinky.01.L,0.9395,-0.3047,-0.0606,0.144
f_pinky.02.L,0.9994,0.0318,0.0006,0.016
f_pinky.03.L,0.9959,-0.0868,0.0202,0.0147
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.5811,0.3873,-0.7119,0.0746
forearm.R,0.4725,-0.139,-0.1169,-0.8624
hand.R,0.873,-0.3871,-0.0602,-0.2904
palm.01.R,0.8361,0.0881,0.5389,-0.0532
f_index.01.R,0.9967,0.0728,0.0206,0.0292
f_index.02.R,0.9955,0.0938,-0.0153,-0.0026
f_index.03.R,0.9985,-0.044,-0.0097,-0.0301
thumb.01.R,0.9823,-0.1035,0.0853,-0.1307
thumb.02.R,0.9949,-0.0639,0.0651,-0.0437
thumb.03.R,0.9941,-0.0935,-0.0539,0.0132
palm.02.R,0.8376,0.1716,0.5154,-0.0576
f_middle.01.R,0.9861,-0.1394,0.0813,0.04
f_middle.02.R,0.9968,-0.067,0.0382,-0.0206
f_middle.03.R,0.9996,-0.0019,-0.021,-0.0174
palm.03.R,0.8458,0.2508,0.4696,-0.0351
f_ring.01.R,0.9665,-0.2301,0.1088,-0.0334
f_ring.02.R,0.9899,0.0429,-0.1351,-0.0059
f_ring.03.R,0.9854,-0.1611,-0.0411,-0.0369
palm.04.R,0.8513,0.306,0.4255,-0.0246
f_pinky.01.R,0.9282,-0.3368,0.0601,-0.1462
f_pinky.02.R,0.9992,0.0372,-0.0007,-0.0159
f_pinky.03.R,0.9971,-0.0724,-0.0204,-0.0144
breast.L,1.0,-0.0,0.0,0.0
breast.R,1.0,-0.0,0.0,0.0
pelvis.L,1.0,0.0,0.0,-0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,0.0014,-0.0034,-0.9842,-0.1772
shin.L,0.9953,-0.0898,-0.0368,0.0033
foot.L,0.4568,0.8888,0.0371,-0.003
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,0.0
thigh.R,0.0022,-0.0018,0.9842,0.1771
shin.R,0.9953,-0.0899,0.037,-0.0033
foot.R,0.4575,0.8885,-0.0365,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,0.0
