motion_name,SG ASL Decade 2026-2-25
pose_name,SG ASL Decade 2026-2-25 P3
export_date,2026-2-25
current_frame,66
frame_budget,29

bone_name,w,x,y,z
bicepfk_L,0.7424,0.5939,0.1665,0.2616
forearmfk_L,0.643,-0.0451,-0.0465,0.7632
handfk_L,0.9484,0.2555,0.159,-0.0998
bicepfk_R,0.7672,0.605,-0.1342,-0.1653
forearmfk_R,0.6377,-0.0492,0.0506,-0.767
handfk_R,0.9255,0.2845,0.2436,0.0574
thighfk_L,0.9998,-0.0111,-0.0173,0.0005
shinfk_L,0.9996,0.0273,0.0104,0.0042
footfk_L,0.0291,-0.0261,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0125,0.0312,0.0002
shinfk_R,0.9996,0.0273,-0.0071,-0.0042
footfk_R,0.0286,-0.0271,-0.9991,-0.0181
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8573,0.1681,0.4801,0.079
thumbfk_02_L,0.9704,0.223,-0.0814,-0.0444
thumbfk_03_L,0.9927,0.1119,0.0039,0.045
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0256
pinkyfk_01_L,0.744,0.6634,-0.0781,-0.0178
pinkyfk_02_L,0.7051,0.7091,0.0004,-0.0017
pinkyfk_03_L,0.8022,0.5945,0.0427,0.0348
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9947,0.0,0.0729,-0.0729
indexfk_01_L,0.7455,0.666,-0.006,-0.0256
indexfk_02_L,0.6674,0.7447,-0.0,-0.0096
indexfk_03_L,0.8037,0.594,0.0194,0.0284
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0082,-0.0082
middlefk_01_L,0.6794,0.7334,-0.0245,-0.007
middlefk_02_L,0.7315,0.6816,-0.0141,0.0065
middlefk_03_L,0.7579,0.6521,-0.0165,-0.0057
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,-0.0,-0.0208,0.0139
ringfk_01_L,0.7683,0.6393,-0.0262,-0.0179
ringfk_02_L,0.7004,0.7137,0.0002,-0.0104
ringfk_03_L,0.8185,0.5704,-0.0249,0.064
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9758,0.1376,-0.1614,-0.0531
thumbfk_02_R,0.982,0.0608,0.0322,0.1758
thumbfk_03_R,0.9858,0.0885,0.0106,0.1425
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0243
pinkyfk_01_R,0.7585,0.6253,0.1561,0.0967
pinkyfk_02_R,0.6835,0.7292,0.0007,0.0316
pinkyfk_03_R,0.8669,0.4983,-0.0046,-0.0091
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9973,0.0,-0.0516,0.0516
indexfk_01_R,0.8666,0.4939,0.0437,0.0556
indexfk_02_R,0.5023,0.8646,-0.0016,0.0138
indexfk_03_R,0.8218,0.5698,-0.0005,0.0076
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0065,0.0065
middlefk_01_R,0.7961,0.6005,0.0743,0.0131
middlefk_02_R,0.6939,0.7199,0.0003,0.0133
middlefk_03_R,0.8637,0.504,0.0007,0.008
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0217,-0.0145
ringfk_01_R,0.7421,0.6505,0.1327,0.0924
ringfk_02_R,0.6864,0.7271,0.0005,0.0143
ringfk_03_R,0.8482,0.5296,0.0008,0.0113
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9951,0.0443,0.0844,-0.025
collar_L,0.9983,0.0519,-0.014,0.0236
neckfk,1.0,0.0031,-0.0029,-0.0014
headfk,1.0,0.0039,-0.0058,-0.0014
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,0.0017,-0.0005
chest_3,0.9998,-0.0193,-0.0009,-0.0082
chest_2,1.0,-0.0,0.0021,-0.0009
chest_1,1.0,0.0008,0.0048,-0.0023
hip,1.0,-0.0005,0.0069,-0.0003
