motion_name,SG ASL Decay 2026-2-27
pose_name,SG ASL Decay 2026-2-27 P4
export_date,2026-2-27
current_frame,87
frame_budget,16

bone_name,w,x,y,z
bicepfk_L,0.7569,0.6113,0.1433,0.1815
forearmfk_L,0.8018,-0.0345,-0.0486,0.5947
handfk_L,0.8471,-0.0713,0.5266,0.0035
bicepfk_R,0.7357,0.6331,-0.2274,-0.079
forearmfk_R,0.7878,-0.0353,0.0491,-0.613
handfk_R,0.7674,-0.1449,-0.6239,-0.0307
thighfk_L,0.9997,-0.013,-0.0185,0.0003
shinfk_L,0.9996,0.027,0.0092,0.0042
footfk_L,0.029,-0.0263,0.9991,0.0191
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0142,0.03,0.0001
shinfk_R,0.9996,0.0269,-0.0087,-0.0043
footfk_R,0.0289,-0.0263,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9706,0.0391,0.2221,-0.0837
thumbfk_02_L,0.9918,0.0907,-0.0888,-0.0174
thumbfk_03_L,0.9995,0.0212,-0.0192,0.0131
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0247
pinkyfk_01_L,0.7541,0.6253,-0.1911,-0.0619
pinkyfk_02_L,0.7125,0.7017,0.0,-0.0072
pinkyfk_03_L,0.8309,0.5565,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9952,0.0,0.0689,-0.0689
indexfk_01_L,0.7715,0.632,-0.0716,0.0127
indexfk_02_L,0.7123,0.7019,0.0,0.0
indexfk_03_L,0.8418,0.5399,-0.0003,0.0003
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0074,-0.0074
middlefk_01_L,0.7325,0.6713,-0.0921,0.0658
middlefk_02_L,0.692,0.7219,-0.0,0.0
middlefk_03_L,0.8577,0.5141,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0204,0.0136
ringfk_01_L,0.7753,0.629,-0.0169,0.0557
ringfk_02_L,0.6785,0.7346,0.0,0.0001
ringfk_03_L,0.8354,0.5497,-0.0,-0.0001
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9701,0.06,-0.2182,0.088
thumbfk_02_R,0.9926,0.0853,0.0847,0.0169
thumbfk_03_R,0.9998,0.0138,0.0126,-0.0085
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0233
pinkyfk_01_R,0.7802,0.5945,0.1863,0.0561
pinkyfk_02_R,0.7126,0.7016,0.0,0.0072
pinkyfk_03_R,0.8257,0.5642,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9953,0.0,-0.0682,0.0682
indexfk_01_R,0.7757,0.6257,0.0829,0.0023
indexfk_02_R,0.7166,0.6975,-0.0,0.0
indexfk_03_R,0.8391,0.544,0.0003,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0072,0.0072
middlefk_01_R,0.7481,0.6538,0.0999,-0.0538
middlefk_02_R,0.7448,0.6673,-0.0,0.0
middlefk_03_R,0.8353,0.5497,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0198,-0.0132
ringfk_01_R,0.7883,0.6129,0.0287,-0.0452
ringfk_02_R,0.7064,0.7079,-0.0,-0.0001
ringfk_03_R,0.8486,0.529,-0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9966,-0.017,0.078,-0.0201
collar_L,0.9989,-0.0096,0.0196,0.0425
neckfk,1.0,-0.0068,0.0006,0.0016
headfk,0.9999,-0.0125,0.0018,0.0028
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0023,0.0014,-0.0006
chest_3,0.9998,-0.0164,-0.0013,-0.0082
chest_2,1.0,0.003,0.0017,-0.0009
chest_1,1.0,0.0068,0.004,-0.0023
hip,1.0,-0.0025,0.0057,-0.0001
