motion_name,SG ASL Decay 2026-2-27 metarig A
pose_name,SG ASL Decay 2026-2-27 metarig A P1
export_date,2026-2-27
current_frame,46
frame_budget,46

bone_name,w,x,y,z
spine,0.9921,-0.1251,0.0009,-0.0007
spine.001,0.9979,0.065,-0.0021,-0.0014
spine.002,0.9968,0.0776,0.0166,0.0008
spine.003,0.9995,-0.0236,-0.0217,-0.0085
spine.004,0.9801,-0.1986,-0.0008,-0.0002
spine.005,0.9954,0.096,0.004,0.0003
spine.006,0.9956,0.0929,0.0082,-0.0009
face,1.0,-0.0,0.0,-0.0
nose,1.0,-0.0,-0.0,-0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,-0.0
nose.003,1.0,0.0,0.0,0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,0.0,-0.0,-0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,-0.0,-0.0,-0.0
ear.L.001,1.0,-0.0,0.0,-0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,-0.0,-0.0,-0.0
ear.L.004,1.0,0.0,-0.0,-0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,-0.0,-0.0,-0.0
ear.R.003,1.0,0.0,0.0,0.0
ear.R.004,1.0,0.0,-0.0,-0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,0.0
lip.B.R,1.0,-0.0,0.0,-0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,0.0,-0.0,0.0
lid.T.L.003,1.0,-0.0,0.0,0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,0.0,-0.0
brow.B.R,1.0,0.0,-0.0,0.0
brow.B.R.001,1.0,-0.0,-0.0,0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,-0.0,0.0,0.0
lid.T.R.001,1.0,-0.0,-0.0,0.0
lid.T.R.002,1.0,0.0,-0.0,0.0
lid.T.R.003,1.0,0.0,-0.0,0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,0.0,-0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,0.0,0.0,-0.0
forehead.L.001,1.0,-0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,-0.0,-0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,0.0,-0.0
chin.L,1.0,0.0,-0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,0.0
brow.T.L,1.0,0.0,0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,-0.0,-0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,-0.0,0.0,0.0
forehead.R.001,1.0,-0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,-0.0,0.0,-0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,0.0,0.0,0.0
cheek.B.R,1.0,-0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,0.0
brow.T.R,1.0,0.0,0.0,0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,0.0,0.0,0.0
brow.T.R.003,1.0,0.0,-0.0,0.0
eye.L,1.0,0.0,-0.0,-0.0
eye.R,1.0,0.0,-0.0,-0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,-0.0,-0.0,-0.0
nose.L,1.0,0.0,-0.0,0.0
nose.L.001,1.0,0.0,-0.0,0.0
cheek.T.R,1.0,-0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,-0.0
nose.R,1.0,-0.0,-0.0,0.0
nose.R.001,1.0,-0.0,-0.0,-0.0
teeth.T,1.0,-0.0,0.0,0.0
teeth.B,1.0,-0.0,0.0,0.0
tongue,1.0,-0.0,0.0,0.0
tongue.001,1.0,-0.0,-0.0,0.0
tongue.002,1.0,0.0,-0.0,0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.5542,0.5526,0.6187,0.0682
forearm.L,0.4627,-0.1351,0.1216,0.8677
hand.L,0.7328,-0.2754,-0.5447,-0.3007
palm.01.L,0.9493,-0.2382,-0.1934,0.069
f_index.01.L,0.8006,0.5892,-0.0661,0.0862
f_index.02.L,0.6535,0.7568,0.0106,-0.0104
f_index.03.L,0.8578,0.5128,0.0261,0.0216
thumb.01.L,0.9567,-0.2535,-0.0996,-0.1029
thumb.02.L,0.9879,0.0197,-0.148,0.0418
thumb.03.L,0.9995,-0.0239,-0.0055,0.0188
palm.02.L,0.9469,-0.1837,-0.233,0.1239
f_middle.01.L,0.8401,0.5243,-0.1054,0.0907
f_middle.02.L,0.7523,0.6576,0.0348,-0.0205
f_middle.03.L,0.8706,0.4912,0.0278,0.0061
palm.03.L,0.9451,-0.1408,-0.2636,0.1324
f_ring.01.L,0.9079,0.4174,0.0028,0.0376
f_ring.02.L,0.7421,0.6696,0.0294,-0.0007
f_ring.03.L,0.8873,0.458,0.0549,0.005
palm.04.L,0.9548,-0.1124,-0.2672,0.0654
f_pinky.01.L,0.9264,0.3733,-0.0162,0.0472
f_pinky.02.L,0.71,0.704,0.0115,0.0043
f_pinky.03.L,0.885,0.465,0.0249,0.0014
shoulder.R,1.0,0.0,-0.0,-0.0
upper_arm.R,0.5585,0.536,-0.6316,-0.0429
forearm.R,0.5015,-0.1397,-0.1138,-0.8462
hand.R,0.7319,-0.2603,0.6066,0.169
palm.01.R,0.9718,-0.1714,0.1561,-0.0434
f_index.01.R,0.8006,0.5893,0.0668,-0.0854
f_index.02.R,0.6538,0.7565,-0.0129,0.0087
f_index.03.R,0.8577,0.5131,-0.0249,-0.0203
thumb.01.R,0.9567,-0.2535,0.0996,0.1029
thumb.02.R,0.9879,0.0197,0.148,-0.0418
thumb.03.R,0.9995,-0.0239,0.0055,-0.0188
palm.02.R,0.9691,-0.1191,0.1942,-0.0949
f_middle.01.R,0.8402,0.5243,0.1059,-0.0898
f_middle.02.R,0.7523,0.6575,-0.0366,0.0187
f_middle.03.R,0.8706,0.4913,-0.0268,-0.0048
palm.03.R,0.9673,-0.0824,0.217,-0.1025
f_ring.01.R,0.908,0.4173,-0.0022,-0.0372
f_ring.02.R,0.7421,0.6696,-0.0294,0.0007
f_ring.03.R,0.8873,0.458,-0.0549,-0.005
palm.04.R,0.972,-0.0736,0.2067,-0.0838
f_pinky.01.R,0.9287,0.365,0.0602,-0.0249
f_pinky.02.R,0.71,0.704,-0.0115,-0.0043
f_pinky.03.R,0.885,0.465,-0.0249,-0.0014
breast.L,1.0,-0.0,0.0,-0.0
breast.R,1.0,-0.0,0.0,-0.0
pelvis.L,1.0,-0.0,0.0,-0.0
pelvis.R,1.0,0.0,-0.0,-0.0
thigh.L,0.0029,-0.003,-0.9845,-0.1756
shin.L,0.9953,-0.0898,-0.037,0.0032
foot.L,0.4569,0.8888,0.0368,-0.0029
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,0.0
thigh.R,0.0007,-0.0023,0.9844,0.1758
shin.R,0.9953,-0.0898,0.0365,-0.0033
foot.R,0.4574,0.8885,-0.0368,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,0.0
