motion_name,SG ASL Decay Other 2026-2-27
pose_name,SG ASL Decay Other 2026-2-27 P2
export_date,2026-2-27
current_frame,80
frame_budget,41

bone_name,w,x,y,z
bicepfk_L,0.8107,0.49,0.0007,0.3205
forearmfk_L,0.5634,-0.052,-0.0361,0.8238
handfk_L,0.7479,-0.2619,-0.6099,0.0087
bicepfk_R,0.7562,0.5735,-0.0164,-0.3147
forearmfk_R,0.5792,-0.0506,0.0368,-0.8128
handfk_R,0.696,-0.2928,0.6556,-0.007
thighfk_L,0.9997,-0.0101,-0.0226,0.0001
shinfk_L,0.9996,0.0271,0.009,0.0042
footfk_L,0.029,-0.0264,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0105,0.0259,-0.0003
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.029,-0.0263,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8694,0.1879,0.4282,0.1597
thumbfk_02_L,0.9775,0.1912,-0.067,-0.0582
thumbfk_03_L,0.966,0.0127,0.2133,-0.1453
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0049
pinkyfk_01_L,0.9885,0.1379,-0.0618,0.0053
pinkyfk_02_L,0.9638,0.2667,0.0031,0.0017
pinkyfk_03_L,0.9747,0.2179,0.049,0.0123
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9987,-0.0,0.0362,-0.0362
indexfk_01_L,0.9339,0.3548,0.0352,0.0285
indexfk_02_L,0.9948,0.1013,-0.0069,-0.0054
indexfk_03_L,0.9978,0.0581,0.0293,0.0118
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0032,-0.0032
middlefk_01_L,0.9494,0.3104,-0.0338,-0.0334
middlefk_02_L,0.9499,0.3122,-0.0053,0.0131
middlefk_03_L,0.9956,0.0925,-0.0149,0.0046
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0056,0.0037
ringfk_01_L,0.9829,0.1842,0.008,-0.0037
ringfk_02_L,0.9621,0.2725,-0.0045,-0.0081
ringfk_03_L,0.9873,0.1459,0.0086,0.0619
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.868,0.1943,-0.4334,-0.1452
thumbfk_02_R,0.9762,0.1966,0.0713,0.0579
thumbfk_03_R,0.9658,0.0163,-0.2142,0.1454
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0058
pinkyfk_01_R,0.9841,0.1654,0.0642,0.0072
pinkyfk_02_R,0.956,0.2934,-0.0029,-0.0015
pinkyfk_03_R,0.968,0.2459,-0.0486,-0.0136
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9986,0.0,-0.0372,0.0372
indexfk_01_R,0.9304,0.3638,-0.0349,-0.0289
indexfk_02_R,0.9935,0.1131,0.0069,0.0054
indexfk_03_R,0.998,0.0551,-0.0293,-0.0117
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0027,0.0027
middlefk_01_R,0.9609,0.2698,0.0421,0.046
middlefk_02_R,0.9656,0.2597,0.0046,-0.0134
middlefk_03_R,0.9981,0.0597,0.015,-0.005
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0068,-0.0045
ringfk_01_R,0.974,0.2243,-0.0056,0.0308
ringfk_02_R,0.9618,0.2737,0.0046,0.008
ringfk_03_R,0.9857,0.1564,-0.0078,-0.0619
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9962,0.0477,0.0301,-0.0659
collar_L,0.9911,0.1239,-0.0095,0.0483
neckfk,1.0,0.0039,0.0053,-0.0027
headfk,0.9999,0.0055,0.0085,-0.0072
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,-0.0041,0.0006
chest_3,0.9997,-0.0197,-0.0087,-0.0067
chest_2,1.0,-0.0005,-0.0053,0.0013
chest_1,0.9999,0.0013,-0.0121,0.0027
hip,1.0,0.0011,0.0017,0.0001
