motion_name,SG ASL Deceased 2026-2-27 metarig T
pose_name,SG ASL Deceased 2026-2-27 metarig T P2
export_date,2026-2-27
current_frame,75
frame_budget,42

bone_name,w,x,y,z
spine,0.992,-0.1261,0.0008,-0.0009
spine.001,0.998,0.0635,0.0005,-0.003
spine.002,0.9968,0.0773,0.0177,0.0001
spine.003,0.9995,-0.0243,-0.0205,-0.0091
spine.004,0.9799,-0.1993,0.0,-0.001
spine.005,0.9949,0.101,0.0005,0.0008
spine.006,0.9949,0.1004,0.0019,0.0012
face,1.0,-0.0,-0.0,-0.0
nose,1.0,-0.0,-0.0,0.0
nose.001,1.0,0.0,-0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,-0.0,0.0
chin,1.0,-0.0,-0.0,-0.0
chin.001,1.0,0.0,0.0,-0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,-0.0,-0.0,-0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,-0.0,0.0,-0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,0.0,-0.0,-0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,-0.0
brow.B.L.003,1.0,-0.0,-0.0,0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,-0.0,0.0
lid.T.L.003,1.0,0.0,-0.0,-0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,0.0,-0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,-0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,0.0,0.0,0.0
lid.T.R,1.0,-0.0,0.0,0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,0.0,-0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,0.0,0.0,-0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,0.0
forehead.L,1.0,0.0,0.0,0.0
forehead.L.001,1.0,0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,-0.0,-0.0,0.0
chin.L,1.0,-0.0,0.0,0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,0.0,0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,0.0,-0.0,-0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,-0.0
chin.R,1.0,0.0,-0.0,0.0
cheek.B.R,1.0,0.0,-0.0,-0.0
cheek.B.R.001,1.0,-0.0,-0.0,0.0
brow.T.R,1.0,-0.0,-0.0,0.0
brow.T.R.001,1.0,0.0,0.0,-0.0
brow.T.R.002,1.0,-0.0,0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,0.0
eye.L,1.0,0.0,-0.0,-0.0
eye.R,1.0,0.0,-0.0,-0.0
cheek.T.L,1.0,-0.0,0.0,0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,-0.0,0.0,0.0
nose.L.001,1.0,-0.0,0.0,0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,-0.0,0.0,0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,0.0,-0.0,-0.0
teeth.T,1.0,-0.0,0.0,-0.0
teeth.B,1.0,-0.0,0.0,-0.0
tongue,1.0,-0.0,0.0,0.0
tongue.001,1.0,0.0,-0.0,0.0
tongue.002,1.0,0.0,0.0,-0.0
shoulder.L,1.0,-0.0,0.0,0.0
upper_arm.L,0.4763,0.4733,0.7397,-0.0436
forearm.L,0.6048,-0.1509,0.0986,0.7757
hand.L,-0.3184,-0.0828,-0.9432,0.0466
palm.01.L,0.9159,-0.0416,0.3717,0.1456
f_index.01.L,0.9976,-0.0566,-0.0368,0.0125
f_index.02.L,0.9963,-0.0847,0.0146,0.0025
f_index.03.L,0.9932,-0.1116,0.0079,0.0331
thumb.01.L,0.8556,-0.1936,-0.4772,-0.052
thumb.02.L,0.9923,0.0056,-0.1212,-0.0251
thumb.03.L,0.9992,-0.037,0.0058,0.0105
palm.02.L,0.9114,-0.0489,0.3918,0.1158
f_middle.01.L,0.9875,-0.1399,-0.0579,0.0438
f_middle.02.L,0.9951,-0.09,0.0388,0.011
f_middle.03.L,0.9975,-0.0651,0.0199,0.0203
palm.03.L,0.9068,-0.0962,0.395,0.1115
f_ring.01.L,0.9779,-0.1931,0.0298,0.0751
f_ring.02.L,0.9978,-0.0596,0.0212,0.0204
f_ring.03.L,0.9871,-0.1505,0.0415,0.0364
palm.04.L,0.9068,-0.1746,0.3771,0.0714
f_pinky.01.L,0.9303,-0.3242,0.0794,0.1519
f_pinky.02.L,0.9984,0.0533,0.001,0.0166
f_pinky.03.L,0.9953,-0.094,0.0201,0.0148
shoulder.R,1.0,-0.0,-0.0,-0.0
upper_arm.R,0.4388,0.5277,-0.726,0.0443
forearm.R,0.6218,-0.1535,-0.0971,-0.7618
hand.R,0.6151,0.3765,-0.6301,0.2878
palm.01.R,0.5324,-0.3171,0.7563,0.2098
f_index.01.R,0.9979,-0.052,0.0376,-0.013
f_index.02.R,0.9962,-0.0854,-0.0146,-0.0053
f_index.03.R,0.9933,-0.1106,-0.0077,-0.0313
thumb.01.R,0.8541,-0.1873,0.4826,0.0497
thumb.02.R,0.9921,0.0079,0.1231,0.0245
thumb.03.R,0.9992,-0.0371,-0.0059,-0.0104
palm.02.R,0.5563,-0.211,0.7768,0.2063
f_middle.01.R,0.9884,-0.1325,0.0586,-0.0446
f_middle.02.R,0.9949,-0.0925,-0.0388,-0.0136
f_middle.03.R,0.9973,-0.068,-0.0198,-0.0188
palm.03.R,0.5681,-0.0973,0.786,0.2237
f_ring.01.R,0.9784,-0.1926,-0.0284,-0.07
f_ring.02.R,0.9978,-0.0595,-0.0212,-0.0204
f_ring.03.R,0.987,-0.1512,-0.0414,-0.0364
palm.04.R,0.5614,0.0239,0.7954,0.2271
f_pinky.01.R,0.9327,-0.324,-0.0762,-0.1387
f_pinky.02.R,0.9986,0.0504,-0.0009,-0.0166
f_pinky.03.R,0.995,-0.0966,-0.02,-0.0149
breast.L,1.0,0.0,0.0,0.0
breast.R,1.0,0.0,0.0,0.0
pelvis.L,1.0,-0.0,-0.0,-0.0
pelvis.R,1.0,0.0,-0.0,0.0
thigh.L,0.0028,-0.0032,-0.9843,-0.1765
shin.L,0.9953,-0.09,-0.0368,0.0034
foot.L,0.4568,0.8888,0.0366,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,0.0008,-0.0021,0.9843,0.1767
shin.R,0.9953,-0.09,0.0365,-0.0032
foot.R,0.4575,0.8885,-0.0363,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,0.0,-0.0
