motion_name,SG ASL Decent 2026-2-28
pose_name,SG ASL Decent 2026-2-28 P3
export_date,2026-2-28
current_frame,51
frame_budget,10

bone_name,w,x,y,z
bicepfk_L,0.7027,0.6071,0.3145,0.1967
forearmfk_L,0.8846,-0.027,-0.0561,0.4622
handfk_L,0.9074,0.2432,0.3346,-0.0745
bicepfk_R,0.7551,0.6212,-0.036,-0.2064
forearmfk_R,0.2567,-0.06,0.0175,-0.9645
handfk_R,0.7762,0.05,0.61,0.1515
thighfk_L,0.9999,-0.0106,-0.0026,0.0003
shinfk_L,0.9996,0.0271,0.0074,0.0042
footfk_L,0.0286,-0.0266,0.999,0.0202
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9988,-0.0151,0.0459,-0.0
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0292,-0.0263,-0.9991,-0.0169
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0003,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0001,0.0001,-0.0008
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.923,0.0697,-0.3532,-0.1361
thumbfk_02_R,0.9847,0.1266,0.1175,0.0228
thumbfk_03_R,0.9972,-0.0508,-0.0461,0.0313
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0084
pinkyfk_01_R,0.9667,0.2344,0.1027,0.0029
pinkyfk_02_R,0.9984,0.0563,-0.0,0.0006
pinkyfk_03_R,0.9997,-0.0244,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,-0.0,-0.0112,0.0112
indexfk_01_R,0.9936,0.1115,-0.0072,-0.016
indexfk_02_R,0.9998,0.0193,0.0,0.0
indexfk_03_R,0.9996,0.0283,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0006,0.0006
middlefk_01_R,0.9948,0.0637,0.069,0.0395
middlefk_02_R,0.9952,0.098,0.0,0.0
middlefk_03_R,0.9996,0.027,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0076,-0.0051
ringfk_01_R,0.9637,0.2428,0.0973,-0.0527
ringfk_02_R,1.0,0.0032,-0.0,-0.0
ringfk_03_R,0.9995,0.0319,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9906,0.014,0.1274,-0.0473
collar_L,0.9993,0.0153,0.0107,0.0332
neckfk,1.0,-0.0025,-0.0029,0.0063
headfk,0.9999,-0.0045,-0.0029,0.0127
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0008,0.0009,-0.0017
chest_3,0.9998,-0.0182,-0.002,-0.0097
chest_2,1.0,0.0011,0.001,-0.0024
chest_1,1.0,0.0025,0.0023,-0.0054
hip,0.9998,-0.0017,0.0216,0.0001
