motion_name,SG ASL Decimal Alt 2026-2-28
pose_name,SG ASL Decimal Alt 2026-2-28 P4
export_date,2026-2-28
current_frame,98
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.793,0.525,0.0516,0.3047
forearmfk_L,0.6023,-0.0482,-0.0391,0.7959
handfk_L,0.9632,-0.0487,0.2172,0.1505
bicepfk_R,0.762,0.5837,-0.1202,-0.2535
forearmfk_R,0.5957,-0.0506,0.0382,-0.8007
handfk_R,0.7735,-0.079,0.5712,0.2631
thighfk_L,0.9996,-0.0111,-0.0251,0.0003
shinfk_L,0.9996,0.0271,0.009,0.0043
footfk_L,0.0291,-0.0261,0.9991,0.0185
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0109,0.0234,-0.0001
shinfk_R,0.9996,0.027,-0.0087,-0.0042
footfk_R,0.0289,-0.0264,-0.9991,-0.0187
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9942,0.0333,-0.0524,-0.0874
thumbfk_02_L,0.9937,0.0837,-0.0733,-0.0148
thumbfk_03_L,0.9965,-0.056,0.0509,-0.0345
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.002
pinkyfk_01_L,0.9864,-0.0442,-0.1063,-0.117
pinkyfk_02_L,0.9998,0.0204,0.0,-0.0002
pinkyfk_03_L,0.9995,0.0301,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9988,-0.0282,0.0016,0.041
indexfk_02_L,0.9981,0.0613,0.0,0.0
indexfk_03_L,0.9993,0.0385,-0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9964,-0.0287,-0.0757,0.027
middlefk_02_L,0.9954,0.0954,0.0,0.0
middlefk_03_L,0.9999,0.0116,0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0005,0.0003
ringfk_01_L,0.9933,0.0152,-0.1145,0.008
ringfk_02_L,1.0,-0.0038,-0.0,-0.0
ringfk_03_L,0.9999,-0.0152,-0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7175,0.3654,-0.4979,-0.3221
thumbfk_02_R,0.9821,0.1433,0.0771,0.0943
thumbfk_03_R,0.9804,0.1572,0.0083,0.1185
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,0.0101
pinkyfk_01_R,0.9357,-0.2434,0.2074,0.1487
pinkyfk_02_R,1.0,0.0005,-0.0002,0.0002
pinkyfk_03_R,1.0,0.0001,-0.0001,-0.0008
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9981,0.0,-0.0435,0.0435
indexfk_01_R,0.9066,0.4211,-0.021,0.0194
indexfk_02_R,0.9098,0.4148,-0.0041,0.0142
indexfk_03_R,0.9522,0.3053,-0.0041,-0.0062
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9983,-0.0516,-0.0135,0.0232
middlefk_02_R,1.0,0.0028,0.0004,-0.0001
middlefk_03_R,1.0,-0.0006,0.0,0.0008
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9834,-0.1567,0.0696,0.0593
ringfk_02_R,0.9992,0.036,-0.0054,0.0143
ringfk_03_R,1.0,-0.0028,0.0,-0.0007
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9974,0.0526,0.0494,-0.0081
collar_L,0.9945,0.0984,0.0024,0.0359
neckfk,1.0,0.0003,0.0001,-0.001
headfk,1.0,0.0008,-0.0007,-0.0017
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0191,-0.0033,-0.0071
chest_2,1.0,0.0001,0.0,0.0003
chest_1,1.0,0.0004,0.0004,0.0011
hip,1.0,0.0003,-0.0008,-0.0001
