motion_name,SG ASL Decimal Place 2026-3-1
pose_name,SG ASL Decimal Place 2026-3-1 P9
export_date,2026-3-1
current_frame,125
frame_budget,5

bone_name,w,x,y,z
bicepfk_L,0.7643,0.5999,-0.0322,0.2344
forearmfk_L,0.4737,-0.0538,-0.0329,0.8784
handfk_L,0.8496,0.4165,0.3036,-0.1124
bicepfk_R,0.8684,0.4902,0.0093,0.074
forearmfk_R,0.5481,-0.0553,0.0356,-0.8338
handfk_R,0.8721,-0.1432,-0.4612,0.0793
thighfk_L,0.9992,-0.0128,-0.0387,-0.0003
shinfk_L,0.9996,0.027,0.0065,0.0045
footfk_L,0.0284,-0.0276,0.9991,0.0174
toefk_L,1.0,0.0001,0.0006,0.0
thighfk_R,0.9999,-0.0098,0.0099,-0.0007
shinfk_R,0.9996,0.027,-0.0098,-0.0038
footfk_R,0.0291,-0.0255,-0.9991,-0.0194
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8291,0.3867,0.3866,0.1165
thumbfk_02_L,0.9892,0.1109,-0.0472,-0.0828
thumbfk_03_L,0.9922,0.1013,-0.0381,-0.0614
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0191
pinkyfk_01_L,0.8516,0.5078,-0.1171,0.0565
pinkyfk_02_L,0.7132,0.7004,-0.0003,-0.0273
pinkyfk_03_L,0.6675,0.7368,-0.0661,0.0849
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9992,-0.0,0.0285,-0.0285
indexfk_01_L,0.9596,0.2815,0.0055,-0.0025
indexfk_02_L,0.9998,0.0185,0.0002,-0.0
indexfk_03_L,1.0,0.006,0.0002,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0069,-0.0069
middlefk_01_L,0.7732,0.6311,-0.0572,-0.0244
middlefk_02_L,0.7369,0.6757,-0.0166,0.0072
middlefk_03_L,0.7442,0.6667,-0.0257,-0.0333
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0173,0.0115
ringfk_01_L,0.838,0.5427,-0.056,-0.0097
ringfk_02_L,0.6968,0.7172,0.0002,-0.0121
ringfk_03_L,0.8157,0.5739,-0.028,0.0674
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8523,0.3683,-0.3479,-0.1298
thumbfk_02_R,0.9949,0.0845,0.0282,0.0482
thumbfk_03_R,0.9946,0.0436,-0.0039,0.0942
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0149
pinkyfk_01_R,0.9014,0.4035,0.1519,0.0397
pinkyfk_02_R,0.6752,0.7371,-0.0018,0.027
pinkyfk_03_R,0.5803,0.8081,0.0732,-0.0702
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9999,0.0,-0.0079,0.0079
indexfk_01_R,0.9969,0.0785,0.0047,0.0044
indexfk_02_R,0.8161,0.5778,-0.0002,-0.0001
indexfk_03_R,0.9315,0.3638,0.0003,-0.0003
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0064,0.0064
middlefk_01_R,0.7996,0.5942,0.0792,0.036
middlefk_02_R,0.6548,0.7556,0.0168,-0.0052
middlefk_03_R,0.7122,0.7008,0.0248,0.0315
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,0.0,0.0141,-0.0094
ringfk_01_R,0.8921,0.4512,0.0236,0.0042
ringfk_02_R,0.7118,0.7023,-0.0006,0.0112
ringfk_03_R,0.7426,0.666,0.0366,-0.0611
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9964,-0.0079,0.0824,-0.0155
collar_L,0.998,-0.0273,0.0003,0.0562
neckfk,0.9999,0.0034,-0.0073,0.0107
headfk,0.9997,0.0065,-0.0095,0.0219
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0021,0.0,-0.0018
chest_3,0.9998,-0.0164,-0.0031,-0.0097
chest_2,1.0,0.0029,-0.0002,-0.0022
chest_1,1.0,0.0064,-0.0004,-0.0052
hip,0.9999,-0.0,-0.0143,0.0004
