motion_name,SG ASL Decimal Place 2026-3-1 metarig A
pose_name,SG ASL Decimal Place 2026-3-1 metarig A P6
export_date,2026-3-1
current_frame,103
frame_budget,8

bone_name,w,x,y,z
spine,0.9919,-0.1261,-0.0177,0.0021
spine.001,0.9975,0.0701,0.0091,-0.0052
spine.002,0.9966,0.08,0.0215,-0.0009
spine.003,0.9996,-0.0213,-0.0166,-0.0098
spine.004,0.9803,-0.1973,0.0027,-0.0022
spine.005,0.9948,0.1007,-0.0121,0.0074
spine.006,0.9945,0.1016,-0.0187,0.0178
face,1.0,0.0,-0.0,-0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,0.0,0.0,-0.0
lip.T.L,1.0,0.0,0.0,-0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,0.0,-0.0,-0.0
chin,1.0,0.0,-0.0,-0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,0.0,-0.0,-0.0
ear.L.002,1.0,0.0,0.0,0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,0.0,0.0,0.0
ear.R,1.0,-0.0,-0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,0.0
ear.R.002,1.0,0.0,0.0,0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,0.0,-0.0,-0.0
lip.T.R,1.0,-0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,-0.0,0.0,-0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
