motion_name,SG ASL Decline Economics 2026-3-3
pose_name,SG ASL Decline Economics 2026-3-3 P2
export_date,2026-3-3
current_frame,69
frame_budget,34

bone_name,w,x,y,z
bicepfk_L,0.7828,0.5415,0.0182,0.3062
forearmfk_L,0.5939,-0.0494,-0.0388,0.8021
handfk_L,0.8958,-0.1263,0.3357,0.2625
bicepfk_R,0.696,0.5877,0.0148,-0.4123
forearmfk_R,0.9219,-0.024,0.059,-0.382
handfk_R,0.8728,0.1401,-0.4195,0.2063
thighfk_L,0.9996,-0.0107,-0.0242,0.0006
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.0287,-0.0268,0.9991,0.0179
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0107,0.0243,0.0001
shinfk_R,0.9996,0.0271,-0.0089,-0.0042
footfk_R,0.0291,-0.0261,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9764,0.0141,0.1825,0.115
thumbfk_02_L,0.9906,0.1009,-0.0907,-0.0172
thumbfk_03_L,0.9935,-0.0766,0.0695,-0.0472
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0017
pinkyfk_01_L,0.9953,-0.0455,-0.0805,-0.0278
pinkyfk_02_L,0.9996,0.0294,0.0,-0.0003
pinkyfk_03_L,1.0,0.0037,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0023,-0.0023
indexfk_01_L,0.9997,0.0229,0.0009,-0.0046
indexfk_02_L,0.9966,0.0821,-0.0,0.0
indexfk_03_L,0.9993,0.0363,-0.0,-0.0007
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0002,-0.0002
middlefk_01_L,0.9958,0.0275,-0.0718,-0.0492
middlefk_02_L,0.995,0.1,0.0,0.0
middlefk_03_L,0.9999,0.0157,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0016,0.0011
ringfk_01_L,0.9926,0.0537,-0.1085,-0.0016
ringfk_02_L,0.9999,0.0121,0.0,0.0
ringfk_03_L,1.0,0.0086,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8194,0.3964,-0.3518,-0.2184
thumbfk_02_R,0.9801,0.141,0.137,0.0267
thumbfk_03_R,0.8889,0.4009,0.1784,0.1316
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0019
pinkyfk_01_R,0.991,0.0611,0.0491,0.1087
pinkyfk_02_R,0.9995,0.0292,-0.0063,0.006
pinkyfk_03_R,0.9998,0.0001,-0.0017,-0.0195
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.999,0.0,-0.0311,0.0311
indexfk_01_R,0.9369,0.284,-0.2025,0.0238
indexfk_02_R,0.9988,0.0485,-0.0069,0.0011
indexfk_03_R,0.9997,0.0241,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0022,0.0022
middlefk_01_R,0.9741,0.2166,0.0606,-0.0224
middlefk_02_R,0.9984,0.0552,0.0108,-0.0035
middlefk_03_R,1.0,0.0049,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0046,-0.0031
ringfk_01_R,0.9865,0.1538,0.0285,0.0477
ringfk_02_R,0.9994,0.035,-0.0031,0.008
ringfk_03_R,0.9996,0.0267,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9937,0.0545,0.0953,-0.0215
collar_L,0.9921,0.1004,-0.0132,0.0739
neckfk,1.0,-0.0064,0.0008,0.0003
headfk,0.9999,-0.0123,0.0017,0.0003
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0007,-0.0023,-0.0005
chest_3,0.9998,-0.0184,-0.0063,-0.0081
chest_2,1.0,0.0009,-0.0036,-0.0003
chest_1,1.0,0.002,-0.0079,-0.0008
hip,1.0,0.0005,0.0001,-0.0003
