motion_name,SG ASL Decline Slope 2026-3-3
pose_name,SG ASL Decline Slope 2026-3-3 P3
export_date,2026-3-3
current_frame,49
frame_budget,7

bone_name,w,x,y,z
bicepfk_L,0.7273,0.6251,0.2101,0.19
forearmfk_L,0.6314,-0.0459,-0.041,0.773
handfk_L,0.8193,0.046,-0.5419,-0.1814
bicepfk_R,0.7802,0.5994,-0.1675,-0.0623
forearmfk_R,0.663,-0.0401,0.0382,-0.7465
handfk_R,0.8627,0.1303,-0.4882,0.0224
thighfk_L,0.9997,-0.0112,-0.0238,0.0005
shinfk_L,0.9996,0.0275,0.009,0.0044
footfk_L,0.0286,-0.0267,0.9991,0.0178
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0112,0.0247,0.0001
shinfk_R,0.9996,0.0274,-0.0087,-0.004
footfk_R,0.0291,-0.0266,-0.9991,-0.0181
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9578,0.0962,0.2676,-0.0414
thumbfk_02_L,0.9963,0.0651,-0.0557,-0.0095
thumbfk_03_L,0.99,-0.0949,0.0862,-0.0585
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0018
pinkyfk_01_L,0.9716,-0.0307,-0.1009,-0.2117
pinkyfk_02_L,1.0,0.0097,0.0,-0.0001
pinkyfk_03_L,1.0,-0.001,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9936,0.003,-0.0418,-0.1052
indexfk_02_L,0.9987,0.0435,0.0041,0.0244
indexfk_03_L,0.9995,0.0319,-0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,0.988,0.0154,-0.1083,-0.1095
middlefk_02_L,0.9981,0.0608,-0.0,-0.0
middlefk_03_L,1.0,-0.0016,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0,0.0
ringfk_01_L,0.9859,0.0148,-0.0999,-0.1336
ringfk_02_L,1.0,0.0005,0.0,0.0
ringfk_03_L,0.9997,-0.0243,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.954,0.1031,-0.2781,0.0445
thumbfk_02_R,0.9956,0.07,0.0605,0.0109
thumbfk_03_R,0.9914,-0.0881,-0.08,0.0543
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0017
pinkyfk_01_R,0.9707,-0.028,0.0894,0.2212
pinkyfk_02_R,1.0,0.0067,-0.0,0.0001
pinkyfk_03_R,1.0,-0.0066,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9934,-0.0092,0.0452,0.1051
indexfk_02_R,0.999,0.0353,-0.0042,-0.0257
indexfk_03_R,0.9996,0.0299,0.0,0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9886,0.0047,0.1128,0.0995
middlefk_02_R,0.9986,0.0533,-0.0,0.0
middlefk_03_R,1.0,-0.0027,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,-0.0
ringfk_01_R,0.9849,0.0151,0.0916,0.1458
ringfk_02_R,1.0,-0.0016,-0.0,0.0
ringfk_03_R,0.9998,-0.0181,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9934,-0.0168,0.113,-0.0041
collar_L,0.9996,0.0106,-0.0073,0.0232
neckfk,1.0,-0.0077,0.0029,0.0038
headfk,0.9998,-0.0142,0.008,0.0077
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0025,-0.0015,-0.0017
chest_3,0.9998,-0.0159,-0.0051,-0.0098
chest_2,1.0,0.0034,-0.0023,-0.0019
chest_1,0.9999,0.0076,-0.0053,-0.0045
hip,1.0,0.0001,0.0004,-0.0003
