motion_name,SG ASL Decline Var 2 2026-3-5
pose_name,SG ASL Decline Var 2 2026-3-5 P6
export_date,2026-3-7
current_frame,86
frame_budget,6

bone_name,w,x,y,z
bicepfk_L,0.8411,0.5013,0.0324,0.2007
forearmfk_L,0.8851,-0.0298,-0.0579,0.4609
handfk_L,0.7724,0.0512,0.5781,0.258
bicepfk_R,0.6226,0.6948,-0.304,-0.1932
forearmfk_R,0.7013,-0.045,0.0464,-0.7099
handfk_R,0.938,0.1215,0.3223,-0.0383
thighfk_L,0.9997,-0.0113,-0.0232,0.0008
shinfk_L,0.9996,0.027,0.0087,0.0042
footfk_L,0.0291,-0.026,0.9991,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0115,0.0253,0.0004
shinfk_R,0.9996,0.027,-0.0094,-0.0042
footfk_R,0.0289,-0.0266,-0.9991,-0.0189
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8555,0.1935,0.4682,0.1072
thumbfk_02_L,0.9666,0.2323,-0.1001,-0.0417
thumbfk_03_L,0.9868,0.1517,-0.0435,0.0368
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.0267
pinkyfk_01_L,0.7235,0.6859,-0.076,-0.0153
pinkyfk_02_L,0.6844,0.7291,0.0002,-0.002
pinkyfk_03_L,0.801,0.5963,0.0416,0.0335
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.994,-0.0,0.0774,-0.0774
indexfk_01_L,0.7146,0.6992,-0.0109,-0.0176
indexfk_02_L,0.6878,0.7258,-0.0001,-0.0093
indexfk_03_L,0.8159,0.5773,0.0192,0.0276
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0083,-0.0083
middlefk_01_L,0.6736,0.7384,-0.0297,-0.0068
middlefk_02_L,0.7017,0.7124,-0.014,0.0057
middlefk_03_L,0.7723,0.635,-0.016,-0.0052
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,0.0,-0.0224,0.0149
ringfk_01_L,0.7347,0.6774,-0.0349,-0.0118
ringfk_02_L,0.709,0.7051,-0.0002,-0.0101
ringfk_03_L,0.8251,0.561,-0.0236,0.0622
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9504,0.1817,-0.2184,0.1269
thumbfk_02_R,0.9829,0.123,0.1098,0.0819
thumbfk_03_R,0.784,0.5013,0.14,0.3383
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0035
pinkyfk_01_R,0.9935,-0.1001,-0.0105,0.0535
pinkyfk_02_R,0.9997,0.0183,-0.0111,0.0104
pinkyfk_03_R,0.9992,0.0174,-0.0027,-0.0347
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.945,-0.0741,-0.3149,0.048
indexfk_02_R,0.9998,0.0173,-0.0122,0.0021
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9926,-0.0952,0.0555,0.0511
middlefk_02_R,0.9996,0.0202,0.0193,-0.0059
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9962,-0.0578,-0.0431,0.0499
ringfk_02_R,0.9993,0.0333,-0.0055,0.0143
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9871,0.07,0.1378,-0.0408
collar_L,0.9941,0.0839,-0.0336,0.0597
neckfk,1.0,0.0023,-0.0023,0.0013
headfk,1.0,0.0042,-0.004,0.0032
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,0.0004,-0.0003
chest_3,0.9998,-0.0192,-0.0026,-0.0078
chest_2,1.0,0.0001,0.0005,-0.0005
chest_1,1.0,0.0001,0.0015,-0.0012
hip,1.0,-0.0001,0.001,-0.0007
