motion_name,SG ASL Decline Weaken 2026-3-7 metarig T
pose_name,SG ASL Decline Weaken 2026-3-7 metarig T P1
export_date,2026-3-7
current_frame,34
frame_budget,34

bone_name,w,x,y,z
spine,0.9919,-0.127,0.0012,0.0001
spine.001,0.9979,0.0645,-0.0,0.0005
spine.002,0.9968,0.0775,0.0175,0.0014
spine.003,0.9995,-0.0239,-0.0209,-0.0076
spine.004,0.98,-0.1991,-0.0,0.0
spine.005,0.9952,0.0983,0.0001,0.0
spine.006,0.9953,0.0972,0.0008,0.0
face,1.0,-0.0,-0.0,0.0
nose,1.0,-0.0,-0.0,0.0
nose.001,1.0,-0.0,-0.0,0.0
nose.002,1.0,0.0,-0.0,0.0
nose.003,1.0,0.0,0.0,0.0
nose.004,1.0,0.0,0.0,0.0
lip.T.L,1.0,-0.0,0.0,0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,0.0,0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,-0.0,-0.0,-0.0
chin,1.0,0.0,0.0,0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,-0.0,0.0,-0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,-0.0,-0.0
ear.L.003,1.0,0.0,0.0,-0.0
ear.L.004,1.0,-0.0,-0.0,-0.0
ear.R,1.0,-0.0,-0.0,0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,0.0
ear.R.003,1.0,0.0,0.0,-0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,-0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,0.0
lid.T.L.003,1.0,0.0,0.0,-0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,0.0,-0.0,0.0
brow.B.R.001,1.0,-0.0,0.0,0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,0.0,0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,-0.0,-0.0,0.0
lid.B.R.001,1.0,-0.0,-0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,-0.0
lid.B.R.003,1.0,-0.0,0.0,-0.0
forehead.L,1.0,0.0,-0.0,-0.0
forehead.L.001,1.0,0.0,-0.0,-0.0
forehead.L.002,1.0,-0.0,-0.0,-0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,0.0,-0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,0.0
brow.T.L,1.0,-0.0,0.0,0.0
brow.T.L.001,1.0,0.0,-0.0,-0.0
brow.T.L.002,1.0,-0.0,-0.0,-0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,0.0,0.0,-0.0
forehead.R.001,1.0,0.0,0.0,-0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,0.0,0.0,0.0
jaw.R.001,1.0,0.0,-0.0,-0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,-0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,-0.0,-0.0
brow.T.R.002,1.0,0.0,0.0,-0.0
brow.T.R.003,1.0,0.0,0.0,-0.0
eye.L,1.0,-0.0,0.0,-0.0
eye.R,1.0,-0.0,0.0,-0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,-0.0
nose.L,1.0,-0.0,0.0,-0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,0.0,0.0,0.0
nose.R.001,1.0,0.0,-0.0,0.0
teeth.T,1.0,0.0,-0.0,-0.0
teeth.B,1.0,0.0,-0.0,-0.0
tongue,1.0,0.0,0.0,0.0
tongue.001,1.0,-0.0,0.0,-0.0
tongue.002,1.0,-0.0,-0.0,0.0
shoulder.L,1.0,-0.0,0.0,-0.0
upper_arm.L,0.4849,0.355,0.7892,-0.1264
forearm.L,0.6481,-0.1559,0.085,0.7406
hand.L,0.583,-0.2993,-0.7404,0.1494
palm.01.L,0.9876,0.021,-0.1226,0.0959
f_index.01.L,0.9985,-0.0232,-0.0502,-0.0036
f_index.02.L,0.9841,0.177,0.0148,-0.0014
f_index.03.L,0.9984,0.0446,0.0128,0.031
thumb.01.L,0.9407,0.0386,0.0452,0.3341
thumb.02.L,0.9948,-0.0474,-0.0808,0.0409
thumb.03.L,0.9968,-0.0712,0.0354,-0.0113
palm.02.L,0.9906,0.0706,-0.0896,0.0752
f_middle.01.L,0.9296,0.3562,-0.0902,0.0284
f_middle.02.L,0.7933,0.6075,0.036,-0.0182
f_middle.03.L,0.8173,0.5755,0.0282,0.0033
palm.03.L,0.9894,0.0916,-0.0856,0.0738
f_ring.01.L,0.9309,0.3603,-0.0543,0.0248
f_ring.02.L,0.8131,0.5814,0.0293,0.0026
f_ring.03.L,0.9128,0.4048,0.0545,0.0083
palm.04.L,0.9952,0.0836,-0.0497,0.0144
f_pinky.01.L,0.9417,0.3197,0.0253,0.1015
f_pinky.02.L,0.7299,0.6834,0.0112,0.0049
f_pinky.03.L,0.9333,0.3582,0.0245,0.0043
shoulder.R,1.0,0.0,0.0,0.0
upper_arm.R,0.5108,0.3174,-0.7844,0.152
forearm.R,0.6222,-0.1539,-0.092,-0.762
hand.R,0.5312,-0.1595,0.7569,-0.3457
palm.01.R,0.9877,0.1174,0.0997,0.0268
f_index.01.R,0.9985,-0.0231,0.0501,0.0047
f_index.02.R,0.9842,0.1766,-0.0154,-0.0014
f_index.03.R,0.9985,0.0448,-0.0123,-0.0293
thumb.01.R,0.9407,0.0386,-0.0452,-0.3341
thumb.02.R,0.9948,-0.0474,0.0808,-0.0409
thumb.03.R,0.9968,-0.0712,-0.0354,0.0113
palm.02.R,0.9834,0.1652,0.0591,0.047
f_middle.01.R,0.9296,0.3562,0.0906,-0.0275
f_middle.02.R,0.7933,0.6074,-0.0378,0.0163
f_middle.03.R,0.8173,0.5755,-0.0272,-0.0021
palm.03.R,0.9821,0.1769,0.0413,0.0505
f_ring.01.R,0.931,0.3602,0.0549,-0.0244
f_ring.02.R,0.8131,0.5814,-0.0293,-0.0026
f_ring.03.R,0.9128,0.4048,-0.0545,-0.0083
palm.04.R,0.9843,0.1654,-0.0005,0.0621
f_pinky.01.R,0.9467,0.312,0.013,-0.0788
f_pinky.02.R,0.7299,0.6834,-0.0112,-0.0049
f_pinky.03.R,0.9333,0.3582,-0.0245,-0.0043
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,-0.0,-0.0,0.0
pelvis.R,1.0,-0.0,0.0,0.0
thigh.L,0.0029,-0.0022,-0.9841,-0.1773
shin.L,0.9953,-0.0899,-0.0366,0.0032
foot.L,0.4575,0.8884,0.0369,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,-0.0
thigh.R,0.0007,-0.003,0.9841,0.1776
shin.R,0.9953,-0.09,0.0365,-0.0032
foot.R,0.4571,0.8886,-0.0366,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,-0.0,-0.0,0.0
