motion_name,SG ASL Decorate 2026-3-11
pose_name,SG ASL Decorate 2026-3-11 P4
export_date,2026-3-11
current_frame,83
frame_budget,17

bone_name,w,x,y,z
bicepfk_L,0.7687,0.5584,0.1899,0.2476
forearmfk_L,0.4707,-0.0541,-0.0299,0.8801
handfk_L,0.8114,-0.2376,0.5322,0.0449
bicepfk_R,0.7956,0.6039,-0.0469,0.0048
forearmfk_R,0.466,-0.0536,0.0309,-0.8826
handfk_R,0.9573,0.2582,0.0884,0.0958
thighfk_L,1.0,0.0015,0.0047,0.0002
shinfk_L,0.9996,0.0271,0.0097,0.004
footfk_L,0.0289,-0.026,0.999,0.0203
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9986,-0.0045,0.0535,-0.0007
shinfk_R,0.9996,0.0272,-0.0086,-0.0044
footfk_R,0.0292,-0.0265,-0.9991,-0.015
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.4053,0.2948,0.8015,0.3261
thumbfk_02_L,0.9996,0.0242,-0.0138,0.002
thumbfk_03_L,0.9993,0.0252,-0.0229,0.0156
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.0133
pinkyfk_01_L,0.9267,0.3708,-0.0295,0.0535
pinkyfk_02_L,0.9253,0.379,-0.015,-0.0023
pinkyfk_03_L,0.9818,0.1899,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9978,0.0,0.0465,-0.0465
indexfk_01_L,0.8939,0.4482,-0.0093,0.0001
indexfk_02_L,0.9517,0.3071,0.0014,0.003
indexfk_03_L,0.9887,0.1498,-0.0,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0049,-0.0049
middlefk_01_L,0.881,0.4719,-0.0255,0.0208
middlefk_02_L,0.9372,0.3486,-0.0138,0.0023
middlefk_03_L,0.9855,0.1698,-0.002,-0.0045
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0141,0.0094
ringfk_01_L,0.8909,0.4528,-0.0361,0.0064
ringfk_02_L,0.9701,0.2424,-0.0116,-0.0003
ringfk_03_L,0.9841,0.1774,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.4288,0.3244,-0.7452,-0.3944
thumbfk_02_R,0.9996,0.0163,0.01,-0.0204
thumbfk_03_R,0.9977,0.0459,0.0417,-0.0283
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0138
pinkyfk_01_R,0.9183,0.3812,0.0471,-0.096
pinkyfk_02_R,0.9245,0.381,0.015,0.0023
pinkyfk_03_R,0.9849,0.1729,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9976,0.0,-0.0489,0.0489
indexfk_01_R,0.8826,0.4701,-0.0071,-0.0054
indexfk_02_R,0.9398,0.3417,-0.0013,-0.003
indexfk_03_R,0.986,0.167,0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0053,0.0053
middlefk_01_R,0.8641,0.5026,0.023,-0.0093
middlefk_02_R,0.9345,0.3557,0.0138,-0.0024
middlefk_03_R,0.9849,0.1728,0.0021,0.0045
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0153,-0.0102
ringfk_01_R,0.872,0.4855,0.0499,-0.038
ringfk_02_R,0.9627,0.2703,0.0116,0.0004
ringfk_03_R,0.9853,0.1708,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.988,0.0147,0.1156,-0.1016
collar_L,0.9999,0.0125,0.0008,0.007
neckfk,0.9984,-0.0113,-0.0502,0.0223
headfk,0.9946,-0.0222,-0.083,0.0583
chest_5,1.0,0.0,0.0,0.0
chest_4,0.9999,-0.0017,0.0104,-0.0019
chest_3,0.9997,-0.0216,0.0107,-0.0095
chest_2,0.9999,-0.0021,0.0135,-0.0039
chest_1,0.9995,-0.0047,0.0304,-0.0085
hip,0.9995,0.0107,0.029,0.0006
