motion_name,SG ASL Decorate Other 2026-3-10 metarig A
pose_name,SG ASL Decorate Other 2026-3-10 metarig A P3
export_date,2026-3-10
current_frame,75
frame_budget,15

bone_name,w,x,y,z
spine,0.9925,-0.1221,0.0042,-0.0007
spine.001,0.9984,0.0562,-0.0036,-0.0021
spine.002,0.9971,0.0738,0.0158,0.0003
spine.003,0.9993,-0.0279,-0.0225,-0.009
spine.004,0.9794,-0.2021,-0.0014,-0.0006
spine.005,0.9961,0.0884,-0.0028,0.0003
spine.006,0.9969,0.0789,-0.0044,0.0014
face,1.0,-0.0,0.0,-0.0
nose,1.0,-0.0,0.0,-0.0
nose.001,1.0,0.0,-0.0,-0.0
nose.002,1.0,-0.0,-0.0,-0.0
nose.003,1.0,0.0,0.0,-0.0
nose.004,1.0,0.0,-0.0,-0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,-0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,-0.0,0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,-0.0,-0.0,0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,-0.0,-0.0,-0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,0.0,-0.0,0.0
lip.T.R,1.0,0.0,0.0,0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,-0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,0.0,0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,0.0
lid.T.L.002,1.0,0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,-0.0,0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,-0.0,0.0,-0.0
