motion_name,SG ASL Decorate Small 2026-3-10
pose_name,SG ASL Decorate Small 2026-3-10 P5
export_date,2026-3-10
current_frame,96
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.7211,0.6603,0.1508,0.1458
forearmfk_L,0.7898,-0.0353,-0.0537,0.61
handfk_L,0.9926,0.0926,0.0218,0.0748
bicepfk_R,0.81,0.5624,-0.1571,0.0542
forearmfk_R,0.6253,-0.0483,0.0412,-0.7778
handfk_R,0.83,-0.0285,-0.4449,-0.3351
thighfk_L,0.9997,-0.0122,-0.0232,-0.0008
shinfk_L,0.9996,0.0269,0.0089,0.0042
footfk_L,0.029,-0.0263,0.999,0.0192
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0124,0.0252,-0.0011
shinfk_R,0.9996,0.027,-0.0087,-0.0042
footfk_R,0.0288,-0.0264,-0.9991,-0.018
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.1906,0.3278,0.8317,0.4056
thumbfk_02_L,0.9996,0.0153,0.0101,-0.0203
thumbfk_03_L,0.9999,0.0105,-0.0095,0.0065
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9999,0.0,0.0,-0.015
pinkyfk_01_L,0.907,0.416,-0.0203,0.0627
pinkyfk_02_L,0.8923,0.451,-0.0181,-0.0035
pinkyfk_03_L,0.9765,0.2154,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9964,0.0,0.0597,-0.0597
indexfk_01_L,0.8271,0.5621,0.0018,-0.0042
indexfk_02_L,0.955,0.2967,0.0018,0.0034
indexfk_03_L,0.9893,0.1461,0.0,-0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0067,-0.0067
middlefk_01_L,0.7828,0.6215,-0.0206,0.0207
middlefk_02_L,0.8798,0.475,-0.0167,0.0008
middlefk_03_L,0.9668,0.2555,-0.002,-0.0055
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,-0.0,-0.0167,0.0111
ringfk_01_L,0.8484,0.5269,-0.0381,0.0325
ringfk_02_L,0.9397,0.3418,-0.0137,-0.0017
ringfk_03_L,0.9701,0.2428,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.3023,0.2785,-0.8273,-0.383
thumbfk_02_R,0.9999,0.008,-0.0094,0.0007
thumbfk_03_R,0.9998,-0.0118,-0.0107,0.0073
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9999,0.0,0.0,-0.0144
pinkyfk_01_R,0.914,0.3993,0.0355,-0.062
pinkyfk_02_R,0.9233,0.3836,0.0178,0.0018
pinkyfk_03_R,0.9873,0.1587,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9977,-0.0,-0.0481,0.0481
indexfk_01_R,0.8863,0.4627,0.0109,0.0125
indexfk_02_R,0.9383,0.3459,-0.0016,-0.0035
indexfk_03_R,0.9868,0.1619,-0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0057,0.0057
middlefk_01_R,0.8424,0.5382,0.0248,-0.0028
middlefk_02_R,0.9387,0.3444,0.0164,-0.0034
middlefk_03_R,0.9881,0.1536,0.0026,0.0053
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0162,-0.0108
ringfk_01_R,0.8565,0.5137,0.0498,-0.0062
ringfk_02_R,0.9726,0.2322,0.0138,0.0001
ringfk_03_R,0.9871,0.1601,-0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9966,-0.0084,0.0585,-0.0571
collar_L,0.989,0.0537,-0.0108,0.1373
neckfk,1.0,-0.0021,0.0,0.0026
headfk,1.0,-0.0038,0.0011,0.0048
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0018,-0.0057,-0.002
chest_3,0.9997,-0.0169,-0.0108,-0.0102
chest_2,1.0,0.0024,-0.0079,-0.0017
chest_1,0.9998,0.0057,-0.0177,-0.0041
hip,1.0,-0.0011,0.001,0.001
