motion_name,SG ASL Decrease Alt Var 2026-3-11
pose_name,SG ASL Decrease Alt Var 2026-3-11 P1
export_date,2026-3-11
current_frame,32
frame_budget,32

bone_name,w,x,y,z
bicepfk_L,0.7444,0.5723,0.0692,0.337
forearmfk_L,0.8008,-0.0365,-0.0518,0.5956
handfk_L,0.7456,0.2375,0.6065,0.1406
bicepfk_R,0.8083,0.5548,-0.1054,-0.1666
forearmfk_R,0.6485,-0.0463,0.0435,-0.7586
handfk_R,0.771,-0.1464,-0.6179,-0.048
thighfk_L,0.9998,-0.01,-0.0198,0.0003
shinfk_L,0.9996,0.0271,0.0085,0.0042
footfk_L,0.0289,-0.0265,0.9991,0.0189
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0109,0.0288,-0.0001
shinfk_R,0.9996,0.0271,-0.0091,-0.0043
footfk_R,0.0291,-0.0262,-0.9991,-0.0182
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9588,0.1362,0.2253,-0.107
thumbfk_02_L,0.9781,0.1437,-0.1371,-0.0619
thumbfk_03_L,0.8718,0.4076,-0.1319,-0.2376
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,-0.0,0.0,-0.0031
pinkyfk_01_L,0.9946,0.0903,-0.0279,-0.0436
pinkyfk_02_L,0.9952,0.0973,0.0076,-0.0084
pinkyfk_03_L,0.9995,0.0196,0.002,0.0255
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9999,-0.0,0.0121,-0.0121
indexfk_01_L,0.9667,0.0951,0.2261,-0.0733
indexfk_02_L,0.9919,0.127,0.0089,-0.0022
indexfk_03_L,0.9999,0.0161,-0.0,-0.0002
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0009,-0.0009
middlefk_01_L,0.9913,0.0964,-0.068,-0.0583
middlefk_02_L,0.9935,0.1133,-0.0138,0.0054
middlefk_03_L,1.0,0.0093,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0039,0.0026
ringfk_01_L,0.9902,0.1306,-0.0055,-0.0483
ringfk_02_L,0.9952,0.0972,0.0033,-0.0108
ringfk_03_L,1.0,0.0059,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8107,0.2326,-0.5025,-0.1899
thumbfk_02_R,1.0,0.0014,0.0012,0.0004
thumbfk_03_R,1.0,0.0018,0.0016,-0.0011
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0073
pinkyfk_01_R,0.9525,0.1973,0.2301,0.0302
pinkyfk_02_R,0.9999,0.012,-0.0,0.0001
pinkyfk_03_R,1.0,-0.007,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9998,-0.0,-0.0125,0.0125
indexfk_01_R,0.9901,0.1224,0.0616,-0.0311
indexfk_02_R,0.9937,0.1118,-0.0,0.0
indexfk_03_R,0.9984,0.0564,0.0,0.0005
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0017,0.0017
middlefk_01_R,0.981,0.1655,0.1007,0.0144
middlefk_02_R,0.9949,0.1004,-0.0,-0.0
middlefk_03_R,0.9997,0.0227,-0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0065,-0.0043
ringfk_01_R,0.96,0.2147,0.1699,0.0585
ringfk_02_R,0.9987,0.0511,-0.0,-0.0
ringfk_03_R,0.9997,0.0248,-0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9957,0.0482,0.0785,-0.0112
collar_L,0.9929,0.1017,0.0003,0.0613
neckfk,1.0,-0.0033,0.0023,-0.0015
headfk,1.0,-0.0063,0.0038,-0.0036
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,-0.0008,-0.0009
chest_3,0.9998,-0.019,-0.0043,-0.0086
chest_2,1.0,0.0003,-0.0012,-0.0011
chest_1,1.0,0.0004,-0.0029,-0.0025
hip,1.0,0.0009,0.0045,-0.0
