motion_name,SG ASL Decry 2026-3-12 metarig T
pose_name,SG ASL Decry 2026-3-12 metarig T P3
export_date,2026-3-12
current_frame,81
frame_budget,36

bone_name,w,x,y,z
spine,0.992,-0.1259,-0.0017,-0.0001
spine.001,0.9977,0.0669,-0.0028,-0.0074
spine.002,0.9968,0.0785,0.0163,-0.0019
spine.003,0.9994,-0.0228,-0.0219,-0.0112
spine.004,0.9801,-0.1984,-0.0013,-0.0023
spine.005,0.9947,0.1028,0.0002,0.0099
spine.006,0.9942,0.1057,0.0039,0.0178
face,1.0,0.0,-0.0,0.0
nose,1.0,0.0,-0.0,-0.0
nose.001,1.0,0.0,0.0,0.0
nose.002,1.0,0.0,0.0,-0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,-0.0,-0.0,0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,0.0,0.0,0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,0.0,-0.0,-0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,-0.0,-0.0,0.0
ear.L.004,1.0,-0.0,-0.0,0.0
ear.R,1.0,0.0,0.0,0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,-0.0,-0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,-0.0,-0.0,0.0
lip.T.R.001,1.0,-0.0,0.0,-0.0
lip.B.R,1.0,0.0,-0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,-0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,0.0,0.0
brow.B.L.002,1.0,-0.0,0.0,0.0
brow.B.L.003,1.0,0.0,0.0,0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,-0.0,-0.0,-0.0
lid.T.L.002,1.0,0.0,0.0,-0.0
lid.T.L.003,1.0,-0.0,0.0,-0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,-0.0,0.0,-0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,-0.0,-0.0
brow.B.R,1.0,0.0,-0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,0.0,0.0,0.0
brow.B.R.003,1.0,0.0,0.0,-0.0
lid.T.R,1.0,0.0,-0.0,0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,0.0,0.0,-0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,0.0,-0.0,-0.0
lid.B.R.002,1.0,0.0,-0.0,0.0
lid.B.R.003,1.0,0.0,-0.0,-0.0
forehead.L,1.0,0.0,-0.0,-0.0
forehead.L.001,1.0,-0.0,0.0,0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,0.0
jaw.L,1.0,-0.0,0.0,-0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,0.0,-0.0,0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,-0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,0.0,-0.0,-0.0
brow.T.L.003,1.0,-0.0,0.0,0.0
forehead.R,1.0,0.0,0.0,0.0
forehead.R.001,1.0,0.0,0.0,-0.0
forehead.R.002,1.0,0.0,0.0,0.0
temple.R,1.0,0.0,-0.0,-0.0
jaw.R,1.0,0.0,0.0,-0.0
jaw.R.001,1.0,0.0,0.0,0.0
chin.R,1.0,-0.0,0.0,-0.0
cheek.B.R,1.0,0.0,0.0,-0.0
cheek.B.R.001,1.0,0.0,-0.0,-0.0
brow.T.R,1.0,0.0,-0.0,0.0
brow.T.R.001,1.0,-0.0,-0.0,0.0
brow.T.R.002,1.0,0.0,-0.0,-0.0
brow.T.R.003,1.0,-0.0,-0.0,-0.0
eye.L,1.0,-0.0,0.0,0.0
eye.R,1.0,-0.0,0.0,0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,0.0,0.0,-0.0
nose.L,1.0,0.0,0.0,0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,-0.0
cheek.T.R.001,1.0,0.0,0.0,-0.0
nose.R,1.0,-0.0,0.0,0.0
nose.R.001,1.0,-0.0,-0.0,-0.0
teeth.T,1.0,0.0,0.0,-0.0
teeth.B,1.0,0.0,0.0,-0.0
tongue,1.0,0.0,-0.0,-0.0
tongue.001,1.0,-0.0,-0.0,-0.0
tongue.002,1.0,0.0,0.0,-0.0
shoulder.L,1.0,-0.0,-0.0,-0.0
upper_arm.L,0.6414,0.3862,0.6626,-0.0191
forearm.L,0.3288,-0.1154,0.1396,0.9269
hand.L,0.1242,0.2883,-0.9336,-0.1728
palm.01.L,0.9061,-0.3451,0.1583,-0.1868
f_index.01.L,0.9935,-0.1089,-0.0318,0.0043
f_index.02.L,0.996,-0.0875,0.0148,0.0025
f_index.03.L,0.9927,-0.1154,0.0079,0.0332
thumb.01.L,0.9554,0.1329,-0.0085,0.2634
thumb.02.L,0.9977,-0.0197,-0.0558,-0.0334
thumb.03.L,0.9898,0.1242,-0.0676,-0.0184
palm.02.L,0.9068,-0.3238,0.1453,-0.2274
f_middle.01.L,0.8876,0.4557,-0.0597,0.031
f_middle.02.L,0.8164,0.5771,0.0203,-0.007
f_middle.03.L,0.7853,0.6182,-0.001,-0.0316
palm.03.L,0.9106,-0.3411,0.1026,-0.2097
f_ring.01.L,0.9471,0.3184,0.0053,0.0403
f_ring.02.L,0.7594,0.6498,0.0286,-0.0129
f_ring.03.L,0.8736,0.4793,0.0328,0.0775
palm.04.L,0.8878,-0.3604,0.0481,-0.2822
f_pinky.01.L,0.9546,0.225,0.0921,0.1719
f_pinky.02.L,0.7446,0.6673,0.0101,-0.016
f_pinky.03.L,0.7343,0.6717,-0.0355,0.0915
shoulder.R,1.0,0.0,-0.0,0.0
upper_arm.R,0.4941,0.68,-0.5208,-0.1492
forearm.R,0.3177,-0.1134,-0.1393,-0.931
hand.R,0.9916,-0.0898,0.0297,0.0883
palm.01.R,0.8529,-0.1599,0.4969,0.0117
f_index.01.R,0.9933,-0.111,0.0318,-0.0059
f_index.02.R,0.996,-0.0882,-0.0148,-0.0053
f_index.03.R,0.9927,-0.1162,-0.0077,-0.0315
thumb.01.R,0.9556,0.1314,0.011,-0.2637
thumb.02.R,0.9977,-0.0195,0.0559,0.0333
thumb.03.R,0.9902,0.1217,0.0659,0.02
palm.02.R,0.8738,-0.0673,0.4805,0.0316
f_middle.01.R,0.8846,0.4615,0.0582,-0.0319
f_middle.02.R,0.816,0.5775,-0.0219,0.0051
f_middle.03.R,0.7852,0.6184,0.0018,0.0329
palm.03.R,0.8718,-0.0004,0.4886,0.0349
f_ring.01.R,0.9443,0.3268,-0.003,-0.0394
f_ring.02.R,0.7599,0.6493,-0.0287,0.0129
f_ring.03.R,0.871,0.4841,-0.0328,-0.0772
palm.04.R,0.8797,0.0568,0.4701,0.0446
f_pinky.01.R,0.9602,0.2269,-0.0641,-0.1498
f_pinky.02.R,0.7401,0.6722,-0.0106,0.0161
f_pinky.03.R,0.7271,0.6795,0.0363,-0.0906
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,0.0,-0.0,0.0
pelvis.R,1.0,-0.0,-0.0,-0.0
thigh.L,0.0002,-0.0032,-0.9843,-0.1766
shin.L,0.9953,-0.0898,-0.0364,0.0032
foot.L,0.4569,0.8887,0.037,-0.0031
toe.L,0.9989,-0.0349,-0.032,0.0047
heel.02.L,1.0,0.0,-0.0,0.0
thigh.R,0.0034,-0.002,0.9843,0.1762
shin.R,0.9953,-0.0899,0.0364,-0.0032
foot.R,0.4574,0.8885,-0.0369,0.0031
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,0.0,0.0
