motion_name,SG ASL Dedicate Book 2026-3-14
pose_name,SG ASL Dedicate Book 2026-3-14 P2
export_date,2026-3-14
current_frame,65
frame_budget,29

bone_name,w,x,y,z
bicepfk_L,0.7468,0.5872,0.1257,0.2859
forearmfk_L,0.8009,-0.0351,-0.0497,0.5957
handfk_L,0.919,-0.0725,0.3172,0.2225
bicepfk_R,0.7855,0.5115,0.0784,-0.3394
forearmfk_R,0.6345,-0.0513,0.041,-0.7701
handfk_R,0.9836,-0.0945,-0.1403,-0.0628
thighfk_L,0.9996,-0.0131,-0.0251,-0.001
shinfk_L,0.9996,0.0269,0.008,0.0048
footfk_L,0.0287,-0.0272,0.999,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.013,0.0234,-0.0013
shinfk_R,0.9996,0.0268,-0.0094,-0.0041
footfk_R,0.0291,-0.0265,-0.9991,-0.0175
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8102,0.4073,0.4082,0.1055
thumbfk_02_L,0.9792,0.1824,-0.0345,-0.0818
thumbfk_03_L,0.9801,0.1863,-0.032,-0.0604
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0219
pinkyfk_01_L,0.8072,0.5755,-0.117,0.0598
pinkyfk_02_L,0.7071,0.7065,-0.0,-0.0297
pinkyfk_03_L,0.646,0.7541,-0.0724,0.0943
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
indexfk_01_L,0.9983,0.0027,0.0068,-0.0582
indexfk_02_L,0.9998,0.0173,0.0123,-0.0021
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9983,-0.0213,-0.0469,-0.0262
middlefk_02_L,0.9996,0.0212,-0.0193,0.006
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0202,0.0135
ringfk_01_L,0.7808,0.6228,-0.0492,0.0039
ringfk_02_L,0.7071,0.707,0.0,-0.0135
ringfk_03_L,0.7773,0.624,-0.035,0.0727
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8102,0.4073,-0.4082,-0.1055
thumbfk_02_R,0.9792,0.1824,0.0345,0.0818
thumbfk_03_R,0.9801,0.1863,0.032,0.0604
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0219
pinkyfk_01_R,0.8072,0.5755,0.117,-0.0598
pinkyfk_02_R,0.7071,0.7065,0.0,0.0297
pinkyfk_03_R,0.646,0.7541,0.0724,-0.0943
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0003,0.0003
indexfk_01_R,0.9983,0.0027,-0.0068,0.0582
indexfk_02_R,0.9998,0.0173,-0.0122,0.0021
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,0.0,0.0
middlefk_01_R,0.9983,-0.0213,0.0469,0.0262
middlefk_02_R,0.9996,0.0212,0.0193,-0.006
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0202,-0.0135
ringfk_01_R,0.7808,0.6228,0.0492,-0.0039
ringfk_02_R,0.7071,0.707,-0.0,0.0135
ringfk_03_R,0.7773,0.624,0.035,-0.0727
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9957,0.0166,0.0911,0.0051
collar_L,0.9979,0.0578,0.0146,0.0233
neckfk,1.0,0.0053,0.0005,0.0019
headfk,0.9999,0.0099,0.0017,0.0031
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0009,0.0001,-0.0002
chest_3,0.9998,-0.0182,-0.0031,-0.0077
chest_2,1.0,0.001,0.0001,-0.0002
chest_1,1.0,0.002,0.0001,-0.0002
hip,1.0,-0.0018,-0.0008,0.0012
