motion_name,SG ASL Dedicate Honor 2026-3-14 metarig A
pose_name,SG ASL Dedicate Honor 2026-3-14 metarig A P1
export_date,2026-3-14
current_frame,38
frame_budget,38

bone_name,w,x,y,z
spine,0.9921,-0.1257,0.006,-0.0005
spine.001,0.9978,0.0654,-0.0071,-0.0047
spine.002,0.9969,0.0778,0.0144,-0.0008
spine.003,0.9994,-0.0234,-0.0238,-0.0101
spine.004,0.98,-0.1989,-0.0026,-0.0012
spine.005,0.992,0.1247,-0.0146,0.0106
spine.006,0.9887,0.146,-0.0216,0.0254
face,1.0,0.0,-0.0,0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,0.0,-0.0,-0.0
nose.002,1.0,0.0,0.0,0.0
nose.003,1.0,0.0,-0.0,0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,0.0,-0.0
lip.B.L,1.0,-0.0,0.0,0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,-0.0,0.0,0.0
chin.001,1.0,-0.0,-0.0,0.0
ear.L,1.0,0.0,-0.0,-0.0
ear.L.001,1.0,0.0,-0.0,-0.0
ear.L.002,1.0,-0.0,0.0,0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,0.0,-0.0,0.0
ear.R,1.0,-0.0,0.0,0.0
ear.R.001,1.0,-0.0,0.0,0.0
ear.R.002,1.0,0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,-0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,-0.0,0.0,0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,0.0,-0.0,0.0
brow.B.L.002,1.0,0.0,-0.0,-0.0
brow.B.L.003,1.0,0.0,0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,0.0,0.0
lid.T.L.002,1.0,0.0,-0.0,0.0
lid.T.L.003,1.0,0.0,0.0,0.0
lid.B.L,1.0,0.0,-0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,0.0,-0.0,-0.0
lid.B.L.003,1.0,-0.0,0.0,0.0
brow.B.R,1.0,0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,0.0
brow.B.R.002,1.0,-0.0,0.0,-0.0
brow.B.R.003,1.0,0.0,0.0,-0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,0.0,-0.0,0.0
lid.T.R.003,1.0,0.0,0.0,0.0
lid.B.R,1.0,0.0,-0.0,0.0
lid.B.R.001,1.0,0.0,0.0,-0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,-0.0,0.0
forehead.L,1.0,-0.0,0.0,0.0
forehead.L.001,1.0,0.0,0.0,0.0
forehead.L.002,1.0,-0.0,-0.0,0.0
temple.L,1.0,0.0,-0.0,0.0
jaw.L,1.0,0.0,0.0,-0.0
jaw.L.001,1.0,-0.0,0.0,0.0
chin.L,1.0,-0.0,-0.0,-0.0
cheek.B.L,1.0,-0.0,0.0,-0.0
cheek.B.L.001,1.0,0.0,0.0,-0.0
brow.T.L,1.0,-0.0,-0.0,-0.0
brow.T.L.001,1.0,0.0,-0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,-0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,0.0,-0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,0.0
temple.R,1.0,-0.0,-0.0,0.0
jaw.R,1.0,0.0,0.0,-0.0
jaw.R.001,1.0,-0.0,-0.0,-0.0
chin.R,1.0,-0.0,-0.0,0.0
cheek.B.R,1.0,0.0,-0.0,-0.0
cheek.B.R.001,1.0,0.0,0.0,-0.0
brow.T.R,1.0,0.0,-0.0,-0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,-0.0,-0.0,-0.0
brow.T.R.003,1.0,0.0,-0.0,-0.0
eye.L,1.0,0.0,-0.0,0.0
eye.R,1.0,0.0,-0.0,0.0
cheek.T.L,1.0,-0.0,-0.0,-0.0
cheek.T.L.001,1.0,0.0,-0.0,0.0
nose.L,1.0,-0.0,0.0,0.0
nose.L.001,1.0,0.0,0.0,0.0
cheek.T.R,1.0,-0.0,0.0,-0.0
cheek.T.R.001,1.0,-0.0,0.0,-0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,0.0,0.0,0.0
teeth.T,1.0,0.0,-0.0,-0.0
teeth.B,1.0,0.0,-0.0,-0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,-0.0,0.0
tongue.002,1.0,-0.0,0.0,-0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.2822,0.5088,0.8084,-0.0893
forearm.L,0.8907,-0.1814,0.0172,0.4165
hand.L,0.7793,0.5825,0.2282,-0.0354
palm.01.L,0.6841,-0.2499,-0.5895,-0.3494
f_index.01.L,0.9936,-0.106,-0.0385,-0.0027
f_index.02.L,0.9962,-0.086,0.0146,0.0025
f_index.03.L,0.9929,-0.114,0.0078,0.0331
thumb.01.L,0.8558,-0.1823,-0.4842,-0.0049
thumb.02.L,0.99,-0.1319,-0.0108,0.0493
thumb.03.L,0.9989,0.0044,-0.0299,0.0367
palm.02.L,0.6991,-0.151,-0.6007,-0.3572
f_middle.01.L,0.9811,-0.1899,-0.022,0.029
f_middle.02.L,0.9919,-0.1201,0.0385,0.0122
f_middle.03.L,0.9979,-0.0584,0.02,0.0202
