motion_name,SG ASL Dedicate Promise 2026-3-14
pose_name,SG ASL Dedicate Promise 2026-3-14 P2
export_date,2026-3-14
current_frame,73
frame_budget,26

bone_name,w,x,y,z
bicepfk_L,0.7676,0.5454,-0.0125,0.3364
forearmfk_L,0.7123,-0.0431,-0.0462,0.699
handfk_L,0.9789,-0.0912,0.1443,0.1122
bicepfk_R,0.728,0.6041,-0.0571,-0.3191
forearmfk_R,0.6156,-0.0498,0.0421,-0.7853
handfk_R,0.6141,0.0649,-0.786,0.0295
thighfk_L,0.9997,-0.0114,-0.0203,-0.0001
shinfk_L,0.9996,0.027,0.0091,0.0041
footfk_L,0.0289,-0.0261,0.9991,0.0192
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0122,0.0282,-0.0004
shinfk_R,0.9996,0.0271,-0.009,-0.0042
footfk_R,0.0288,-0.0266,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7833,0.3221,0.4836,0.2209
thumbfk_02_L,0.971,0.2244,-0.0665,-0.0492
thumbfk_03_L,0.9444,0.3075,0.0659,0.096
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.0289
pinkyfk_01_L,0.6772,0.7335,-0.0569,0.0081
pinkyfk_02_L,0.6769,0.736,0.0002,-0.0003
pinkyfk_03_L,0.7869,0.613,0.0551,0.045
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9945,-0.0,0.0743,-0.0743
indexfk_01_L,0.7366,0.6763,0.0001,-0.0001
indexfk_02_L,0.7071,0.707,0.0,-0.0123
indexfk_03_L,0.8049,0.5918,0.0251,0.037
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0073,-0.0073
middlefk_01_L,0.7448,0.6672,0.0039,-0.0047
middlefk_02_L,0.6727,0.7397,-0.0174,0.01
middlefk_03_L,0.7706,0.637,-0.0213,-0.0072
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0242,0.0161
ringfk_01_L,0.6925,0.7213,-0.0102,0.0093
ringfk_02_L,0.7071,0.707,-0.0,-0.0134
ringfk_03_L,0.7841,0.6143,-0.0328,0.082
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.8374,-0.0063,-0.5353,0.1104
thumbfk_02_R,0.9866,0.1203,0.1101,0.0055
thumbfk_03_R,0.9998,-0.0112,-0.0099,0.0148
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0013
pinkyfk_01_R,0.9913,0.0445,0.108,0.0614
pinkyfk_02_R,1.0,0.006,0.0006,0.0013
pinkyfk_03_R,0.9996,0.0265,0.0017,-0.0072
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0018,0.0018
indexfk_01_R,0.9998,0.0175,-0.0034,0.0033
indexfk_02_R,0.9994,0.0352,-0.0,0.0
indexfk_03_R,0.9999,0.0168,-0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0004,0.0004
middlefk_01_R,0.9991,0.0407,0.0092,0.0081
middlefk_02_R,1.0,0.0013,0.0004,-0.0011
middlefk_03_R,1.0,0.0061,0.0028,0.0006
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0009,-0.0006
ringfk_01_R,0.9984,0.0313,0.0225,0.0423
ringfk_02_R,1.0,0.0009,0.0006,0.0006
ringfk_03_R,1.0,0.0055,0.0002,-0.005
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9924,0.0383,0.1171,-0.0038
collar_L,0.9933,0.0835,-0.0069,0.0798
neckfk,1.0,0.0009,-0.0006,0.0007
headfk,1.0,0.0015,-0.0011,0.0017
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,-0.0007,-0.0001
chest_3,0.9998,-0.0188,-0.0042,-0.0075
chest_2,1.0,0.0004,-0.001,0.0001
chest_1,1.0,0.0014,-0.0023,0.0003
hip,1.0,-0.0005,0.004,0.0003
