motion_name,SG ASL Dedicate Promise Ext 2026-3-14
pose_name,SG ASL Dedicate Promise Ext 2026-3-14 P2
export_date,2026-3-14
current_frame,72
frame_budget,28

bone_name,w,x,y,z
bicepfk_L,0.8034,0.5193,-0.0278,0.2899
forearmfk_L,0.6562,-0.0502,-0.0405,0.7518
handfk_L,0.9916,-0.0846,0.082,0.0538
bicepfk_R,0.6694,0.6421,-0.0722,-0.3667
forearmfk_R,0.6349,-0.0481,0.0423,-0.77
handfk_R,0.7554,0.0438,-0.6531,0.0297
thighfk_L,0.9992,-0.0143,-0.0376,0.0003
shinfk_L,0.9996,0.0269,0.0083,0.0043
footfk_L,0.0286,-0.0272,0.9991,0.0174
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9999,-0.0115,0.0109,0.0
shinfk_R,0.9996,0.0269,-0.0094,-0.0042
footfk_R,0.0291,-0.0257,-0.999,-0.0199
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.832,0.2743,0.44,0.1975
thumbfk_02_L,0.9774,0.1913,-0.0886,-0.0186
thumbfk_03_L,0.9768,0.2058,0.0339,0.0487
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,-0.0,0.0,-0.0279
pinkyfk_01_L,0.6987,0.7101,-0.0869,-0.0085
pinkyfk_02_L,0.6483,0.7614,-0.0001,-0.0037
pinkyfk_03_L,0.7687,0.638,0.034,0.0312
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9952,-0.0,0.0693,-0.0693
indexfk_01_L,0.7686,0.6384,-0.0344,-0.0205
indexfk_02_L,0.6635,0.7481,0.0008,-0.0076
indexfk_03_L,0.7879,0.6152,0.0139,0.0247
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0071,-0.0071
middlefk_01_L,0.7568,0.6521,-0.0387,0.0212
middlefk_02_L,0.6673,0.7446,-0.0115,0.0058
middlefk_03_L,0.7585,0.6515,-0.0136,-0.0059
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0236,0.0157
ringfk_01_L,0.7067,0.7063,-0.0288,0.0298
ringfk_02_L,0.6899,0.7238,0.0009,-0.0084
ringfk_03_L,0.8024,0.5939,-0.0241,0.0532
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9954,0.0105,-0.0912,0.0267
thumbfk_02_R,0.9866,0.1203,0.1101,0.0055
thumbfk_03_R,0.9998,-0.0112,-0.0099,0.0148
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0013
pinkyfk_01_R,0.9913,0.0445,0.108,0.0614
pinkyfk_02_R,1.0,0.0061,0.0006,0.0013
pinkyfk_03_R,0.9996,0.0265,0.0017,-0.0072
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0018,0.0018
indexfk_01_R,0.9998,0.0175,-0.0034,0.0033
indexfk_02_R,0.9994,0.0352,-0.0,0.0
indexfk_03_R,0.9999,0.0168,-0.0,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0004,0.0004
middlefk_01_R,0.9991,0.0407,0.0092,0.0081
middlefk_02_R,1.0,0.0013,0.0004,-0.0012
middlefk_03_R,1.0,0.0061,0.0028,0.0006
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0009,-0.0006
ringfk_01_R,0.9984,0.0313,0.0225,0.0423
ringfk_02_R,1.0,0.0009,0.0006,0.0006
ringfk_03_R,1.0,0.0055,0.0002,-0.005
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9936,0.0232,0.1102,-0.0033
collar_L,0.9955,0.0766,-0.0089,0.0554
neckfk,1.0,-0.0045,0.0042,-0.0036
headfk,0.9999,-0.0084,0.0061,-0.0084
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0016,-0.0025,-0.0006
chest_3,0.9998,-0.017,-0.0065,-0.0081
chest_2,1.0,0.0022,-0.0034,-0.0003
chest_1,1.0,0.0051,-0.0078,-0.0012
hip,0.9999,-0.0018,-0.0133,-0.0003
