motion_name,SG ASL Deed 2026-3-18
pose_name,SG ASL Deed 2026-3-18 P1
export_date,2026-3-18
current_frame,32
frame_budget,32

bone_name,w,x,y,z
bicepfk_L,0.7453,0.6293,0.0969,0.1977
forearmfk_L,0.7219,-0.0438,-0.0571,0.6883
handfk_L,0.7331,0.0098,0.6668,-0.1335
bicepfk_R,0.7431,0.6176,-0.1662,-0.1968
forearmfk_R,0.757,-0.039,0.0435,-0.6508
handfk_R,0.7841,0.0398,-0.5951,0.1717
thighfk_L,0.9997,-0.0108,-0.0225,-0.002
shinfk_L,0.9996,0.027,0.0118,0.0044
footfk_L,0.0299,-0.0248,0.999,0.0201
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0113,0.026,-0.0023
shinfk_R,0.9996,0.027,-0.008,-0.0044
footfk_R,0.029,-0.026,-0.9991,-0.0172
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.776,0.1836,0.5758,0.1804
thumbfk_02_L,0.9818,0.1789,0.0315,-0.0544
thumbfk_03_L,0.9975,0.0328,0.0573,0.0269
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0079
pinkyfk_01_L,0.9716,0.2259,-0.0152,-0.0688
pinkyfk_02_L,0.9851,0.1723,0.0,-0.0018
pinkyfk_03_L,0.9894,0.1451,-0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0069,-0.0069
indexfk_01_L,0.9976,0.0692,-0.0,-0.0
indexfk_02_L,0.9238,0.3829,-0.0,-0.0
indexfk_03_L,0.9783,0.2071,-0.0002,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.0014,-0.0014
middlefk_01_L,0.9897,0.1406,0.0272,-0.0018
middlefk_02_L,0.9347,0.3556,0.0,-0.0
middlefk_03_L,0.9806,0.1961,-0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,-0.0,-0.0063,0.0042
ringfk_01_L,0.9763,0.2066,0.053,-0.0378
ringfk_02_L,0.9525,0.3046,-0.0,0.0
ringfk_03_L,0.9661,0.2581,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.776,0.1836,-0.5758,-0.1804
thumbfk_02_R,0.9818,0.1789,-0.0315,0.0544
thumbfk_03_R,0.9975,0.0328,-0.0573,-0.0269
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0079
pinkyfk_01_R,0.9716,0.2259,0.0152,0.0688
pinkyfk_02_R,0.9851,0.1723,-0.0,0.0018
pinkyfk_03_R,0.9894,0.1451,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0069,0.0069
indexfk_01_R,0.9976,0.0692,0.0,-0.0
indexfk_02_R,0.9238,0.3828,0.0,0.0
indexfk_03_R,0.9783,0.2071,0.0002,-0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0014,0.0014
middlefk_01_R,0.9897,0.1406,-0.0272,0.0018
middlefk_02_R,0.9347,0.3556,-0.0,0.0
middlefk_03_R,0.9806,0.1961,0.0,-0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,-0.0,0.0063,-0.0042
ringfk_01_R,0.9763,0.2066,-0.053,0.0378
ringfk_02_R,0.9525,0.3046,0.0,-0.0
ringfk_03_R,0.9661,0.2581,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9919,0.023,0.1249,-0.0077
collar_L,0.9983,-0.021,-0.0537,0.0101
neckfk,1.0,-0.0044,0.0027,0.0015
headfk,1.0,-0.0081,0.0055,0.0017
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0022,-0.0021,0.0001
chest_3,0.9998,-0.0162,-0.006,-0.0073
chest_2,1.0,0.003,-0.0027,0.0007
chest_1,1.0,0.0067,-0.0062,0.0012
hip,1.0,0.0003,0.0018,0.0024
