motion_name,SG ASL Deep Alt 2026-3-18
pose_name,SG ASL Deep Alt 2026-3-18 P1
export_date,2026-3-18
current_frame,41
frame_budget,41

bone_name,w,x,y,z
bicepfk_L,0.7994,0.5406,0.0022,0.2622
forearmfk_L,0.6663,-0.0489,-0.0443,0.7428
handfk_L,0.9838,-0.1278,-0.0287,-0.1224
bicepfk_R,0.7194,0.6171,-0.0254,-0.3179
forearmfk_R,0.737,-0.0435,0.0491,-0.6727
handfk_R,0.6506,0.5232,-0.4865,0.2576
thighfk_L,0.9996,-0.0108,-0.0243,0.0001
shinfk_L,0.9996,0.0271,0.0089,0.0042
footfk_L,0.0289,-0.0264,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0108,0.0243,-0.0003
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.0289,-0.0265,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9999,-0.0067,-0.0127,0.0027
thumbfk_02_L,0.9998,-0.0115,0.0129,0.0028
thumbfk_03_L,0.9999,-0.0093,0.0084,-0.0057
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0001
pinkyfk_01_L,0.9999,0.0024,-0.0001,-0.0097
pinkyfk_02_L,1.0,0.0014,0.0,-0.0
pinkyfk_03_L,1.0,-0.0078,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9976,-0.0615,0.0024,0.032
indexfk_02_L,1.0,-0.0008,-0.0,-0.0
indexfk_03_L,1.0,0.0014,-0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.993,-0.0152,-0.1118,-0.0352
middlefk_02_L,1.0,-0.0003,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9845,-0.001,-0.1752,0.0052
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0011,-0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7873,0.4183,-0.4204,-0.1686
thumbfk_02_R,0.9927,0.1114,-0.0179,0.0425
thumbfk_03_R,0.9802,0.1876,0.0438,0.0459
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0222
pinkyfk_01_R,0.7963,0.5765,0.1663,0.0761
pinkyfk_02_R,0.6904,0.7234,0.0,0.0074
pinkyfk_03_R,0.8148,0.5797,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9997,0.0,-0.0165,0.0165
indexfk_01_R,0.9858,0.1642,-0.0014,0.0364
indexfk_02_R,0.9895,0.1444,-0.0,-0.0
indexfk_03_R,0.9994,0.034,0.0,0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0069,0.0069
middlefk_01_R,0.7707,0.6243,0.1253,0.0244
middlefk_02_R,0.6433,0.7656,-0.0,-0.0
middlefk_03_R,0.7307,0.6827,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0209,-0.014
ringfk_01_R,0.7624,0.6361,0.1045,0.0565
ringfk_02_R,0.7334,0.6798,0.0,-0.0001
ringfk_03_R,0.788,0.6157,0.0,0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9921,0.0303,0.1172,-0.0323
collar_L,0.9968,0.0507,-0.0339,0.0513
neckfk,1.0,0.0021,0.001,0.0017
headfk,1.0,0.0039,0.0023,0.0025
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0007,-0.001,-0.0015
chest_3,0.9997,-0.0207,-0.0043,-0.0093
chest_2,1.0,-0.0012,-0.0015,-0.0018
chest_1,1.0,-0.0033,-0.0036,-0.0037
hip,1.0,0.0003,-0.0,0.0
