motion_name,SG ASL Deep Breath 2026-3-19 metarig A
pose_name,SG ASL Deep Breath 2026-3-19 metarig A P4
export_date,2026-3-19
current_frame,145
frame_budget,42

bone_name,w,x,y,z
spine,0.992,-0.1263,0.0021,-0.0003
spine.001,0.9976,0.0688,0.0029,0.0029
spine.002,0.9967,0.0793,0.0188,0.0026
spine.003,0.9995,-0.022,-0.0195,-0.0064
spine.004,0.9802,-0.1978,0.0012,0.0007
spine.005,0.9958,0.0916,0.0014,-0.0035
spine.006,0.9965,0.0832,0.0016,-0.0067
face,1.0,0.0,0.0,-0.0
nose,1.0,-0.0,0.0,-0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,0.0,-0.0,-0.0
nose.003,1.0,0.0,-0.0,-0.0
nose.004,1.0,0.0,-0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,-0.0,0.0
lip.B.L,1.0,0.0,0.0,-0.0
lip.B.L.001,1.0,-0.0,0.0,-0.0
jaw,1.0,-0.0,0.0,-0.0
chin,1.0,0.0,-0.0,-0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,0.0,0.0,-0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,-0.0,0.0,-0.0
ear.L.003,1.0,0.0,-0.0,0.0
ear.L.004,1.0,0.0,0.0,0.0
ear.R,1.0,-0.0,-0.0,0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,0.0,-0.0
ear.R.003,1.0,-0.0,0.0,-0.0
ear.R.004,1.0,-0.0,0.0,-0.0
lip.T.R,1.0,-0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,0.0,0.0
lip.B.R,1.0,0.0,0.0,0.0
lip.B.R.001,1.0,0.0,-0.0,0.0
brow.B.L,1.0,-0.0,0.0,0.0
brow.B.L.001,1.0,0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,0.0
brow.B.L.003,1.0,-0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,-0.0
lid.T.L.001,1.0,-0.0,0.0,0.0
lid.T.L.002,1.0,-0.0,-0.0,-0.0
lid.T.L.003,1.0,-0.0,-0.0,-0.0
lid.B.L,1.0,-0.0,0.0,-0.0
lid.B.L.001,1.0,0.0,0.0,-0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,-0.0,-0.0,-0.0
brow.B.R,1.0,0.0,0.0,0.0
brow.B.R.001,1.0,0.0,-0.0,0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,0.0,-0.0,-0.0
lid.T.R,1.0,-0.0,-0.0,-0.0
lid.T.R.001,1.0,-0.0,0.0,0.0
lid.T.R.002,1.0,0.0,0.0,-0.0
lid.T.R.003,1.0,0.0,-0.0,-0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,-0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,0.0
forehead.L,1.0,-0.0,-0.0,0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,0.0,0.0
temple.L,1.0,-0.0,0.0,-0.0
jaw.L,1.0,-0.0,-0.0,0.0
jaw.L.001,1.0,0.0,-0.0,-0.0
chin.L,1.0,-0.0,0.0,0.0
cheek.B.L,1.0,0.0,-0.0,0.0
cheek.B.L.001,1.0,-0.0,0.0,-0.0
brow.T.L,1.0,-0.0,0.0,-0.0
brow.T.L.001,1.0,0.0,0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,0.0,0.0,-0.0
forehead.R,1.0,-0.0,-0.0,0.0
forehead.R.001,1.0,-0.0,-0.0,-0.0
forehead.R.002,1.0,0.0,-0.0,-0.0
temple.R,1.0,-0.0,-0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,0.0,-0.0,0.0
chin.R,1.0,0.0,-0.0,-0.0
cheek.B.R,1.0,0.0,0.0,0.0
cheek.B.R.001,1.0,0.0,-0.0,0.0
brow.T.R,1.0,0.0,0.0,0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,0.0,0.0,-0.0
brow.T.R.003,1.0,-0.0,0.0,-0.0
eye.L,1.0,-0.0,0.0,0.0
eye.R,1.0,-0.0,0.0,0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,-0.0,0.0,0.0
nose.L,1.0,-0.0,0.0,0.0
nose.L.001,1.0,0.0,-0.0,-0.0
cheek.T.R,1.0,0.0,-0.0,0.0
cheek.T.R.001,1.0,0.0,0.0,0.0
nose.R,1.0,0.0,0.0,-0.0
nose.R.001,1.0,-0.0,0.0,0.0
teeth.T,1.0,0.0,0.0,0.0
teeth.B,1.0,0.0,0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,-0.0,0.0,0.0
tongue.002,1.0,-0.0,-0.0,-0.0
shoulder.L,1.0,-0.0,0.0,0.0
upper_arm.L,0.492,0.6075,0.6189,0.0761
forearm.L,0.7507,-0.1686,0.063,0.6356
hand.L,0.3275,0.6063,-0.7237,-0.0371
palm.01.L,0.8471,-0.2947,-0.0361,-0.4408
f_index.01.L,0.9979,-0.0481,-0.0421,0.0102
f_index.02.L,0.9826,0.1852,0.0148,-0.0015
f_index.03.L,0.9929,-0.114,0.0078,0.0331
thumb.01.L,0.8814,-0.103,-0.4553,0.0723
thumb.02.L,0.9942,-0.0018,-0.091,0.0576
thumb.03.L,0.9999,-0.008,0.0042,0.0117
palm.02.L,0.849,-0.253,-0.0563,-0.4604
f_middle.01.L,0.9905,-0.1321,-0.0202,0.0333
f_middle.02.L,0.9864,0.1594,0.0403,0.001
f_middle.03.L,0.9979,-0.0584,0.02,0.0202
palm.03.L,0.8462,-0.2449,-0.0705,-0.4679
f_ring.01.L,0.9819,-0.1672,0.034,0.0824
f_ring.02.L,0.9798,0.1978,0.0258,0.0143
f_ring.03.L,0.9859,-0.1582,0.0412,0.0367
palm.04.L,0.8256,-0.2284,-0.1162,-0.5026
f_pinky.01.L,0.9497,-0.2404,0.1239,0.1575
f_pinky.02.L,0.9608,0.2768,0.0045,0.0156
f_pinky.03.L,0.9917,-0.1261,0.0196,0.0154
shoulder.R,1.0,0.0,0.0,-0.0
upper_arm.R,0.6293,0.556,-0.5029,-0.2049
forearm.R,0.6544,-0.1585,-0.0847,-0.7345
hand.R,0.2439,0.4534,0.8501,0.1109
palm.01.R,0.886,-0.3184,-0.0667,0.3304
f_index.01.R,0.9978,-0.0511,0.0415,-0.0122
f_index.02.R,0.9829,0.1834,-0.0148,0.0015
f_index.03.R,0.9925,-0.117,-0.0077,-0.0331
thumb.01.R,0.8773,-0.116,0.46,-0.0731
