motion_name,SG ASL Deer 2026-3-20
pose_name,SG ASL Deer 2026-3-20 P1
export_date,2026-3-20
current_frame,42
frame_budget,42

bone_name,w,x,y,z
bicepfk_L,0.843,0.158,-0.3845,0.3414
forearmfk_L,0.4754,-0.0557,-0.0281,0.8776
handfk_L,0.964,0.0129,-0.0757,-0.2545
bicepfk_R,0.8935,0.0192,0.3574,-0.2712
forearmfk_R,0.4199,-0.0591,0.02,-0.9054
handfk_R,0.8973,-0.0834,0.0907,0.4238
thighfk_L,0.9997,-0.0096,-0.0232,0.0004
shinfk_L,0.9996,0.0269,0.0089,0.0042
footfk_L,0.0291,-0.0259,0.9991,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0098,0.0253,-0.0001
shinfk_R,0.9996,0.027,-0.0086,-0.0043
footfk_R,0.0288,-0.0267,-0.9991,-0.0185
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,-0.0009,-0.0011,0.0001
thumbfk_02_L,0.9971,0.0575,-0.0493,-0.0099
thumbfk_03_L,0.9965,-0.056,0.0509,-0.0345
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0017
pinkyfk_01_L,0.9626,0.0741,-0.1011,-0.2404
pinkyfk_02_L,1.0,0.005,0.0,0.0
pinkyfk_03_L,0.9999,-0.0149,-0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,0.9997,-0.0125,0.0047,-0.0211
indexfk_02_L,0.9924,0.1227,-0.0,-0.0
indexfk_03_L,0.9988,0.0487,-0.0,-0.0006
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0003,-0.0003
middlefk_01_L,0.9956,0.0369,-0.067,-0.0536
middlefk_02_L,0.9964,0.0851,-0.0,-0.0
middlefk_03_L,0.9999,0.0147,-0.0,-0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.974,-0.0253,-0.1953,-0.1124
ringfk_02_L,0.975,0.2222,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,1.0,0.0003,0.0004,0.0001
thumbfk_02_R,0.9972,0.0563,0.0481,0.0097
thumbfk_03_R,0.9965,-0.0564,-0.0512,0.0348
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0017
pinkyfk_01_R,0.9603,0.0755,0.1014,0.2487
pinkyfk_02_R,1.0,0.0038,-0.0,-0.0
pinkyfk_03_R,0.9999,-0.0147,0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9996,-0.0194,-0.0047,0.0213
indexfk_02_R,0.9929,0.1189,0.0,0.0
indexfk_03_R,0.9988,0.0484,0.0,0.0006
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0003,0.0003
middlefk_01_R,0.9961,0.0362,0.0673,0.0432
middlefk_02_R,0.9965,0.0839,0.0,0.0
middlefk_03_R,0.9999,0.0144,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9741,-0.0254,0.1955,0.1106
ringfk_02_R,0.9749,0.2225,-0.0,-0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9903,-0.0441,0.1315,-0.0084
collar_L,0.9945,-0.0791,-0.062,-0.0291
neckfk,0.9995,0.031,-0.0013,0.0014
headfk,0.9983,0.0574,-0.0019,0.0021
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0007,-0.0007,-0.0021
chest_3,0.9997,-0.0203,-0.0042,-0.0102
chest_2,1.0,-0.0009,-0.0014,-0.0026
chest_1,1.0,-0.0019,-0.0034,-0.006
hip,1.0,0.0017,0.001,-0.0001
