motion_name,SG ASL Defeat 2026-3-22
pose_name,SG ASL Defeat 2026-3-22 P1
export_date,2026-3-22
current_frame,30
frame_budget,30

bone_name,w,x,y,z
bicepfk_L,0.7784,0.3206,0.246,0.4803
forearmfk_L,0.7571,-0.0398,-0.0484,0.6502
handfk_L,0.7904,-0.0255,0.6044,0.0969
bicepfk_R,0.7865,0.4014,-0.2473,-0.3989
forearmfk_R,0.6696,-0.0468,0.0417,-0.74
handfk_R,0.9765,-0.1774,0.1221,0.0072
thighfk_L,0.9997,-0.0108,-0.0231,0.0002
shinfk_L,0.9996,0.0271,0.0088,0.0043
footfk_L,0.0289,-0.0265,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0111,0.0255,-0.0002
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0184
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7458,0.3533,0.5146,0.2328
thumbfk_02_L,0.9713,0.2217,-0.074,-0.0434
thumbfk_03_L,0.949,0.2962,0.055,0.0931
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0223
pinkyfk_01_L,0.8029,0.5911,-0.077,0.0045
pinkyfk_02_L,0.6398,0.7685,0.0,-0.0043
pinkyfk_03_L,0.7519,0.6583,0.0266,0.0218
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9961,-0.0,0.0627,-0.0627
indexfk_01_L,0.8094,0.587,0.0082,-0.0149
indexfk_02_L,0.6317,0.7752,-0.0,-0.006
indexfk_03_L,0.8175,0.5756,0.0121,0.0178
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0061,-0.0061
middlefk_01_L,0.8173,0.57,-0.0578,-0.0617
middlefk_02_L,0.6042,0.7968,-0.0084,0.0049
middlefk_03_L,0.7451,0.6669,-0.0102,-0.0035
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0182,0.0122
ringfk_01_L,0.8194,0.569,-0.0653,-0.0217
ringfk_02_L,0.6783,0.7348,0.0,-0.0064
ringfk_03_L,0.8385,0.5432,-0.0159,0.0397
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6867,0.4164,-0.5048,-0.3165
thumbfk_02_R,0.9736,0.2075,0.0928,0.0192
thumbfk_03_R,0.9595,0.2653,-0.0096,-0.0944
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0222
pinkyfk_01_R,0.8043,0.5894,0.0752,-0.0104
pinkyfk_02_R,0.6434,0.7656,-0.0001,0.0041
pinkyfk_03_R,0.7508,0.6595,-0.0279,-0.0228
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9961,0.0,-0.0623,0.0623
indexfk_01_R,0.8123,0.583,-0.0138,0.0089
indexfk_02_R,0.6366,0.7712,0.0,0.0062
indexfk_03_R,0.8196,0.5724,-0.0126,-0.0186
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,-0.0,-0.006,0.006
middlefk_01_R,0.8233,0.5624,0.049,0.0592
middlefk_02_R,0.6033,0.7974,0.0088,-0.0051
middlefk_03_R,0.7474,0.6643,0.0107,0.0036
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.0182,-0.0121
ringfk_01_R,0.8212,0.568,0.0524,0.0165
ringfk_02_R,0.6811,0.7322,-0.0,0.0067
ringfk_03_R,0.8385,0.5431,0.0167,-0.0415
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.994,0.0609,0.0856,-0.0317
collar_L,0.9949,0.0818,-0.0129,0.0579
neckfk,1.0,0.0013,0.0038,-0.001
headfk,1.0,0.0024,0.0064,-0.0036
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0006,-0.001,-0.0002
chest_3,0.9998,-0.0185,-0.0046,-0.0077
chest_2,1.0,0.0007,-0.0014,-0.0001
chest_1,1.0,0.0018,-0.0033,-0.0003
hip,1.0,0.0004,0.0011,0.0
