motion_name,SG ASL Defeatist 2026-3-22
pose_name,SG ASL Defeatist 2026-3-22 P2
export_date,2026-3-22
current_frame,54
frame_budget,18

bone_name,w,x,y,z
bicepfk_L,0.7922,0.5628,0.0178,0.2352
forearmfk_L,0.6394,-0.0447,-0.0489,0.766
handfk_L,0.951,0.2274,-0.1663,-0.1272
bicepfk_R,0.834,0.5328,0.0049,-0.1431
forearmfk_R,0.4961,-0.0479,0.0503,-0.8655
handfk_R,0.9841,0.0747,-0.1389,-0.0818
thighfk_L,0.9998,-0.0091,-0.0192,0.0003
shinfk_L,0.9996,0.027,0.0089,0.0042
footfk_L,0.0292,-0.0258,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0101,0.0293,-0.0002
shinfk_R,0.9996,0.0269,-0.0084,-0.0042
footfk_R,0.0287,-0.027,-0.9991,-0.0177
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.8065,0.4434,0.3735,0.1163
thumbfk_02_L,0.9896,0.1091,-0.0446,-0.0827
thumbfk_03_L,0.9891,0.1285,-0.054,-0.0474
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9998,0.0,0.0,-0.0201
pinkyfk_01_L,0.8346,0.5329,-0.1161,0.0778
pinkyfk_02_L,0.6989,0.7147,0.0004,-0.0281
pinkyfk_03_L,0.652,0.7501,-0.0682,0.0867
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0016,0.0041,0.0068
indexfk_02_L,0.9997,-0.025,0.0002,-0.0
indexfk_03_L,0.9999,-0.0138,0.0002,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0068,-0.0068
middlefk_01_L,0.7776,0.627,-0.0446,-0.0152
middlefk_02_L,0.7428,0.6692,-0.017,0.0076
middlefk_03_L,0.7464,0.6641,-0.0265,-0.0343
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0181,0.0121
ringfk_01_L,0.8227,0.5671,-0.0398,0.0011
ringfk_02_L,0.7023,0.7118,0.0001,-0.0125
ringfk_03_L,0.7857,0.614,-0.032,0.0676
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7971,0.4235,-0.4087,-0.135
thumbfk_02_R,0.9888,0.1121,0.0298,0.0939
thumbfk_03_R,0.9917,0.1021,0.0271,0.0733
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0206
pinkyfk_01_R,0.8284,0.5448,0.116,-0.0586
pinkyfk_02_R,0.6553,0.7547,-0.0006,0.0307
pinkyfk_03_R,0.5909,0.7978,0.0784,-0.0906
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9993,-0.035,-0.0033,0.0144
indexfk_02_R,1.0,-0.0004,-0.0002,0.0
indexfk_03_R,1.0,-0.0,-0.0003,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0071,0.0071
middlefk_01_R,0.7594,0.6474,0.0592,0.0266
middlefk_02_R,0.747,0.6645,0.0187,-0.0079
middlefk_03_R,0.7178,0.6947,0.0271,0.0382
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0184,-0.0122
ringfk_01_R,0.8179,0.5722,0.0606,0.0044
ringfk_02_R,0.6949,0.719,-0.0003,0.0137
ringfk_03_R,0.7651,0.6389,0.0364,-0.072
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9925,0.0055,0.1208,-0.0193
collar_L,0.9993,0.0098,-0.0067,0.0353
neckfk,1.0,0.0078,0.0034,-0.0008
headfk,0.9999,0.0145,0.0059,-0.0032
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0011,0.0018,-0.0007
chest_3,0.9998,-0.0178,-0.0006,-0.0083
chest_2,1.0,0.0016,0.0024,-0.0011
chest_1,1.0,0.0035,0.0054,-0.0026
hip,1.0,0.0018,0.005,-0.0
