motion_name,SG ASL Defect 2026-3-22
pose_name,SG ASL Defect 2026-3-22 P2
export_date,2026-3-22
current_frame,40
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.7404,0.5576,0.3429,0.1526
forearmfk_L,0.8536,-0.0325,-0.0533,0.5171
handfk_L,0.9051,0.2622,0.3197,-0.0994
bicepfk_R,0.7763,0.4356,-0.0373,-0.4542
forearmfk_R,0.2695,-0.0636,0.0151,-0.9608
handfk_R,0.8735,-0.144,0.4409,0.1481
thighfk_L,0.9996,-0.0114,-0.0267,0.0002
shinfk_L,0.9996,0.027,0.0088,0.0043
footfk_L,0.0289,-0.0266,0.9991,0.0183
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0109,0.0218,-0.0002
shinfk_R,0.9996,0.027,-0.009,-0.0041
footfk_R,0.0289,-0.0263,-0.9991,-0.0188
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9996,-0.0198,0.012,0.0178
thumbfk_02_R,0.9993,-0.0232,-0.0306,-0.0028
thumbfk_03_R,0.9918,-0.0861,-0.0781,0.0534
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0036
pinkyfk_01_R,0.9881,0.1075,0.0875,0.0667
pinkyfk_02_R,0.9998,0.0199,0.0,0.0003
pinkyfk_03_R,0.9999,0.0147,0.0,-0.0003
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9944,0.0,-0.0749,0.0749
indexfk_01_R,0.7321,0.6811,-0.0111,0.0051
indexfk_02_R,0.7812,0.6243,-0.0,-0.0
indexfk_03_R,0.8781,0.4784,0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0071,0.0071
middlefk_01_R,0.7563,0.6531,0.0372,-0.0054
middlefk_02_R,0.7337,0.6795,0.0,-0.0
middlefk_03_R,0.7361,0.6768,0.0001,0.0001
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0229,-0.0153
ringfk_01_R,0.7194,0.6758,0.1485,-0.0604
ringfk_02_R,0.6976,0.7165,0.0,-0.0001
ringfk_03_R,0.8854,0.4649,0.0001,-0.0001
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9919,0.0786,0.0878,-0.0472
collar_L,0.9972,0.073,0.0036,0.014
neckfk,1.0,0.001,-0.0017,0.0015
headfk,1.0,0.0018,-0.0025,0.0034
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,0.0016,-0.0007
chest_3,0.9998,-0.0191,-0.001,-0.0082
chest_2,1.0,0.0003,0.0021,-0.0011
chest_1,1.0,0.0003,0.0052,-0.0016
hip,1.0,0.0001,-0.0024,-0.0
