motion_name,SG ASL Defective 2026-3-22
pose_name,SG ASL Defective 2026-3-22 P3
export_date,2026-3-22
current_frame,52
frame_budget,9

bone_name,w,x,y,z
bicepfk_L,0.7033,0.4864,0.4341,0.2835
forearmfk_L,0.8653,-0.0276,-0.045,0.4985
handfk_L,0.9622,0.1769,0.1781,-0.1059
bicepfk_R,0.8559,0.4648,0.1146,-0.1955
forearmfk_R,0.4614,-0.0614,0.0221,-0.8848
handfk_R,0.7732,0.0931,0.6151,0.1231
thighfk_L,0.9996,-0.0097,-0.0253,0.0001
shinfk_L,0.9996,0.0271,0.0092,0.0043
footfk_L,0.0286,-0.0269,0.9991,0.0184
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0095,0.0233,-0.0003
shinfk_R,0.9996,0.0271,-0.0087,-0.004
footfk_R,0.0291,-0.0256,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,0.0,0.0,0.0
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.001,-0.0,0.0003
indexfk_02_L,1.0,-0.0009,-0.0,-0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0001,0.0,-0.0008
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7992,0.4152,-0.4046,-0.1587
thumbfk_02_R,0.9918,0.0886,0.0169,0.0902
thumbfk_03_R,0.992,0.1026,0.0325,0.0667
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.02
pinkyfk_01_R,0.8388,0.5284,0.1187,-0.0557
pinkyfk_02_R,0.7037,0.7099,0.0002,0.0291
pinkyfk_03_R,0.6518,0.7495,0.0712,-0.0916
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0001,0.0001
indexfk_01_R,0.9999,0.0011,-0.006,-0.009
indexfk_02_R,1.0,-0.001,-0.0002,0.0
indexfk_03_R,1.0,-0.0018,-0.0002,-0.0002
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0072,0.0072
middlefk_01_R,0.748,0.6606,0.0591,0.023
middlefk_02_R,0.7534,0.6573,0.0178,-0.0082
middlefk_03_R,0.7435,0.6672,0.0278,0.036
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,-0.0,0.0186,-0.0124
ringfk_01_R,0.8129,0.5789,0.0646,0.0023
ringfk_02_R,0.7321,0.6811,0.0002,0.0131
ringfk_03_R,0.7778,0.6236,0.034,-0.0708
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9955,0.0327,0.0891,0.0036
collar_L,0.9991,0.0413,0.0091,0.0034
neckfk,0.9998,0.016,0.0005,0.014
headfk,0.9992,0.0299,0.0082,0.024
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0007,-0.0005,-0.0034
chest_3,0.9997,-0.0202,-0.0037,-0.0119
chest_2,1.0,-0.0007,-0.0013,-0.0043
chest_1,0.9999,-0.002,-0.0029,-0.0097
hip,1.0,0.0019,-0.001,0.0001
