motion_name,SG ASL Defective Alt 2026-3-22
pose_name,SG ASL Defective Alt 2026-3-22 P4
export_date,2026-3-22
current_frame,76
frame_budget,32

bone_name,w,x,y,z
bicepfk_L,0.7946,0.4697,0.2564,0.2867
forearmfk_L,0.7445,-0.0354,-0.0523,0.6646
handfk_L,0.8242,-0.2142,0.5177,-0.0826
bicepfk_R,0.8007,0.4763,-0.2647,-0.2491
forearmfk_R,0.6971,-0.0407,0.0484,-0.7142
handfk_R,0.7899,-0.098,-0.5822,0.1657
thighfk_L,0.9997,-0.0153,-0.0184,-0.0006
shinfk_L,0.9996,0.0267,0.0091,0.0042
footfk_L,0.0289,-0.0263,0.999,0.0198
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9994,-0.0166,0.0301,-0.0007
shinfk_R,0.9996,0.0267,-0.0086,-0.0044
footfk_R,0.0285,-0.027,-0.9991,-0.018
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7804,0.3253,0.479,0.236
thumbfk_02_L,0.9719,0.221,-0.068,-0.0452
thumbfk_03_L,0.9471,0.3007,0.0608,0.0945
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.0279
pinkyfk_01_L,0.6985,0.7129,-0.0622,0.0018
pinkyfk_02_L,0.6866,0.7271,0.0003,-0.0005
pinkyfk_03_L,0.7919,0.6067,0.0536,0.0434
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.995,0.0,0.0709,-0.0709
indexfk_01_L,0.7589,0.6512,0.0006,-0.0032
indexfk_02_L,0.6999,0.7141,0.0,-0.0119
indexfk_03_L,0.8065,0.5896,0.0243,0.0358
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,-0.0,0.007,-0.007
middlefk_01_L,0.7658,0.6429,-0.0015,-0.0137
middlefk_02_L,0.6562,0.7543,-0.017,0.0095
middlefk_03_L,0.7689,0.639,-0.0205,-0.007
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0236,0.0157
ringfk_01_L,0.7064,0.7077,-0.0136,0.0051
ringfk_02_L,0.7088,0.7053,-0.0001,-0.013
ringfk_03_L,0.7875,0.6104,-0.0319,0.0793
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7756,0.3345,-0.4817,-0.2334
thumbfk_02_R,0.9718,0.2207,0.0689,0.0461
thumbfk_03_R,0.9468,0.3036,-0.0502,-0.094
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0277
pinkyfk_01_R,0.7033,0.7078,0.0663,0.0015
pinkyfk_02_R,0.6959,0.7182,-0.0002,0.001
pinkyfk_03_R,0.79,0.6093,-0.0517,-0.0446
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9949,-0.0,-0.0711,0.0711
indexfk_01_R,0.7574,0.6529,-0.0011,0.0032
indexfk_02_R,0.7262,0.6874,0.0004,0.0118
indexfk_03_R,0.8217,0.5683,-0.0248,-0.0348
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.007,0.007
middlefk_01_R,0.7616,0.648,-0.0021,0.01
middlefk_02_R,0.6758,0.7368,0.0168,-0.0097
middlefk_03_R,0.7836,0.6209,0.0208,0.0068
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0233,-0.0155
ringfk_01_R,0.713,0.701,0.015,-0.0051
ringfk_02_R,0.7085,0.7056,0.0,0.013
ringfk_03_R,0.7897,0.6075,0.0316,-0.0791
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9969,0.0669,0.0373,-0.0195
collar_L,0.9975,0.0672,-0.013,0.02
neckfk,1.0,0.0042,-0.0028,-0.0004
headfk,1.0,0.0078,-0.0052,0.0003
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,-0.0004,-0.0002,0.0009
chest_3,0.9998,-0.0199,-0.0035,-0.0062
chest_2,1.0,-0.0006,-0.0002,0.0013
chest_1,1.0,-0.0014,-0.0005,0.0027
hip,1.0,-0.005,0.0058,0.0008
