motion_name,SG ASL Defend 2026-3-23
pose_name,SG ASL Defend 2026-3-23 P2
export_date,2026-3-23
current_frame,58
frame_budget,23

bone_name,w,x,y,z
bicepfk_L,0.8051,0.5743,0.1265,0.0774
forearmfk_L,0.3749,-0.0586,-0.0275,0.9248
handfk_L,0.8007,0.3632,0.3518,0.321
bicepfk_R,0.8029,0.5668,-0.1832,0.023
forearmfk_R,0.3828,-0.0643,0.0279,-0.9212
handfk_R,0.7847,0.3962,-0.3435,-0.3305
thighfk_L,0.9994,-0.0153,-0.03,-0.0021
shinfk_L,0.9996,0.027,0.0083,0.0039
footfk_L,0.0288,-0.0269,0.999,0.0198
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9997,-0.0142,0.0185,-0.0023
shinfk_R,0.9996,0.027,-0.0089,-0.0044
footfk_R,0.0288,-0.0261,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.7398,0.3747,0.5098,0.2289
thumbfk_02_L,0.9679,0.2346,-0.0596,-0.0672
thumbfk_03_L,0.9447,0.3069,0.0688,0.0929
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9995,0.0,0.0,-0.0308
pinkyfk_01_L,0.6383,0.7637,-0.0961,-0.0128
pinkyfk_02_L,0.6703,0.7421,0.0002,-0.0004
pinkyfk_03_L,0.8062,0.5873,0.0566,0.0433
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9934,-0.0,0.0807,-0.0807
indexfk_01_L,0.6917,0.7218,-0.0233,-0.0073
indexfk_02_L,0.7429,0.6692,-0.0005,-0.0124
indexfk_03_L,0.8152,0.5775,0.0259,0.0364
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0076,-0.0076
middlefk_01_L,0.7222,0.6917,-0.0062,-0.0066
middlefk_02_L,0.7221,0.6915,-0.0169,0.0111
middlefk_03_L,0.7715,0.6358,-0.0217,-0.0069
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9994,0.0,-0.0277,0.0185
ringfk_01_L,0.602,0.7974,-0.0382,0.0166
ringfk_02_L,0.7588,0.6512,-0.0011,-0.0136
ringfk_03_L,0.7258,0.6821,-0.0346,0.0821
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7169,0.404,-0.4913,-0.2856
thumbfk_02_R,0.9653,0.2423,0.0806,0.0542
thumbfk_03_R,0.9089,0.3851,-0.0288,-0.1577
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9994,0.0,0.0,-0.0336
pinkyfk_01_R,0.5733,0.8171,0.0568,-0.0223
pinkyfk_02_R,0.6269,0.7791,0.0003,0.0007
pinkyfk_03_R,0.7732,0.6302,-0.0541,-0.0464
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9914,0.0,-0.0924,0.0924
indexfk_01_R,0.6019,0.7982,0.0084,-0.0214
indexfk_02_R,0.6904,0.7233,-0.0003,0.013
indexfk_03_R,0.7538,0.6555,-0.0229,-0.0394
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0077,0.0077
middlefk_01_R,0.7184,0.6956,0.0021,0.0062
middlefk_02_R,0.6677,0.7442,0.0175,-0.0099
middlefk_03_R,0.6507,0.759,0.0204,0.0101
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9994,-0.0,0.0279,-0.0186
ringfk_01_R,0.5962,0.8022,0.0167,-0.027
ringfk_02_R,0.7013,0.7128,-0.0002,0.0135
ringfk_03_R,0.6776,0.7301,0.0433,-0.0771
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9933,0.0268,0.0921,-0.0646
collar_L,0.9972,0.0257,-0.0041,0.0701
neckfk,1.0,0.0028,-0.0014,-0.0038
headfk,1.0,0.0052,-0.0043,-0.0068
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0007,0.0016,0.0004
chest_3,0.9998,-0.0184,-0.0011,-0.0068
chest_2,1.0,0.0009,0.0022,0.0003
chest_1,1.0,0.0021,0.0049,0.0006
hip,1.0,-0.0038,-0.0056,0.0023
